dec	chirp_mass	theta_jn	ra	a_1	mass_1_source	geocent_time	mass_2	chi_eff	mass_2_source	phi_12	phase	a_2	chirp_mass_source	mass_ratio	total_mass	mass_1	total_mass_source	chi_p	tilt_1	phi_1	tilt_2	iota	luminosity_distance	phi_2	phi_jl	psi	redshift
-1.202903482712591732e+00	3.096839494927121450e+01	2.770785846219808946e+00	1.283232030650822253e+00	1.509779277241759220e-03	3.773417020873879579e+01	1.126259462412367582e+09	3.071083736955850796e+01	9.288140271986423252e-03	2.799898933937976153e+01	2.469594497808159872e+00	3.786934803395129556e+00	2.807402779461296710e-02	2.823380390473578672e+01	7.420062289562556757e-01	7.209975860915236012e+01	4.138892123959384861e+01	6.573315954811856443e+01	1.122108955190213343e-02	2.340603521910023854e+00	5.324616971359926509e+00	5.967489652614574869e-01	2.768462446354702067e+00	4.584270312680224606e+02	1.511026161988500149e+00	2.073733856297168554e+00	1.129086117016455448e+00	9.685521135452596075e-02
-1.174466104965917967e+00	3.169757160689383113e+01	2.587008504902927442e+00	1.126871731251583242e+00	9.279645412705653795e-01	3.686892311589058124e+01	1.126259462415035248e+09	3.317349546587148978e+01	3.080616541506663031e-02	3.055009565272931127e+01	9.241986350471070866e-01	1.616763844852336263e+00	5.859786445487453754e-01	2.919088962289442080e+01	8.286137231809234116e-01	7.320842916033581105e+01	4.003493369446432837e+01	6.741901876861989251e+01	8.371262216966263159e-01	1.124634964872115228e+00	1.383452107987410251e+00	2.358392687053910031e+00	2.639931021915849385e+00	4.034447313702848419e+02	2.307650743034518115e+00	5.856408620595662917e+00	2.207756680698912177e+00	8.587206544172658329e-02
-1.281479114466083313e+00	2.943369163394260113e+01	2.463279653088751520e+00	1.665789521556860109e+00	4.363119993534819718e-01	3.168098707431925476e+01	1.126259462410860538e+09	3.344786760723357588e+01	-1.481465293748263634e-01	3.100444687651695830e+01	5.999132076594574370e-01	9.940841516488952978e-01	6.926276738704411073e-01	2.728351293901311792e+01	9.786452298277440454e-01	6.762559267837185928e+01	3.417772507113828340e+01	6.268543395083621306e+01	5.648436726115686479e-01	1.388853396436721788e+00	2.586238931883027448e+00	2.151864241574241721e+00	2.305866781277273070e+00	3.684782911152927909e+02	3.186152139542484552e+00	5.698159045614644702e-01	1.587065834962879229e+00	7.880871864762370449e-02
-1.225446015713404613e+00	2.834255058058163357e+01	2.786034098467534470e+00	2.183548055795824894e+00	5.349702572052826843e-01	3.545698562588709990e+01	1.126259462408623695e+09	2.749477996197852647e+01	-2.138180978342456295e-01	2.513953152883881259e+01	2.083250778654325952e+00	2.681654002955690785e+00	7.102050850095958934e-01	2.591468071079510693e+01	7.090149115914825551e-01	6.627362581200820557e+01	3.877884585002968265e+01	6.059651715472590894e+01	4.834254747350994474e-01	2.013377432971341641e+00	2.177886245783954067e+00	1.844905988590191726e+00	2.706504946639677556e+00	4.424910804780847116e+02	4.261137024438280463e+00	2.837414929567976252e+00	2.816675273216110664e+00	9.368704545818169749e-02
-1.226181976782835026e+00	3.085646348746783829e+01	2.832550402795220634e+00	2.332550339229044312e+00	1.189965112282931337e-01	3.480081266206012458e+01	1.126259462407136440e+09	3.226688511255949265e+01	-1.016955319957521704e-02	2.878851133537325069e+01	4.024824209653372620e+00	5.170079484975692807e+00	5.982033913539209352e-02	2.753013331716776690e+01	8.272367549266603781e-01	7.127250825538050094e+01	3.900562314282100829e+01	6.358932399743337527e+01	9.859378992029793620e-02	2.165091180160744422e+00	7.154478199005422923e-01	2.417220761544608965e-01	2.820503064824415596e+00	5.809636921822916520e+02	4.740272029553914912e+00	2.740567520739169094e+00	1.517252686728268296e+00	1.208250658279877710e-01
-1.251438099782759661e+00	2.988682891856394619e+01	3.047663121856620805e+00	2.172078526305256219e+00	1.714185049168224784e-01	3.202385705407112226e+01	1.126259462408483267e+09	3.290703673052351519e+01	-1.227614694708168558e-01	2.941185169251170706e+01	1.387586686916489620e-01	4.365496690726407891e+00	8.677106561968509491e-01	2.671243196130496500e+01	9.184356413673361308e-01	6.873647893458760905e+01	3.582944220406410096e+01	6.143570874658282577e+01	7.306163819238000734e-01	1.204215899650642685e+00	6.137940183467346600e+00	1.952621999923493279e+00	2.959104986632655532e+00	5.706640847761543682e+02	6.276698852158995479e+00	5.512341016917646108e+00	1.110048259540668880e+00	1.188359398297145486e-01
-1.262233014525330876e+00	3.115435083276227601e+01	2.920108308863835767e+00	1.958028017567983170e+00	9.719799676790202847e-01	3.681567722218358085e+01	1.126259462409911394e+09	3.146551411001874854e+01	-1.454297980180981574e-02	2.836485425073540156e+01	2.467845821637977721e+00	6.168428330628859868e+00	5.421981439126499075e-02	2.808435347847086305e+01	7.704558598651536361e-01	7.230563974100024893e+01	4.084012563098149684e+01	6.518053147291898597e+01	9.716068494514007448e-01	1.598505493623784135e+00	4.701232188847207283e+00	1.542506881718209266e+00	2.622172799152870493e+00	5.216837578100825112e+02	8.858927033055987721e-01	1.332379861555903044e+00	2.702995306679849552e+00	1.093134423281218875e-01
-1.211956676199068106e+00	3.103551860170125920e+01	2.815344967268034626e+00	2.180323529744043753e+00	1.919866581715735654e-01	3.297951622336385213e+01	1.126259462408509493e+09	3.458058928282046907e+01	-2.252770170651624201e-02	3.102400975661224436e+01	1.939989577554922295e+00	2.077107547612499605e+00	5.741293902993680476e-01	2.784354610113713946e+01	9.407054229204776519e-01	7.134086347733176581e+01	3.676027419451129674e+01	6.400352597997610360e+01	5.256714618284715757e-01	1.259896832282189072e+00	9.405796692739523124e-01	1.761646924658500035e+00	2.692426320426222208e+00	5.490127412787237517e+02	2.880569246828875052e+00	1.394437179302195018e+00	1.404494569469408205e+00	1.146395825075511715e-01
-1.110626887609049263e+00	2.850712059300667889e+01	2.663566346242663752e+00	2.599294947931831246e+00	2.965833431113223395e-01	3.736161356597041561e+01	1.126259462405757904e+09	2.625283594808583132e+01	-2.305138679961410419e-01	2.377153533779462435e+01	5.214917554830450719e+00	1.577364602802031834e+00	9.465775150807124172e-01	2.581275508274530139e+01	6.362555861197102258e-01	6.751429835534304402e+01	4.126146240725721981e+01	6.113314890376503286e+01	4.587255295494951923e-01	1.656388098453096092e+00	1.867516970283119804e+00	2.194653813066992143e+00	2.765110254438154502e+00	4.965277880416674634e+02	7.992492179339834024e-01	5.599324177941793046e+00	1.283588255467204009e+00	1.043811674354142849e-01
-1.123266607364092451e+00	3.058809864948378632e+01	2.383225113399357831e+00	1.132735485046566737e+00	7.880280572544635931e-02	3.404533166827484081e+01	1.126259462414806604e+09	3.397007447638656430e+01	-3.067489538165383417e-02	3.181514821973404494e+01	5.024059044995262013e+00	5.004297778561147325e+00	2.150036862806361734e-02	2.864771147233263804e+01	9.344937076756696381e-01	7.032138877349299833e+01	3.635131429710642692e+01	6.586047988800889641e+01	1.661009035714093585e-02	2.929219381862181226e+00	6.404723751377865426e-01	4.937738600996023908e-01	2.378261350166975596e+00	3.142741108951331626e+02	5.664531420133048556e+00	2.093354024678935055e+00	2.448748534526195897e+00	6.773271153003401768e-02
