luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
4.525257418068880355e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.822412105084118439e+00	1.054311410436083118e+00	6.084675797146298359e-01	3.053344546328127240e-01	3.040710109872653444e+00	1.504344117446264173e+00	1.394219831428202383e+00	5.785252454671433453e-01	2.876723515520201779e+00	1.197814798335486541e+00	1.804107082112635485e+00	1.043721492528224326e+00	2.847828574640860033e+00	1.185783476035802142e+00	4.525334851164532907e-02	6.071246092108575354e-01	1.014630625475271795e-02
4.587228628695015686e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.691037660452419322e+00	1.128312112560562852e+00	5.332597330622539378e-01	1.020762014066479428e-01	2.976188232295631231e+00	1.618188227540002577e+00	3.497734521724468193e-01	6.672306235088193427e-01	2.819349773012982396e+00	1.197621892643453423e+00	1.673823751074483113e+00	1.116826465073298191e+00	2.790650216147781748e+00	1.185430706597673023e+00	2.322515997577349195e-02	5.326609965224661236e-01	1.028418276827893808e-02
3.741904077343804147e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.712650525105033905e+00	1.115414808938554048e+00	2.157376658418898863e-01	9.992392337802409596e-02	2.506977121013740373e+00	1.433805285459558654e+00	1.126609947175879256e+00	6.512798685944101162e-01	2.828065334043587953e+00	1.197747318551933837e+00	1.698382393345838626e+00	1.106122261961337561e+00	2.804504655307176186e+00	1.187768857502926823e+00	3.477757018351688989e-02	2.137165043107323859e-01	8.401012525269299647e-03
4.755007238192025198e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.686979525124599144e+00	1.130921836275947001e+00	5.944912801620820808e-01	7.841055169131666558e-02	3.035475783402381555e+00	1.482033500432022199e+00	1.966698522730116361e+00	6.703826688070905204e-01	2.817901361400545923e+00	1.197678582594106755e+00	1.669190430469651876e+00	1.118996335525501484e+00	2.788186765995153138e+00	1.185049136086511412e+00	1.941365067807824044e-02	5.921508667688331062e-01	1.065731885962361777e-02
4.639669306630465684e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.433279339453747969e+00	1.320944669237429148e+00	2.109556137845555179e-01	5.185813498489316720e-01	2.906783038145110520e+00	4.710983665178117841e-01	1.928165558616301789e+00	9.216240218329444511e-01	2.754224008691177339e+00	1.197648647490695328e+00	1.418525494627428163e+00	1.307347171431097133e+00	2.725872666058525517e+00	1.185320330312646941e+00	1.081830145987927247e-02	4.425537206616010355e-01	1.040083162565565156e-02
2.536460805085660652e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.493391182620457114e+00	1.268789691368054973e+00	1.498148295071411173e-01	2.002235203364710614e-01	2.144632491261111440e+00	2.771000766431328532e+00	4.025986691695009334e-01	8.496030418109919990e-01	2.762180873988512086e+00	1.197533060226926516e+00	1.484917752786103051e+00	1.261590639606215758e+00	2.746508392392318587e+00	1.190738315167332084e+00	9.118231946655622894e-03	6.512041593478273827e-02	5.706329403400124504e-03
4.348175451438190464e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.919488216238816713e+00	1.006569603162893900e+00	3.905549094114461051e-01	2.496949690159060153e-02	2.848629021054145838e+00	1.329369642856819134e+00	2.579530285483042640e+00	5.243947811960204541e-01	2.926057819401710614e+00	1.197735649756928700e+00	1.900949830249654138e+00	9.968481702983795767e-01	2.897798000548033936e+00	1.186167938322011617e+00	5.398705010672429777e-02	3.792279812136243322e-01	9.752170043713242337e-03
4.382404159962974433e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.768031607073207612e+00	1.083247075789676384e+00	6.083461362931039673e-01	3.643966831661185624e-02	2.843258550760207726e+00	1.522919222536623263e+00	8.938286833172529589e-01	6.126853566735038781e-01	2.851278682862884217e+00	1.197629807584060124e+00	1.750823858903822527e+00	1.072704140464968869e+00	2.823527999368791619e+00	1.185973617702267946e+00	2.672591031784728177e-02	6.076490387547459626e-01	9.828371987207651372e-03
4.451638422831865682e+01	3.446159999999999890e+00	-4.080840000000000023e-01	2.276053183779856770e+00	8.699906108716259912e-01	2.893501161225005558e-01	6.363032621203822403e-01	2.733808528718053577e+00	8.781719879305114329e-01	1.654314426683032746e+00	3.822365035542916178e-01	3.146043794651482983e+00	1.198023204859311130e+00	2.253557100045357142e+00	8.613917864812863368e-01	3.114948886526643701e+00	1.186182167697063861e+00	1.189938144610289822e-01	2.226759998214923875e-01	9.982477805442228555e-03
4.487802492043878289e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.635414110489369799e+00	1.164104682025735027e+00	5.638354489245587242e-01	3.403475270385056817e-01	2.912117056210270061e+00	1.540585758760981028e+00	1.484525880795115382e+00	7.118103448901982322e-01	2.799518792515105048e+00	1.197719687949368339e+00	1.619120958742668037e+00	1.152507048061566897e+00	2.771628006804235156e+00	1.185787157527497415e+00	2.214346375862197638e-02	5.635781682697319495e-01	1.006296142281692951e-02
4.276932173257397807e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.750892948244967995e+00	1.093073759140202661e+00	5.560844676281549021e-02	7.804881634593070494e-01	2.674698472976295704e+00	2.546966577896064177e+00	1.335386078864290171e+00	6.242950262812243523e-01	2.843966707385170878e+00	1.197734434780002744e+00	1.734255306520644080e+00	1.082686962162658251e+00	2.816942268683302331e+00	1.186353112794138465e+00	4.160855489962356907e-02	4.435044457167284238e-01	9.593536581245063963e-03
3.142064490707520008e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.945421079109054485e+00	9.951008433312471535e-01	1.549459346726208830e-01	2.902693981614843932e-01	2.324606132518074020e+00	1.295595331372632941e+00	9.640015519321772919e-01	5.115092326371697418e-01	2.940521922440301417e+00	1.197963380318491478e+00	1.931779848424134860e+00	9.881232278913772982e-01	2.919903076315511825e+00	1.189563299226281456e+00	8.387069591919789346e-02	1.491154118855304855e-01	7.061483064981564743e-03
4.231836358098087914e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.621943945464244807e+00	1.173352200023682457e+00	1.148753144861720948e-01	5.049145838403247266e-01	2.535896542630247996e+00	1.650767451478430514e+00	1.404615973293873221e+00	7.234233977721326037e-01	2.795296145487927042e+00	1.197823900908684625e+00	1.606691455472680774e+00	1.162318191889499808e+00	2.769009647362180360e+00	1.186559764986258037e+00	2.973400946501485523e-02	3.440878305230621881e-01	9.493104565665820213e-03
4.464868322771648224e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.635622324512019166e+00	1.163636927771355634e+00	1.583259141659147107e-01	1.786240984078231453e-01	2.960903634946789875e+00	1.541405059973343095e+00	1.417727267312117734e+00	7.114337523599904012e-01	2.799259252283374799e+00	1.197544582192978657e+00	1.619408927716895041e+00	1.152102170050899099e+00	2.771511097767794141e+00	1.185673708825718542e+00	1.404013074218956464e-02	1.582575344400121709e-01	1.001192257102248052e-02
4.031216667134972198e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.441396209572078924e+00	1.313646708334146096e+00	2.919176496985996239e-01	3.323207728071234657e-01	2.609988036956000013e+00	6.309564977876741532e-01	2.351045885647188083e+00	9.113710023728597287e-01	2.755042917906225242e+00	1.197654362675883544e+00	1.428474053006807853e+00	1.301869829552436020e+00	2.730343882559244317e+00	1.186917358455390703e+00	1.185466656632492080e-02	2.124263819645221263e-01	9.046126205842599730e-03
3.299223927503363996e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.500871019057067768e+00	1.262828363019197875e+00	3.167349575520470029e-02	1.427003726128504013e-01	2.272443808426510614e+00	2.188203091365619468e-01	1.743161289568076144e+00	8.413969934688846353e-01	2.763699382076265643e+00	1.197607368081025747e+00	1.489827369658822009e+00	1.253536269618589438e+00	2.743363639277411448e+00	1.188795181209596930e+00	5.607200214147176238e-03	1.154128981488043160e-01	7.412704064347341686e-03
3.875960041706001391e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.615490364704650350e+00	1.177607309268146940e+00	1.246009232595056693e-01	2.546500901183593873e-02	2.548936765064270471e+00	1.258296966136412953e+00	1.525091310670254163e+00	7.289472812692642245e-01	2.793097673972797068e+00	1.197748661487159971e+00	1.601556804668369027e+00	1.167450478561297578e+00	2.769007283229666605e+00	1.187418112170477436e+00	2.264681995183553606e-02	1.185662693622653030e-01	8.700009887670844683e-03
4.258485991528328896e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.667546894854206929e+00	1.142923231975889742e+00	5.736101557970959552e-01	1.917158576844048834e-01	2.645465207325174095e+00	1.518025851200680343e+00	1.631825542442607135e+00	6.853919583927594594e-01	2.810470126830096671e+00	1.197571012609133234e+00	1.651768443378045070e+00	1.132108808218238005e+00	2.783877251596283298e+00	1.186239507528214165e+00	1.319653925432422506e-02	5.728116683960643440e-01	9.552459692166812705e-03
4.580556770700622593e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.734944333978150288e+00	1.101991947425960516e+00	6.363773523922481301e-01	8.183440489148768870e-01	2.933495415113104077e+00	1.358986330839990320e+00	1.771080417128575002e+00	6.351742392213483024e-01	2.836936281404110805e+00	1.197590833659474718e+00	1.717308708073626233e+00	1.090790252158862161e+00	2.808098960232488395e+00	1.185417380301073464e+00	1.857552201064368094e-02	6.221555921474763995e-01	1.026933935734046857e-02
4.524360907123094933e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.604673169081555884e+00	1.185119776440751727e+00	1.974742474586071161e-01	2.965959406868320936e-01	2.858885781332793918e+00	1.359105466746833413e+00	1.576877079166729922e+00	7.385427757348631550e-01	2.789792945522307832e+00	1.197774071339200663e+00	1.588558338719030516e+00	1.173218284894315788e+00	2.761776623613346526e+00	1.185745499824348181e+00	2.309980288005409124e-02	2.098307347360631459e-01	1.014431133547146618e-02
4.530418661296887706e+01	3.446159999999999890e+00	-4.080840000000000023e-01	2.303700342790495181e+00	8.615712648935230922e-01	3.572493545305960860e-01	2.059122415815538842e-01	2.934187929876541645e+00	1.160096037389278134e+00	8.600626897873302479e-01	3.739945030567183859e-01	3.165271607684018385e+00	1.198251880670122782e+00	2.280535143274645016e+00	8.529076076123829342e-01	3.133442750887027728e+00	1.186202681661738145e+00	1.403738618554123130e-01	3.275410183877663362e-01	1.015779107117261403e-02
4.856367965386639440e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.512590955458348985e+00	1.253183664798823038e+00	3.538952816430764314e-01	2.499539727944325718e-01	3.005609191798335189e+00	1.698767223535105231e+00	1.331654980672548394e+00	8.285013607126060498e-01	2.765774620257172245e+00	1.197507872696661702e+00	1.496307179798125331e+00	1.239692534506788846e+00	2.735999714304914399e+00	1.184616119324755967e+00	2.126139193772738720e-03	3.510014421776463944e-01	1.088264220079505212e-02
4.398035288442373769e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.450075419128292520e+00	1.305924996546090844e+00	4.627273535386267622e-01	1.516865335643949320e-01	2.651068560231018001e+00	1.600492338609905252e+00	1.421934431119587172e+00	9.005910860354717773e-01	2.756000415674383142e+00	1.197648678190281757e+00	1.435912771015597889e+00	1.293170241901141049e+00	2.729083012916738937e+00	1.185951440537609036e+00	3.431299481175554330e-03	4.625233397521184564e-01	9.863167455971330946e-03
