luminosity_distance	ra	dec	mass_1	mass_2	a_1	a_2	theta_jn	tilt_1	tilt_2	mass_ratio	total_mass	chirp_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	chi_eff	chi_p	redshift
4.432694208626102750e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.407325509383138717e+00	1.344755846747498929e+00	3.894467941833172631e-02	8.110976051303361509e-03	2.755738315711215858e+00	1.806301371116468379e+00	5.229897642850912104e-02	9.555400209699421721e-01	2.752081356130637424e+00	1.197541429490907694e+00	1.393473940753396034e+00	1.331520118568568112e+00	2.724994059321963924e+00	1.185754655793595624e+00	-6.889949174186129309e-04	3.786967468323764602e-02	9.940314077386828290e-03
3.706439041603237428e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.403992809461908520e+00	1.347744749979763235e+00	4.712158813219684966e-02	2.157814013241669132e-02	2.358129706677500437e+00	1.532753435552626442e+00	2.169798952764754763e+00	9.599370743902151393e-01	2.751737559441671976e+00	1.197463038235591970e+00	1.392405366321893601e+00	1.336621533712274434e+00	2.729026900034168257e+00	1.187580128028137061e+00	-5.044317374408240073e-03	4.708749361256196059e-02	8.321889171271664234e-03
4.233201228801535621e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.621857868443252526e+00	1.172888096444623773e+00	3.402742721486778227e-02	3.652595527552832816e-02	2.688505729454743864e+00	1.146841650637884680e+00	1.206684404744699846e+00	7.231756365743846615e-01	2.794745964887876077e+00	1.197548620844330669e+00	1.606601347968835913e+00	1.161854952538627472e+00	2.768456300507463386e+00	1.186283499893530102e+00	1.358224138135145920e-02	3.101495335447250826e-02	9.496145695199798009e-03
2.522471379603678088e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.509381826221807943e+00	1.255826587335162170e+00	2.549324859681998540e-02	3.948930776655348862e-02	2.084598496692714686e+00	1.279971689427400472e+00	1.526146520321296496e+00	8.320138519745333694e-01	2.765208413556970335e+00	1.197544608963575508e+00	1.500864432462039266e+00	1.248739997744313213e+00	2.749604430206352923e+00	1.190786902727663854e+00	4.790632235054288930e-03	3.197411307325503244e-02	5.674992074931601085e-03
4.208143115162942394e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.438442704820771967e+00	1.316076013417993851e+00	3.636392325439519527e-03	1.809998119338116981e-02	2.684453593840276042e+00	1.184408004268182601e+00	1.546690486100470441e+00	9.149311328197636817e-01	2.754518718238765818e+00	1.197553652042838257e+00	1.424990322924914565e+00	1.303768010410892852e+00	2.728758333335807418e+00	1.186354075574433509e+00	9.240633777137944108e-04	1.634661933160812264e-02	9.440332105726468442e-03
4.119664494281784073e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.395752510704346250e+00	1.355638175521674871e+00	4.181600577822911641e-02	1.942411776132066392e-04	2.584584081117929255e+00	1.719126212061366399e+00	7.188364404040225031e-01	9.712597076666348306e-01	2.751390686226021121e+00	1.197459606069042781e+00	1.382969414573705702e+00	1.343222469310754397e+00	2.726191883884460321e+00	1.186492589252275520e+00	-3.062947256453342395e-03	4.135683582965492960e-02	9.243224033686115934e-03
3.328334017053472849e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.406242536282799049e+00	1.345812631945938476e+00	3.313678958773737249e-02	6.310348218546034046e-03	2.346266153708223445e+00	1.716187158727705109e+00	1.184829523709118426e+00	9.570273955041934677e-01	2.752055168228737525e+00	1.197555008203830429e+00	1.395805070639417167e+00	1.335823691385588097e+00	2.731628762025005042e+00	1.188666470891321048e+00	-1.291423863253703206e-03	3.278717518525692959e-02	7.477738735109128350e-03
3.050397277102065630e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.463531779725905091e+00	1.294219310319089988e+00	1.306621456500456184e-02	2.124304968992834011e-02	2.259642250306721056e+00	1.676409412123528231e+00	5.658292799604531798e-01	8.843124066369610903e-01	2.757751090044995301e+00	1.197664030725406503e+00	1.453565354479507077e+00	1.285405876823880300e+00	2.738971231303387377e+00	1.189508123762620828e+00	7.684642420207180025e-03	1.299341118687351825e-02	6.856537420683661739e-03
3.606287468933820861e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.606091488675069900e+00	1.183668029763106366e+00	4.745791277139662506e-02	2.014923466930705967e-03	2.421294894898259109e+00	1.194616400038202242e+00	1.873118823588135973e+00	7.369866773527092851e-01	2.789759518438176045e+00	1.197531002050416182e+00	1.593189207925866269e+00	1.174159220743479004e+00	2.767348428669345051e+00	1.187910827045892903e+00	9.782740751127930526e-03	4.413940870632217933e-02	8.098398285035399505e-03
4.581050974020119781e+01	3.446159999999999890e+00	-4.080840000000000023e-01	1.415701180627108258e+00	1.336884303464242585e+00	3.860435481293278404e-03	2.355252250221573015e-02	3.069608390601074710e+00	1.001799665228751079e+00	1.787272542083471194e+00	9.443266147959611390e-01	2.752585484091350843e+00	1.197542921421671513e+00	1.401309120440417333e+00	1.323293497988204948e+00	2.724602618428622058e+00	1.185368664567826302e+00	-1.387234863632268340e-03	2.154518429743862429e-02	1.027043924624406780e-02
