chirp_mass	mass_1_source	luminosity_distance	mass_ratio	chi_p	total_mass	mass_1	chi_eff	ra	total_mass_source	chirp_mass_source	mass_2_source	phase	a_2	geocent_time	tilt_2	theta_jn	phi_1	psi	iota	phi_2	phi_12	dec	mass_2	a_1	phi_jl	tilt_1	redshift
6.783349604027890223e+01	9.234222945101593893e+01	8.537717268584749036e+03	1.687136323782012226e-01	4.820514971584214936e-01	2.379051409436594327e+02	2.035615349669098464e+02	8.251586618749072732e-01	2.895520873931417327e+00	1.079216224035981497e+02	3.077151219573113039e+01	1.557939295258220724e+01	3.488361954089252315e+00	7.908672365597713139e-01	1.238303737208025217e+09	2.126949072283634556e-01	3.539517804169741155e-01	2.898844116775068258e+00	2.584847235149341671e+00	2.241050624667756674e-01	3.261979820405589425e+00	3.631357036305210562e-01	-1.376822776643278345e-01	3.434360597674957916e+01	9.632485068181545484e-01	2.262004544861299316e+00	5.241110126443856432e-01	1.204425171203945988e+00
1.070750214036436319e+02	4.174765190981273832e+01	2.089277843191585271e+04	7.129732323663613425e-01	4.793993871821131680e-01	2.502331982230643348e+02	1.460812075138987609e+02	7.468293718638439049e-01	5.836973042670244638e+00	7.151261023565761832e+01	3.060031333167722067e+01	2.976495832584488355e+01	5.219735824553421111e+00	6.948316760162535077e-01	1.238303737170966387e+09	2.988535193914185761e-01	3.120643518343756639e+00	5.652538447444496406e+00	2.038104195132393492e+00	2.982212733504066016e+00	6.109964330160250867e+00	4.574258827157554053e-01	-9.516801311970897181e-01	1.041519907091655881e+02	9.376756562406534101e-01	1.236842207127640592e+00	5.366543803503923682e-01	2.499147876136299296e+00
7.028930933729553487e+01	8.023405313624250823e+01	8.735256113642148193e+03	2.260503101456073638e-01	2.531412035739171729e-01	2.190665967602818114e+02	1.786766782304921719e+02	7.460250928828187078e-01	3.044036179471476089e+00	9.837098573192926665e+01	3.156313535784060775e+01	1.813693259568676197e+01	4.592811516663972138e-01	8.761693923852800214e-01	1.238303737212454319e+09	9.585868568498324693e-01	2.283543592148034929e+00	1.552681800123342448e+00	2.578999356941128696e+00	2.394051257485895867e+00	4.781146124178718537e+00	3.228464324055376533e+00	5.928271250206921250e-01	4.038991852978964658e+01	8.399004133661192029e-01	5.093256508131807081e+00	3.061546221768522980e-01	1.226943189908253240e+00
4.436860699451614209e+01	9.407620001275486743e+01	5.749933406459199432e+03	1.036513337497769610e-01	3.594713492953449663e-01	1.945938577163126411e+02	1.763182372599130474e+02	6.517607523063246866e-01	5.574189856320110437e+00	1.038273236181876769e+02	2.367327402298391803e+01	9.751123605432827190e+00	5.697826686257242201e+00	3.639568310312192301e-01	1.238303737185561419e+09	1.334179224749120429e+00	2.671273042788440133e+00	2.439334437680665602e+00	2.118190599643292593e+00	2.963030921574140830e+00	4.549377212964530237e+00	2.110042775283864636e+00	-6.183678029650496732e-01	1.827562045639960786e+01	7.962362072456966589e-01	4.825570147461784920e+00	4.684044906967222976e-01	8.742066243747917964e-01
6.233163077412017827e+01	8.269602776797277954e+01	9.906261932927733142e+03	1.568106262849690291e-01	5.937766530037120738e-01	2.256305588204940875e+02	1.950453718990235075e+02	6.595156377644511014e-01	3.403436268246622376e+00	9.566364367354778153e+01	2.642758563883399248e+01	1.296761590557500021e+01	6.220844839731792142e+00	7.837596278142612283e-01	1.238303737219876289e+09	1.237915190323698678e+00	2.828709081905185663e+00	5.087748055063869401e+00	8.591166072777940421e-01	2.479764397563347877e+00	9.678446989439963843e-01	2.163281951059713215e+00	5.831873268695243473e-01	3.058518692147057649e+01	9.354001984810659254e-01	2.296651451603369587e+00	6.877283546876384879e-01	1.358582112870992731e+00
7.975126417418228186e+01	9.849154509506193733e+01	8.331018703546378674e+03	2.040650302063028443e-01	4.178347643784219301e-01	2.586165746802382728e+02	2.147862185117420495e+02	7.117686336377726519e-01	3.624274888566759500e+00	1.185902252199511935e+02	3.657043401679079153e+01	2.009868012488924904e+01	1.659877637124348659e+00	7.213902647535513912e-02	1.238303737202956915e+09	2.455360019222284862e+00	2.212079883496375354e-01	5.378479165918782279e+00	2.369808944195427536e+00	3.016056324938942157e-01	3.812387711112918520e+00	4.717093852373722029e+00	8.749473352623201583e-01	4.383035616849620197e+01	9.636971821755948575e-01	3.000436878074111302e+00	4.484560262462344293e-01	1.180757935155093863e+00
3.616576663928032076e+01	1.309637315778178390e+02	2.513539139734908986e+03	6.499753190254728419e-02	7.279861568974677066e-01	2.010841676245671010e+02	1.888118625639851018e+02	5.009406723782010573e-01	3.894426815193327229e+00	1.394760508991237202e+02	2.508530814819763677e+01	8.512319321305856334e+00	5.334219381409326388e+00	9.266666850941126521e-01	1.238303737233371019e+09	1.706574647848543069e+00	2.864974815880813708e+00	5.399583405719675433e+00	2.175546363879734990e+00	2.214535607310017973e+00	1.645292705234648878e-01	1.048131171983375687e+00	7.963546458702790432e-01	1.227230506058199566e+01	9.073876832291467576e-01	7.303997674494989711e-01	9.311181334783493746e-01	4.417110774809760443e-01
5.990686096870411603e+01	9.998198869593781524e+01	6.799512422717017216e+03	1.399312456927640780e-01	3.157867092195046355e-01	2.281298595415690897e+02	2.001259816357862746e+02	6.075023633622985697e-01	5.351212714933240022e-02	1.139725929210002562e+02	2.992918284384839467e+01	1.399060422506243562e+01	6.060181550784171645e-01	9.361736312967601226e-01	1.238303737173491478e+09	2.465091615126405955e+00	2.055487024607802471e-01	2.743180587981024487e-01	2.631999959213877638e+00	3.342204517344179449e-01	1.944326640946975715e+00	1.670008582148872600e+00	-1.203465407367414919e+00	2.800387790578280089e+01	8.551061655847583820e-01	3.351805435550856416e+00	3.782506302654666253e-01	1.001620334282440794e+00
7.315248699457042392e+01	8.751333038332039393e+01	6.481479699774939945e+03	2.602376625228091656e-01	1.873658493892194910e-01	2.165458929897631606e+02	1.718294091895891711e+02	7.931999812388550453e-01	4.082946372891200326e+00	1.102875949218620235e+02	3.725682229200881324e+01	2.277426453854163313e+01	2.567158259382498198e+00	4.525336025609036916e-01	1.238303737207986355e+09	1.204659432909684691e+00	2.353298646019337692e+00	2.251092269908898658e-01	3.250312017312196877e-01	2.398843311762289598e+00	4.762146234608913176e+00	4.537037007618023310e+00	6.725464392404921776e-01	4.471648380017398949e+01	9.756195076700892033e-01	5.701885284026166900e+00	1.932486451009402251e-01	9.634655478994205158e-01
8.589404690269118703e+01	8.203826049029291312e+01	7.144840839565082206e+03	3.640846049861690692e-01	5.983073624431428650e-01	2.285868509316702557e+02	1.675752736275386496e+02	4.205612553435280621e-01	3.618219849780615505e+00	1.119071281546536483e+02	4.205034574510405321e+01	2.986886766436073870e+01	3.718167514881843161e+00	3.059331920388425607e-01	1.238303737212715864e+09	2.197742504206271263e+00	6.601794725826740651e-01	5.611271120448139804e+00	1.379005780720573782e+00	6.252494174789728909e-01	6.138540706632979571e+00	5.272695861848402110e-01	9.150620468831428544e-01	6.101157730413160607e+01	8.754020437210379146e-01	3.106358052663571456e-01	7.524999380163990281e-01	1.042647816104862457e+00
