#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.834834300000000473e-01	-5.282587200000000115e-03	9.235622599999999682e-01	-5.526269899999999846e-02	1.042568099999999998e+00	4.490184400000000325e-02
5.279491000000000156e+00	9.829934599999999856e-01	-5.052363100000000287e-03	9.270215400000000328e-01	-5.339085799999999937e-02	1.038499599999999967e+00	4.332123000000000224e-02
5.574605000000000032e+00	9.826064799999999488e-01	-4.887220799999999685e-03	9.296296400000000348e-01	-5.159565099999999932e-02	1.035077000000000025e+00	4.178537499999999960e-02
5.886215299999999928e+00	9.822863400000000356e-01	-4.682755099999999851e-03	9.321315300000000414e-01	-4.987982299999999675e-02	1.032199000000000089e+00	4.086146000000000222e-02
6.215244099999999605e+00	9.818057999999999508e-01	-4.229206099999999711e-03	9.340595900000000507e-01	-4.788658800000000076e-02	1.029498199999999919e+00	3.935349300000000328e-02
6.562665100000000251e+00	9.816237500000000171e-01	-3.805691099999999969e-03	9.357382899999999726e-01	-4.589825599999999839e-02	1.027516099999999932e+00	3.827095400000000286e-02
6.929506199999999616e+00	9.817157499999999981e-01	-3.157218600000000035e-03	9.372681899999999455e-01	-4.377065699999999754e-02	1.025941599999999898e+00	3.705450099999999664e-02
7.316853100000000332e+00	9.816905599999999898e-01	-2.346596700000000077e-03	9.385722499999999968e-01	-4.110139399999999943e-02	1.024999400000000005e+00	3.569269600000000292e-02
7.725851999999999720e+00	9.820191700000000523e-01	-1.572293100000000032e-03	9.395784299999999645e-01	-3.823130300000000120e-02	1.024874300000000016e+00	3.436121300000000156e-02
8.157713100000000495e+00	9.825053500000000550e-01	-7.644194300000000308e-04	9.406707399999999497e-01	-3.527126299999999715e-02	1.024631099999999906e+00	3.264225500000000196e-02
8.613714599999999777e+00	9.831337500000000285e-01	2.897819300000000067e-05	9.419552599999999609e-01	-3.204745700000000141e-02	1.024587700000000101e+00	3.120195400000000049e-02
9.095205699999999283e+00	9.839715300000000386e-01	8.000705299999999985e-04	9.431540499999999660e-01	-2.863676000000000069e-02	1.024508299999999927e+00	2.924783300000000086e-02
9.603611199999999570e+00	9.849527200000000038e-01	1.291237800000000040e-03	9.446072300000000199e-01	-2.531029799999999844e-02	1.024863800000000102e+00	2.702915800000000104e-02
1.014043599999999934e+01	9.860513300000000037e-01	1.729653199999999901e-03	9.463332800000000544e-01	-2.215991100000000089e-02	1.025086600000000070e+00	2.503139700000000037e-02
1.070726799999999912e+01	9.871439600000000425e-01	2.128798400000000025e-03	9.481548300000000040e-01	-1.904278100000000168e-02	1.025105399999999944e+00	2.293278600000000014e-02
1.130578500000000020e+01	9.882402300000000528e-01	2.466956099999999784e-03	9.500473000000000390e-01	-1.625690499999999858e-02	1.025226900000000052e+00	2.089975900000000039e-02
1.193775800000000054e+01	9.892188200000000542e-01	2.597121300000000080e-03	9.523249000000000297e-01	-1.389527200000000018e-02	1.025150599999999912e+00	1.904944500000000165e-02
1.260505700000000040e+01	9.901205100000000092e-01	2.796160700000000030e-03	9.544230500000000506e-01	-1.174643300000000057e-02	1.024947899999999912e+00	1.734710799999999997e-02
1.330965699999999963e+01	9.912085899999999450e-01	2.917367900000000010e-03	9.566714299999999893e-01	-9.967577300000000570e-03	1.024829200000000107e+00	1.575820400000000135e-02
1.405364299999999922e+01	9.920377799999999802e-01	2.914579699999999846e-03	9.588386899999999935e-01	-8.648103399999999136e-03	1.024579899999999988e+00	1.428735599999999932e-02
1.483921600000000041e+01	9.931107999999999603e-01	2.811214199999999882e-03	9.609450699999999568e-01	-7.537946099999999830e-03	1.024366000000000110e+00	1.319100200000000028e-02
