#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.043788699999999903e+00	-7.322717400000000425e-03	9.940504900000000088e-01	-9.602957299999999308e-02	1.096883400000000064e+00	8.072782700000000200e-02
5.279491000000000156e+00	1.043439800000000028e+00	-1.161363299999999994e-02	9.929014099999999843e-01	-8.618232400000000459e-02	1.096642600000000023e+00	6.247789299999999962e-02
5.574605000000000032e+00	1.042073800000000050e+00	-1.549308400000000072e-02	9.926277199999999912e-01	-7.621319799999999589e-02	1.093587300000000040e+00	4.609580299999999770e-02
5.886215299999999928e+00	1.040148899999999932e+00	-1.830823800000000098e-02	9.939181499999999447e-01	-6.794098099999999751e-02	1.088405700000000031e+00	3.202972500000000194e-02
6.215244099999999605e+00	1.037707500000000005e+00	-2.005325000000000163e-02	9.951004199999999855e-01	-6.006806299999999793e-02	1.081458199999999925e+00	2.070376399999999950e-02
6.562665100000000251e+00	1.035275600000000074e+00	-2.100161899999999915e-02	9.971623099999999962e-01	-5.332414099999999851e-02	1.073987100000000083e+00	1.216437700000000052e-02
6.929506199999999616e+00	1.033077400000000035e+00	-2.125198500000000101e-02	9.993844400000000405e-01	-4.819904600000000233e-02	1.067422300000000046e+00	5.680123300000000132e-03
7.316853100000000332e+00	1.031188100000000052e+00	-2.173005299999999917e-02	1.000642899999999891e+00	-4.407132999999999884e-02	1.062289000000000039e+00	6.096070400000000227e-04
7.725851999999999720e+00	1.028474200000000005e+00	-2.199121899999999935e-02	1.000217899999999993e+00	-4.031478100000000092e-02	1.059177199999999930e+00	-3.257456100000000188e-03
8.157713100000000495e+00	1.026414299999999891e+00	-2.227201399999999970e-02	9.985719899999999649e-01	-3.743766899999999981e-02	1.057736000000000010e+00	-6.568550099999999857e-03
8.613714599999999777e+00	1.024343999999999921e+00	-2.265116699999999983e-02	9.964055499999999732e-01	-3.570497799999999833e-02	1.057285000000000030e+00	-8.937746200000000821e-03
9.095205699999999283e+00	1.022553299999999998e+00	-2.308972399999999897e-02	9.946819500000000369e-01	-3.676673899999999967e-02	1.056392800000000021e+00	-9.226762799999999737e-03
9.603611199999999570e+00	1.020908099999999985e+00	-2.336800799999999914e-02	9.930715599999999643e-01	-4.067347400000000113e-02	1.054898899999999973e+00	-6.671839899999999594e-03
1.014043599999999934e+01	1.019355599999999917e+00	-2.360134300000000032e-02	9.923007000000000355e-01	-4.554333399999999782e-02	1.052429999999999977e+00	-3.168709999999999929e-03
1.070726799999999912e+01	1.017983199999999977e+00	-2.386263300000000115e-02	9.924759300000000062e-01	-5.103859300000000015e-02	1.048741700000000110e+00	6.069255200000000031e-04
1.130578500000000020e+01	1.016667599999999894e+00	-2.443086900000000089e-02	9.930442900000000517e-01	-5.648088899999999940e-02	1.044314699999999929e+00	4.415749800000000336e-03
