#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.043862099999999904e+00	-7.414742600000000412e-03	9.942178000000000404e-01	-9.601052200000000092e-02	1.096931399999999890e+00	8.059552899999999909e-02
5.279491000000000156e+00	1.043436699999999995e+00	-1.168616199999999994e-02	9.927300900000000095e-01	-8.613258000000000025e-02	1.096554100000000087e+00	6.230756700000000120e-02
5.574605000000000032e+00	1.042167899999999925e+00	-1.547929299999999987e-02	9.925065699999999769e-01	-7.613377899999999865e-02	1.093640500000000015e+00	4.594445300000000315e-02
5.886215299999999928e+00	1.040179600000000093e+00	-1.827266699999999938e-02	9.937037399999999465e-01	-6.794008299999999834e-02	1.088077600000000089e+00	3.200400999999999940e-02
6.215244099999999605e+00	1.037600499999999926e+00	-2.006774199999999952e-02	9.951930500000000235e-01	-6.005662999999999974e-02	1.081417800000000096e+00	2.068223900000000157e-02
6.562665100000000251e+00	1.035123800000000038e+00	-2.102302699999999969e-02	9.972553400000000456e-01	-5.336766099999999680e-02	1.074029200000000017e+00	1.214902300000000011e-02
6.929506199999999616e+00	1.033016799999999957e+00	-2.130950699999999837e-02	9.994899299999999709e-01	-4.815847999999999657e-02	1.067603599999999986e+00	5.626840000000000140e-03
7.316853100000000332e+00	1.031109400000000065e+00	-2.176954600000000073e-02	1.000579700000000072e+00	-4.406522200000000111e-02	1.062227500000000102e+00	5.074874999999999959e-04
7.725851999999999720e+00	1.028490099999999963e+00	-2.198858500000000146e-02	1.000294699999999981e+00	-4.033656299999999889e-02	1.059158999999999962e+00	-3.373708300000000104e-03
8.157713100000000495e+00	1.026432400000000023e+00	-2.227281600000000084e-02	9.985685199999999595e-01	-3.746229200000000120e-02	1.057629099999999989e+00	-6.568526499999999615e-03
8.613714599999999777e+00	1.024348299999999989e+00	-2.267038199999999934e-02	9.964849900000000149e-01	-3.572599299999999756e-02	1.057179599999999997e+00	-8.957229699999999517e-03
9.095205699999999283e+00	1.022544200000000014e+00	-2.312587300000000165e-02	9.947093000000000185e-01	-3.677676400000000345e-02	1.056275499999999923e+00	-9.258524799999999152e-03
9.603611199999999570e+00	1.020893400000000062e+00	-2.341838799999999832e-02	9.932575000000000154e-01	-4.062195799999999968e-02	1.054777800000000099e+00	-6.773432200000000306e-03
1.014043599999999934e+01	1.019379999999999953e+00	-2.366719899999999988e-02	9.924631299999999712e-01	-4.547438000000000174e-02	1.052219800000000038e+00	-3.257507700000000003e-03
1.070726799999999912e+01	1.018007899999999966e+00	-2.387841900000000142e-02	9.924790000000000001e-01	-5.094466599999999956e-02	1.048656000000000033e+00	4.673105200000000057e-04
1.130578500000000020e+01	1.016626299999999983e+00	-2.439748900000000137e-02	9.931994100000000048e-01	-5.629102099999999664e-02	1.044379799999999969e+00	4.347840700000000190e-03
1.193775800000000054e+01	1.015124799999999938e+00	-2.477907400000000163e-02	9.939882599999999568e-01	-6.111310699999999985e-02	1.039170600000000055e+00	7.736183599999999980e-03
1.260505700000000040e+01	1.013434500000000016e+00	-2.503812899999999925e-02	9.946169599999999944e-01	-6.534139499999999656e-02	1.033720200000000089e+00	1.073617500000000058e-02
1.330965699999999963e+01	1.011414599999999941e+00	-2.510650799999999960e-02	9.946657199999999754e-01	-6.839192099999999441e-02	1.028727100000000005e+00	1.261522699999999969e-02
1.405364299999999922e+01	1.008804400000000046e+00	-2.537274200000000021e-02	9.933102600000000004e-01	-7.012967999999999980e-02	1.024550400000000083e+00	1.362095999999999967e-02
1.483921600000000041e+01	1.005769600000000041e+00	-2.524328899999999862e-02	9.897778000000000409e-01	-7.019217199999999712e-02	1.021800700000000006e+00	1.408300200000000071e-02
1.566870100000000043e+01	1.002367900000000089e+00	-2.490367900000000148e-02	9.845821900000000237e-01	-6.876142600000000049e-02	1.020756100000000055e+00	1.356554500000000003e-02
1.654455300000000051e+01	9.991661200000000465e-01	-2.407451500000000119e-02	9.784087599999999885e-01	-6.590900700000000556e-02	1.020759299999999925e+00	1.245119400000000050e-02
1.746936399999999878e+01	9.962913599999999592e-01	-2.267575200000000041e-02	9.722651500000000224e-01	-6.126468899999999718e-02	1.021215900000000065e+00	1.080647499999999941e-02
1.844586999999999932e+01	9.936405200000000271e-01	-2.084182299999999891e-02	9.669165600000000360e-01	-5.487811299999999920e-02	1.020945299999999945e+00	8.889345400000000022e-03
1.947696099999999930e+01	9.915769899999999915e-01	-1.872869599999999954e-02	9.627172600000000191e-01	-4.769168299999999860e-02	1.020692300000000108e+00	6.954449500000000305e-03
2.056568800000000152e+01	9.900494699999999870e-01	-1.601520199999999922e-02	9.601720000000000255e-01	-4.052156999999999981e-02	1.019662000000000068e+00	5.735986499999999946e-03
2.171527199999999880e+01	9.890055100000000321e-01	-1.329528699999999938e-02	9.595623699999999978e-01	-3.368615300000000340e-02	1.017951400000000062e+00	4.844126800000000087e-03
2.292911700000000152e+01	9.885512899999999714e-01	-1.063133699999999938e-02	9.603268000000000360e-01	-2.723705800000000149e-02	1.016173599999999899e+00	4.911939700000000388e-03
2.421081300000000169e+01	9.885218599999999745e-01	-7.780788500000000024e-03	9.621254799999999774e-01	-2.259136399999999920e-02	1.014387499999999998e+00	5.802576099999999862e-03
2.556415399999999849e+01	9.890118199999999860e-01	-5.202586999999999837e-03	9.649569399999999852e-01	-1.883051700000000148e-02	1.012572400000000039e+00	7.714714400000000256e-03
2.699314400000000091e+01	9.898006999999999778e-01	-2.892430899999999961e-03	9.680496600000000340e-01	-1.628237399999999876e-02	1.011010399999999976e+00	1.016995899999999925e-02
2.850201200000000057e+01	9.906000099999999753e-01	-7.076153100000000425e-04	9.715537600000000440e-01	-1.439705500000000062e-02	1.009722500000000078e+00	1.257486699999999999e-02
3.009522300000000072e+01	9.919458199999999781e-01	1.042800699999999999e-03	9.749633500000000064e-01	-1.285953999999999917e-02	1.008838799999999924e+00	1.492984999999999972e-02
3.177749100000000126e+01	9.935333600000000320e-01	2.721377599999999855e-03	9.782019299999999973e-01	-1.158564200000000016e-02	1.008666099999999899e+00	1.699320099999999945e-02
3.355379599999999840e+01	9.952089400000000419e-01	4.049844700000000165e-03	9.811319200000000462e-01	-1.059427299999999954e-02	1.009397700000000064e+00	1.853678900000000143e-02
3.542939200000000000e+01	9.969407399999999919e-01	5.019287300000000417e-03	9.831611199999999995e-01	-9.696493599999999810e-03	1.011158800000000024e+00	1.941948900000000158e-02
3.740983200000000153e+01	9.987189100000000153e-01	5.757897599999999873e-03	9.846268500000000534e-01	-9.033836700000000622e-03	1.013351300000000066e+00	1.989954199999999923e-02
3.950097399999999936e+01	1.000643399999999961e+00	6.054333500000000021e-03	9.855878799999999718e-01	-8.380122099999999866e-03	1.016121199999999947e+00	1.991389799999999932e-02
