#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	9.913535199999999881e-01	-9.956677299999999384e-03	9.388080500000000050e-01	-5.428405299999999878e-02	1.043219600000000025e+00	3.362056900000000292e-02
5.279491000000000156e+00	9.910567900000000208e-01	-8.970050900000000119e-03	9.421891999999999490e-01	-5.148480700000000049e-02	1.039517800000000047e+00	3.292726900000000206e-02
5.574605000000000032e+00	9.909834499999999879e-01	-8.206508700000000184e-03	9.449000300000000019e-01	-4.894352500000000161e-02	1.036510100000000101e+00	3.220873999999999959e-02
5.886215299999999928e+00	9.907326300000000030e-01	-7.398407699999999879e-03	9.474338700000000113e-01	-4.661285099999999681e-02	1.033773899999999912e+00	3.161744899999999886e-02
6.215244099999999605e+00	9.908449099999999676e-01	-6.468694199999999728e-03	9.496360400000000146e-01	-4.410817300000000052e-02	1.031510200000000044e+00	3.081626499999999894e-02
6.562665100000000251e+00	9.908837799999999918e-01	-5.654009300000000307e-03	9.516668000000000349e-01	-4.174333399999999999e-02	1.029668599999999934e+00	3.026506600000000019e-02
6.929506199999999616e+00	9.912025899999999945e-01	-4.772399099999999686e-03	9.535516499999999729e-01	-3.892622600000000127e-02	1.028487399999999941e+00	2.949257500000000004e-02
7.316853100000000332e+00	9.913912900000000361e-01	-3.786550200000000140e-03	9.549851499999999493e-01	-3.614130200000000015e-02	1.027720600000000095e+00	2.827463800000000124e-02
7.725851999999999720e+00	9.917499100000000123e-01	-2.931915199999999850e-03	9.564140800000000553e-01	-3.333128400000000269e-02	1.027167299999999894e+00	2.694924200000000172e-02
8.157713100000000495e+00	9.922982700000000378e-01	-2.143677999999999990e-03	9.578493900000000227e-01	-3.041082900000000033e-02	1.027150500000000077e+00	2.561195399999999928e-02
8.613714599999999777e+00	9.929404400000000352e-01	-1.404311299999999986e-03	9.592502800000000107e-01	-2.742367399999999858e-02	1.026983800000000002e+00	2.395541600000000021e-02
9.095205699999999283e+00	9.936109699999999822e-01	-8.251512999999999817e-04	9.606442800000000171e-01	-2.463980099999999937e-02	1.027003399999999900e+00	2.232772300000000071e-02
9.603611199999999570e+00	9.944785000000000430e-01	-4.050623200000000009e-04	9.621715299999999971e-01	-2.180667500000000106e-02	1.026611799999999963e+00	2.054064499999999974e-02
1.014043599999999934e+01	9.953028099999999823e-01	1.317107399999999905e-07	9.637929400000000424e-01	-1.899359299999999959e-02	1.026465600000000089e+00	1.871809500000000057e-02
1.070726799999999912e+01	9.961194300000000279e-01	2.843690499999999908e-04	9.652870999999999535e-01	-1.650845000000000090e-02	1.026421900000000109e+00	1.708476999999999912e-02
1.130578500000000020e+01	9.969316400000000078e-01	5.260918999999999969e-04	9.672430600000000434e-01	-1.430369299999999927e-02	1.026043000000000038e+00	1.534866099999999955e-02
1.193775800000000054e+01	9.975753600000000221e-01	7.552047399999999586e-04	9.691997100000000476e-01	-1.236377999999999956e-02	1.025581599999999982e+00	1.391729400000000019e-02
1.260505700000000040e+01	9.983620300000000114e-01	9.172029900000000470e-04	9.711663400000000168e-01	-1.058345299999999961e-02	1.025231199999999898e+00	1.244530800000000041e-02
1.330965699999999963e+01	9.990812999999999500e-01	1.090239800000000064e-03	9.729134799999999972e-01	-9.041976800000000453e-03	1.024807999999999941e+00	1.121636800000000087e-02
1.405364299999999922e+01	9.996805399999999509e-01	1.214746999999999962e-03	9.748594699999999502e-01	-7.817693100000000159e-03	1.024335500000000065e+00	1.019872900000000013e-02
1.483921600000000041e+01	1.000277700000000047e+00	1.303501000000000095e-03	9.763157099999999478e-01	-6.895889900000000405e-03	1.024153099999999927e+00	9.284214199999999903e-03
1.566870100000000043e+01	1.000933099999999909e+00	1.385324899999999934e-03	9.778539400000000326e-01	-6.197833500000000419e-03	1.023660800000000037e+00	8.903125099999999181e-03
1.654455300000000051e+01	1.001602300000000056e+00	1.397910999999999945e-03	9.791995900000000086e-01	-5.933359299999999698e-03	1.023567399999999905e+00	8.642031499999999408e-03
1.746936399999999878e+01	1.002142000000000088e+00	1.365868400000000036e-03	9.805909400000000220e-01	-5.937563600000000073e-03	1.023658299999999910e+00	8.584818500000000741e-03
1.844586999999999932e+01	1.002811700000000084e+00	1.442487099999999927e-03	9.817979700000000198e-01	-6.328573399999999800e-03	1.023862000000000050e+00	8.915849300000000532e-03
1.947696099999999930e+01	1.003577799999999964e+00	1.352330400000000031e-03	9.828924399999999784e-01	-7.121237800000000152e-03	1.024248899999999907e+00	9.550415499999999336e-03
2.056568800000000152e+01	1.004144499999999995e+00	1.159955399999999977e-03	9.836084499999999675e-01	-8.236877499999999824e-03	1.024825000000000097e+00	1.049181599999999930e-02
2.171527199999999880e+01	1.004769999999999941e+00	1.071802800000000010e-03	9.843005999999999700e-01	-9.601491800000000465e-03	1.025355199999999911e+00	1.162154399999999928e-02
2.292911700000000152e+01	1.005465700000000018e+00	7.508947099999999791e-04	9.847356099999999834e-01	-1.132337999999999921e-02	1.026176600000000105e+00	1.310918299999999995e-02
2.421081300000000169e+01	1.006198499999999996e+00	5.605148400000000255e-04	9.850478299999999576e-01	-1.351808000000000003e-02	1.027011499999999966e+00	1.479367900000000055e-02
2.556415399999999849e+01	1.006931599999999927e+00	1.516864499999999883e-04	9.855371800000000126e-01	-1.627542800000000150e-02	1.027999799999999908e+00	1.690342699999999865e-02
2.699314400000000091e+01	1.007437799999999939e+00	-3.210523600000000271e-04	9.859490800000000332e-01	-1.933828199999999831e-02	1.028888000000000025e+00	1.932284299999999927e-02
2.850201200000000057e+01	1.008121899999999904e+00	-7.987443799999999943e-04	9.865211999999999870e-01	-2.314279600000000020e-02	1.029840799999999890e+00	2.197496000000000171e-02
3.009522300000000072e+01	1.009052000000000060e+00	-1.587281299999999951e-03	9.875605699999999709e-01	-2.765732699999999891e-02	1.030592299999999906e+00	2.499155900000000000e-02
3.177749100000000126e+01	1.009554899999999922e+00	-2.656158500000000214e-03	9.885510199999999470e-01	-3.257717200000000146e-02	1.031004699999999996e+00	2.800191499999999875e-02
3.355379599999999840e+01	1.010226199999999963e+00	-3.647324099999999999e-03	9.896310799999999963e-01	-3.824338800000000316e-02	1.031247800000000048e+00	3.124107599999999957e-02
3.542939200000000000e+01	1.010768399999999900e+00	-5.040314399999999868e-03	9.899814799999999693e-01	-4.429692400000000141e-02	1.031922299999999959e+00	3.412570699999999818e-02
3.740983200000000153e+01	1.011171000000000042e+00	-6.441219300000000300e-03	9.885298099999999533e-01	-4.970673200000000347e-02	1.033540600000000031e+00	3.608369799999999739e-02
3.950097399999999936e+01	1.010861699999999974e+00	-7.899830300000000582e-03	9.841420400000000512e-01	-5.439311499999999883e-02	1.036289900000000097e+00	3.656101700000000121e-02
4.170900699999999972e+01	1.009520999999999891e+00	-9.541811900000000610e-03	9.764525899999999536e-01	-5.654604199999999775e-02	1.041470300000000071e+00	3.497938600000000120e-02
4.404046499999999753e+01	1.007720399999999961e+00	-1.030654800000000045e-02	9.672239799999999832e-01	-5.470222500000000015e-02	1.047162099999999985e+00	3.054162900000000069e-02
4.650224699999999700e+01	1.005386600000000019e+00	-1.098472799999999916e-02	9.582452200000000087e-01	-4.967496600000000095e-02	1.051214799999999894e+00	2.424547000000000160e-02
4.910163899999999870e+01	1.003390100000000063e+00	-1.096542500000000087e-02	9.526761500000000549e-01	-4.228533699999999923e-02	1.052879300000000073e+00	1.856193700000000057e-02
5.184633199999999675e+01	1.001721099999999920e+00	-1.004951599999999966e-02	9.502477000000000285e-01	-3.531508099999999817e-02	1.050953299999999979e+00	1.473276199999999994e-02
5.474444799999999844e+01	1.000454799999999977e+00	-8.854591800000000471e-03	9.517896999999999608e-01	-3.140938900000000283e-02	1.046727600000000091e+00	1.469334500000000002e-02
5.780456399999999917e+01	9.998076099999999578e-01	-7.449730699999999699e-03	9.554126400000000352e-01	-3.070485099999999828e-02	1.041824099999999920e+00	1.701802399999999965e-02
6.103573500000000251e+01	9.993201900000000526e-01	-6.103199999999999598e-03	9.604357799999999612e-01	-3.095641000000000018e-02	1.036295900000000048e+00	2.035780900000000102e-02
6.444752200000000641e+01	9.991119899999999499e-01	-4.639667600000000301e-03	9.656295799999999874e-01	-3.103801399999999919e-02	1.031405799999999928e+00	2.275926400000000127e-02
6.805002199999999846e+01	9.991321100000000177e-01	-3.768339400000000027e-03	9.707833500000000448e-01	-3.113973500000000172e-02	1.026788500000000104e+00	2.482101700000000077e-02
7.185389600000000598e+01	9.993834700000000515e-01	-2.888008999999999975e-03	9.756567999999999907e-01	-3.073902900000000105e-02	1.022942299999999971e+00	2.603222300000000017e-02
7.587039900000000614e+01	9.995429000000000119e-01	-2.056679799999999898e-03	9.796830399999999495e-01	-2.995143899999999984e-02	1.019573800000000086e+00	2.682785899999999904e-02
8.011141700000000299e+01	9.999717399999999978e-01	-1.332585600000000051e-03	9.831996699999999700e-01	-2.929848399999999964e-02	1.016774300000000020e+00	2.722720000000000001e-02
8.458950099999999850e+01	1.000352399999999919e+00	-5.802633899999999839e-04	9.864565100000000086e-01	-2.847390699999999969e-02	1.014637599999999917e+00	2.754349500000000117e-02
8.931790100000000621e+01	1.000715000000000021e+00	1.494095200000000013e-05	9.888355899999999865e-01	-2.737592900000000024e-02	1.013072500000000042e+00	2.741956699999999886e-02
9.431060999999999694e+01	1.001275899999999996e+00	4.641799500000000009e-04	9.908093799999999618e-01	-2.649715299999999898e-02	1.011852799999999997e+00	2.727166899999999838e-02
9.958240299999999934e+01	1.001782200000000067e+00	8.643443700000000025e-04	9.921402700000000463e-01	-2.541500799999999935e-02	1.011134399999999989e+00	2.692624700000000038e-02
1.051488800000000055e+02	1.002077600000000013e+00	1.241216600000000052e-03	9.928985299999999459e-01	-2.454507699999999848e-02	1.011067600000000066e+00	2.656002899999999889e-02
1.110265100000000018e+02	1.002414200000000033e+00	1.446302200000000072e-03	9.932418699999999712e-01	-2.372322799999999898e-02	1.011735599999999957e+00	2.613449600000000012e-02
1.172326900000000052e+02	1.002736400000000083e+00	1.846615399999999938e-03	9.932323199999999463e-01	-2.258157200000000114e-02	1.012604199999999954e+00	2.581678399999999887e-02
1.237857900000000058e+02	1.003206899999999901e+00	2.258202200000000021e-03	9.928704000000000418e-01	-2.142170200000000080e-02	1.013928099999999999e+00	2.546375400000000164e-02
1.307051899999999875e+02	1.003534600000000054e+00	2.722945799999999892e-03	9.920351600000000269e-01	-2.022231999999999849e-02	1.015431600000000101e+00	2.493752299999999963e-02
1.380113800000000026e+02	1.003969499999999959e+00	3.138529100000000179e-03	9.910576500000000122e-01	-1.884880099999999836e-02	1.017322599999999966e+00	2.432727999999999974e-02
1.457259599999999864e+02	1.004562600000000083e+00	3.545008599999999871e-03	9.900784000000000251e-01	-1.739758599999999961e-02	1.019419400000000087e+00	2.346826700000000099e-02
1.538717800000000011e+02	1.005096500000000059e+00	3.888649699999999904e-03	9.890812199999999832e-01	-1.560847599999999960e-02	1.021648399999999901e+00	2.228877799999999867e-02
