mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	theta_jn	phi_jl	tilt_1	tilt_2	phi_12	a_1	a_2	phi_1	phi_2	redshift
9.947403699999999560e+01	2.669429600000000136e+01	4.308110718951508744e+01	6.189666800000000357e+00	8.760452600000000478e-01	1.248242631997558594e+09	6.125599199999999911e+00	2.484703699999999849e+00	2.896536400000000011e+00	2.974941800000000057e+03	1.261683329999999899e+02	2.683544048785312941e-01	3.653416952669906737e-01	5.846064249781183220e-01	6.593320916791311959e+01	1.769346710798704692e+01	8.362667627590016650e+01	2.855494496027726470e+01	2.533503547766061903e+00	6.161918273837383886e+00	9.032997633962034367e-01	1.506826880213266495e+00	5.968258077233911330e+00	7.443671022308735452e-01	1.517529736722215417e-01	3.684813089391043128e+00	3.369885859445368226e+00	5.087091657660397503e-01
9.712254299999999319e+01	3.213183599999999984e+01	4.723504125762784156e+01	2.445903799999999961e+00	-1.254720000000000057e+00	1.248242631997558594e+09	1.993658799999999953e+00	9.939314700000000391e-01	5.850267999999999802e+00	3.177208500000000186e+03	1.292543790000000001e+02	3.308380835950722743e-01	3.179605794394029239e-01	7.835234558706993813e-01	6.317572642363010971e+01	2.090093625972035696e+01	8.407666268335047732e+01	3.072518441059330385e+01	1.066804731469553236e+00	2.843977697340867916e+00	1.077710161248223608e+00	1.396571623803470663e+00	3.640050196437908170e+00	8.894818925575650459e-01	3.697986033530425293e-02	4.242870891739983108e+00	1.599735780998305046e+00	5.373395526746563844e-01
9.712254299999999319e+01	3.213183599999999984e+01	4.723504125762784156e+01	2.321169900000000119e+00	-1.236845100000000031e+00	1.248242631997558594e+09	1.725648899999999930e+00	7.645517699999999639e-01	6.260959399999999953e+00	2.921624899999999798e+03	1.292543790000000001e+02	3.308380835950722743e-01	3.179605794394029239e-01	7.835234558706993813e-01	6.470128748845344546e+01	2.140564995881376475e+01	8.610693744726721377e+01	3.146713306239045593e+01	9.591957822918331100e-01	2.503641855775074365e+00	1.077710161248223608e+00	1.396571623803470663e+00	3.640050196437908170e+00	8.894818925575650459e-01	3.697986033530425293e-02	4.242870891739983108e+00	1.599735780998305046e+00	5.010913502661352714e-01
9.448795300000000452e+01	3.663879800000000131e+01	5.012476328040458640e+01	2.382415500000000019e+00	-1.223038000000000070e+00	1.248242631997558594e+09	2.601239900000000271e-01	7.490923999999999916e-01	1.790819900000000020e+00	3.460775299999999788e+03	1.311267510000000129e+02	3.877615805689006434e-01	2.520228089519261916e-01	8.701073994461334671e-01	5.992353862200287296e+01	2.323604604934939744e+01	8.315958467135227750e+01	3.178874229979429700e+01	8.064995854283256715e-01	2.788691548582492352e+00	1.248639925524360095e+00	1.075553494957618428e+00	9.432157751250198618e-01	9.172979001084007322e-01	3.218946573922217280e-01	6.087314696243021572e+00	7.473451641884558683e-01	5.768086326815433651e-01
9.340406799999999521e+01	3.733817700000000173e+01	5.037651884589192974e+01	2.438684700000000039e+00	-1.194134500000000099e+00	1.248242631997558594e+09	3.125991300000000028e-01	7.217072300000000329e-01	1.162225499999999939e-01	3.808786700000000110e+03	1.307422449999999969e+02	3.997489381297611444e-01	1.768569024523372335e-01	4.390408873211839036e-01	5.750475904861957588e+01	2.298746636709345026e+01	8.049222541571302258e+01	3.101459754345237485e+01	7.667400138313240632e-01	2.824098544088978535e+00	6.183585918179028695e-01	2.754018711189141211e+00	3.083846219699969970e-01	7.573607811373537224e-01	9.985593057776782633e-01	5.865194994254283145e+00	6.173579616224280642e+00	6.242841383098048924e-01
9.060646099999999592e+01	3.260780700000000110e+01	4.614835825014569082e+01	2.511616200000000187e+00	-1.184076499999999976e+00	1.248242631997558594e+09	9.039823399999999953e-01	9.205686600000000386e-01	5.633918900000000285e+00	3.209908199999999852e+03	1.232142680000000041e+02	3.598839049678808633e-01	1.702758003941178266e-01	9.631889091389491675e-01	5.876173620752150839e+01	2.114740308905535571e+01	7.990913929657686765e+01	2.992896559446527860e+01	8.153676013457448191e-01	3.106708177508581414e+00	1.421953763251398106e+00	9.205197868079899592e-01	4.901242428003167007e+00	9.739575873657271288e-01	3.998771030135086502e-01	5.838515073343738315e+00	4.456572194167318202e+00	5.419296101125472553e-01
9.042478900000000408e+01	3.022120699999999971e+01	4.422389631553062372e+01	2.521723699999999901e+00	-1.066697599999999913e+00	1.248242631997558594e+09	9.181326300000000051e-01	5.988422399999999701e-01	5.112264699999999884e+00	3.962606800000000021e+03	1.206459959999999967e+02	3.342137408802800524e-01	2.874141098395200378e-01	5.959557763380435302e-01	5.497082170591010453e+01	1.837200396159511584e+01	7.334282566750520971e+01	2.688448539815435723e+01	5.350852424827475806e-01	3.005484784318950719e+00	1.186760643516562741e+00	9.415832387264380099e-01	6.226547934286982944e+00	6.427754365115022628e-01	7.252423097337985514e-01	5.830235850152879706e+00	5.773598477260277306e+00	6.449597476233126514e-01
8.878752900000000636e+01	3.604459399999999647e+01	4.828919807441642575e+01	2.461714100000000016e+00	-1.234900200000000003e+00	1.248242631997558594e+09	1.641897500000000010e+00	7.673131199999999597e-01	3.689227900000000115e+00	3.132883400000000165e+03	1.248321229999999957e+02	4.059646034298352024e-01	3.463114284787188746e-01	7.594942722615275477e-01	5.798934005555805982e+01	2.354161943881248575e+01	8.153095949437053491e+01	3.153887443074954078e+01	8.132215846081086719e-01	2.840102023637632200e+00	9.425783706202501833e-01	2.208097395205789848e+00	1.002589964812770962e+00	9.387179600836149662e-01	2.682002269714406362e-01	4.639577542348158445e+00	5.642167507160929851e+00	5.311008698311623366e-01
8.862381700000000251e+01	3.187587200000000109e+01	4.512428462801062778e+01	2.439643100000000064e+00	-1.195318399999999892e+00	1.248242631997558594e+09	1.518932200000000066e+00	7.557491200000000520e-01	3.230964399999999848e-01	3.786515199999999822e+03	1.204996890000000036e+02	3.596761353666362848e-01	5.471782034100968195e-01	3.945594443688973385e-01	5.466302323224019233e+01	1.966098494362880800e+01	7.432400817586899677e+01	2.783258386353596237e+01	9.211434820319045480e-01	1.940084650524205756e+00	5.173544178142942540e-01	6.811274226873675897e-01	5.200685802921212186e+00	7.977626233028807246e-01	1.811800201309267111e-01	3.658348462341891150e+00	2.575848958083517104e+00	6.212754392210375620e-01
8.791878499999999974e+01	3.104330399999999912e+01	4.431472442563366343e+01	1.865420300000000031e+00	-8.701237699999999631e-01	1.248242631997558594e+09	5.500395099999999537e-01	1.269466299999999936e+00	3.082885399999999998e-01	3.552116799999999785e+03	1.189620889999999918e+02	3.530906847723156994e-01	2.130586290533062199e-01	8.688184351591797805e-01	5.531683597184532175e+01	1.953185949273673216e+01	7.484869546458205036e+01	2.788198611013908845e+01	1.282083038637576333e+00	3.046551354265731870e+00	1.267808952838934689e+00	1.485000523358370739e+00	3.356900608902225525e+00	9.102823437532095996e-01	5.514220069660066281e-01	5.788511956104089862e+00	2.862227257826729598e+00	5.893675669510115567e-01
