phi_12	total_mass_source	mass_2_source	theta_jn	phi_2	chi_p	mass_ratio	chirp_mass	chirp_mass_source	mass_1_source	dec	psi	luminosity_distance	mass_1	tilt_1	a_1	tilt_2	iota	total_mass	ra	a_2	chi_eff	mass_2	phi_1	phase	phi_jl	geocent_time	redshift
8.934478113213836226e-01	6.619987604681618620e+01	2.770027119354778833e+01	2.523149545476522260e+00	1.933193345142393937e+00	2.468592090107430415e-01	7.194949480422055954e-01	3.844305151716509528e+01	2.835259018702968703e+01	3.849960485326839432e+01	1.440346194105570632e-01	1.239423163801823824e+00	1.948866582706554482e+03	5.220130799343206007e+01	1.882003080914196991e+00	2.349353495031002992e-01	2.442967574070895154e+00	2.399553747339282062e+00	8.975988537590163219e+01	2.598658165678813248e+00	5.589135578176639418e-01	-2.209166603534725992e-01	3.755857738246957211e+01	1.039745533821010426e+00	3.189314266771791750e+00	1.476940693937684790e+00	1.248617394634129286e+09	3.558920459673361458e-01
6.134470661511854495e+00	6.433355938869783586e+01	2.300320176082017554e+01	2.803308164964551707e+00	9.136123217482561287e-01	1.592489642050599896e-01	5.565691438707593974e-01	4.477424494511686959e+01	2.661625538966372773e+01	4.133035762787765321e+01	-3.343262146895356057e-01	2.265847292047839634e+00	4.243086740868480774e+03	6.952651787443092246e+01	5.500822248229444433e-01	2.028348294731416590e-01	2.218266608771093829e+00	2.743088329312221241e+00	1.082228324041179945e+02	1.109171334845910906e+00	3.891651682794134426e-01	2.715446929066674814e-02	3.869631452968707208e+01	1.062326967415987866e+00	3.059877691744710582e+00	7.702693861698484135e-01	1.248617394640634060e+09	6.822142818221038629e-01
4.776434975310396069e+00	6.027477352108440556e+01	2.693611627599253211e+01	7.381031896076759580e-01	5.109586240425736392e+00	6.461318089581246094e-01	8.079544439348430585e-01	4.159605596747154976e+01	2.605809913014161339e+01	3.333865724509188055e+01	1.724961805860605324e-01	2.368414337569063388e+00	3.602623993051789967e+03	5.321787463165799181e+01	2.168757437640404628e+00	7.817827279554726561e-01	7.427151443378455786e-01	8.559509562107610048e-01	9.621549293707340667e+01	1.520405712489178995e+00	8.304621265484114778e-02	-2.160921958556422384e-01	4.299761830541542196e+01	3.331512651153403226e-01	2.161606544552884035e+00	5.740033445302382020e+00	1.248617394646927118e+09	5.962812851286244387e-01
9.738401856960808844e-01	6.805906610924218114e+01	1.786177994569876049e+01	5.903571972137255930e-01	6.447569611772836495e-01	1.647297480993190066e-02	3.558315859448028529e-01	4.381334327121404471e+01	2.540889547507284973e+01	5.019728616354341000e+01	-1.373109626365474956e+00	1.179204389019702814e+00	4.565109243082492867e+03	8.655673097338305411e+01	3.844355177084225056e-02	1.395438173890185818e-01	8.245212796762417806e-01	5.912356110758144601e-01	1.173563498298395871e+02	3.125887322783619027e+00	7.223438218727461224e-02	1.157156153157096468e-01	3.079961885645653297e+01	5.954102082660789108e+00	2.784399706998880841e+00	6.152638794951588608e+00	1.248617394612565279e+09	7.243308869603050093e-01
3.971422395566448493e+00	7.621307610308049618e+01	3.455336169382512423e+01	2.929934485059016325e+00	2.144992375837514231e+00	4.442199723231373132e-01	8.294190726892872734e-01	4.850318166451280177e+01	3.300031296358921651e+01	4.165971440925536484e+01	-1.288441096226011329e+00	5.664608907145092243e-01	2.704749208472489499e+03	6.123059191327332940e+01	1.108131474467210831e+00	4.964093424998015647e-01	1.824029424183736259e+00	3.018737285951603511e+00	1.120164126781966729e+02	1.185907091278664893e+00	4.266546347443477272e-01	7.264943906833822018e-02	5.078582076492333641e+01	4.456755287450651082e+00	4.052554731236430285e+00	4.690356362019298508e+00	1.248617394621490717e+09	4.697794447594672573e-01
1.185142363596878301e+00	8.288374063985118312e+01	4.121724066320864210e+01	2.821065772979364006e+00	1.170618486404724656e+00	6.758634563289217523e-01	9.892177333424755359e-01	5.487747109160250858e+01	3.607660757225069403e+01	4.166649997664254101e+01	1.631015736312826370e-01	1.163026983142578574e+00	3.062380693648368833e+03	6.338046456771676418e+01	1.293134477214435751e+00	7.027806789463576509e-01	1.211495059605661062e+00	2.811087804944165214e+00	1.260775440655866220e+02	2.615250880236004605e+00	3.415258995240942896e-01	1.565591615383680468e-01	6.269707949786985779e+01	6.268661429987432143e+00	5.611516110105951860e+00	3.376980473823592455e+00	1.248617394629406452e+09	5.211372350268602682e-01
3.349445515611172652e+00	7.199378260091327775e+01	2.521214263083192719e+01	5.292416697222795952e-01	2.388073527135862406e+00	5.308518107666392039e-02	5.389324240654251863e-01	4.485879691413427395e+01	2.961775389879152343e+01	4.678163997008135055e+01	-1.332709977677268398e+00	2.353733868141461905e+00	3.016257215468586310e+03	7.085507205911561357e+01	5.534534493064027227e-01	1.009937735019348221e-01	2.472105989603814891e+00	5.231972156752461300e-01	1.090411678012651748e+02	1.424747237334401007e+00	1.415177898758588348e-01	1.696736417139231567e-02	3.818609574214955416e+01	5.321813318704275986e+00	4.802687286101162911e+00	5.327288306836427401e-01	1.248617394619886875e+09	5.145914530664196240e-01
1.885377483155955061e-02	7.065685559390749404e+01	3.015984955045964000e+01	3.746735622538291399e-01	2.111513986984224545e+00	4.088978613659529637e-01	7.447426982158178443e-01	5.068087022431372191e+01	3.035850572215957044e+01	4.049700604344786115e+01	-2.858892796428602612e-01	1.686095565090767412e+00	4.146233097915915096e+03	6.760620982287362324e+01	1.807533609513511053e+00	4.206299197258235312e-01	4.849909081117583787e-01	2.919821704194970335e-01	1.179554409425052484e+02	1.150277971598285376e+00	9.249782694990367204e-01	2.927528655984039108e-01	5.034923111963163223e+01	2.092660212152665622e+00	1.250979478202987938e+00	6.928503535058565532e-01	1.248617394642559528e+09	6.694125425060120094e-01
1.768853736148785216e-01	7.071621424150177404e+01	2.651601706915716505e+01	7.613164280329665079e-01	5.081547634710076977e+00	4.532616364593025637e-01	5.999072123087232367e-01	4.883309068186694191e+01	2.961117884776429321e+01	4.420019717234460899e+01	-1.407762643870729136e+00	3.141115390178896405e+00	3.993896586386852050e+03	7.289247914682293583e+01	1.851854206556978966e+00	8.962674308514728683e-02	9.844774053038944928e-01	8.554966074836326539e-01	1.166212031100652240e+02	2.580184376684798053e+00	9.742534534290797632e-01	1.865869480909678191e-01	4.372872396324228816e+01	4.904662261095198872e+00	2.034194553639126379e+00	3.836144749731737136e+00	1.248617394617110968e+09	6.491437552326270177e-01
1.257839966963287814e+00	6.364062022259094675e+01	3.097627498295337389e+01	2.702678426443122728e+00	5.162640851494088245e+00	1.243277765451436118e-01	9.483207073553779898e-01	4.260800607495492187e+01	2.768949327794224757e+01	3.266434523963756931e+01	-1.440746330525487728e+00	2.241175881821286797e+00	3.187453936924141999e+03	5.026320295697125573e+01	1.193601770286947472e+00	1.269665642793016136e-01	2.616789888474216674e+00	2.707373949077740871e+00	9.792883913907316185e+01	2.905600640295396886e+00	2.636512737941949513e-01	-8.705683748464665417e-02	4.766563618210190612e+01	3.904800884530800431e+00	4.840299021478891461e+00	6.133555005367827384e+00	1.248617394617087364e+09	5.387788301961063953e-01
3.417674527393308459e+00	5.430724093639076955e+01	2.564930043349110989e+01	5.864912910263393453e-01	5.137736024683867697e+00	9.111828298132952642e-02	8.950154820405140654e-01	4.834116946495093003e+01	2.359504190062306961e+01	2.865794050289965966e+01	5.910793179835865940e-01	1.116511230580626179e+00	7.196788044867580538e+03	5.871396050924455778e+01	2.733496989598001470e+00	2.295968372098844690e-01	1.825923005564103474e-01	5.913578518454443156e-01	1.112638641769337795e+02	1.758745647343772589e+00	5.636377823054977698e-01	1.505721348124395842e-01	5.254990366768922172e+01	1.720061497290560126e+00	1.602183163557020729e+00	5.400040903030875583e+00	1.248617394647587061e+09	1.048785065462180643e+00
5.796954828039826424e+00	7.280362925337782087e+01	3.451754719900387869e+01	8.321430378104072156e-01	5.523625508353076974e+00	4.066859625984228788e-01	9.015690649667943424e-01	4.832309315465879251e+01	3.163864722075825497e+01	3.828608205437394219e+01	-1.302150558092864951e+00	5.108487984249296954e-01	3.106256918089980900e+03	5.847601184498692817e+01	1.587578843224638492e+00	4.067432414521634509e-01	5.886436119729593353e-01	8.654900119474823184e-01	1.111961751670589820e+02	2.315834556454234416e+00	3.516638099042955212e-01	1.350791059034134878e-01	5.272016332207205380e+01	6.009855987492836782e+00	7.154741957115505757e-01	3.334053700284704824e+00	1.248617394618443012e+09	5.273438468302715787e-01
2.394871456792524889e+00	6.370984011428228655e+01	2.437854864488966911e+01	3.118324734200546011e-01	3.805747592902896770e+00	8.756082596136692819e-01	6.198257858850353408e-01	5.591007239940896056e+01	2.680441474700760196e+01	3.933129146939261744e+01	4.850244276283812717e-01	2.134168027180717075e+00	7.512098257250695497e+03	8.203929742064192965e+01	1.130792853181035396e+00	9.677900877195205753e-01	2.631397048240657011e+00	4.767221534698210528e-01	1.328893694178474618e+02	1.781934530040331310e+00	1.070529512293853791e-02	2.509113303868861777e-01	5.085007199720553928e+01	1.410876136110371881e+00	5.741965795047366150e+00	3.414317863084069149e+00	1.248617394645423174e+09	1.085853130057639726e+00
3.410466539474528158e+00	8.537570327144844384e+01	3.852502441593380667e+01	2.181952479655143939e+00	4.172987488322315031e+00	7.873673465684631889e-01	8.222938355865286875e-01	5.088173575733225107e+01	3.694948823370793889e+01	4.685067885551463007e+01	1.389196962582170958e-01	2.094113261355452504e+00	2.085256227736558685e+03	6.451628900784660914e+01	1.663222846966052826e+00	7.907424654935607533e-01	1.099928926185646416e+00	2.221108891842515476e+00	1.175676357539177985e+02	2.510933490021585612e+00	9.638616938003811141e-01	1.572626370081945668e-01	5.305134674607118939e+01	7.625209488477864284e-01	3.635215865548262482e-01	3.717859493729349207e+00	1.248617394632017612e+09	3.770619889374904332e-01
1.270555298241975661e+00	7.089761823733603308e+01	2.309504654281210989e+01	2.512076864453118397e+00	3.939473697290379217e+00	4.765369950858644454e-01	4.831339763558744060e-01	4.098469745145217757e+01	2.855326216562019681e+01	4.780257169452391963e+01	-1.453189693864423315e+00	1.135576834219272246e+00	2.470819948482293967e+03	6.861471473688126821e+01	2.229922748958934609e+00	6.028088508186454364e-01	5.172159432336418394e-01	2.258262389976748441e+00	1.017648147042347375e+02	1.453414257421997036e+00	7.386210865342741627e-01	-3.978051730298333422e-02	3.315009996735346220e+01	2.668918399048402890e+00	1.661202467580809028e+00	1.278426616567248653e+00	1.248617394619887352e+09	4.353770582753292984e-01
2.187184017970034589e+00	7.869879649127341281e+01	2.959881886899728443e+01	2.230535617661130843e+00	4.227890951372991424e+00	4.518069493829989236e-01	6.028275429512338635e-01	4.952523767376995778e+01	3.297765626658816274e+01	4.909997762227612839e+01	2.132676996828060112e-01	2.702826282881131692e-01	2.926447255364999364e+03	7.373744337264243143e+01	1.696579539078102439e+00	4.554047763880955668e-01	7.202006846362047909e-01	2.235832847109398891e+00	1.181884051844782135e+02	1.630002325527044604e+00	8.911731422224720145e-01	2.162961470217354132e-01	4.445096181183578210e+01	2.040706933402956835e+00	6.270598238440517891e-01	6.191250180382168011e+00	1.248617394644138098e+09	5.017816085355719657e-01
