#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.042175199999999968e+00	-1.312964000000000075e-01	7.466977200000000092e-01	-4.176322299999999932e-01	1.355885800000000030e+00	1.296932299999999927e-01
5.279491000000000156e+00	1.051869399999999954e+00	-1.322726999999999931e-01	7.803039200000000397e-01	-3.975031800000000115e-01	1.335716399999999915e+00	1.115138799999999958e-01
5.574605000000000032e+00	1.060052599999999901e+00	-1.314364899999999892e-01	8.148835700000000015e-01	-3.756707200000000135e-01	1.314321199999999967e+00	9.300298699999999530e-02
5.886215299999999928e+00	1.066354999999999942e+00	-1.320568400000000087e-01	8.412079900000000166e-01	-3.552002799999999794e-01	1.291813700000000065e+00	7.442877900000000047e-02
6.215244099999999605e+00	1.068624000000000018e+00	-1.315778900000000029e-01	8.655177099999999957e-01	-3.350053199999999953e-01	1.270877299999999988e+00	5.878999499999999767e-02
6.562665100000000251e+00	1.067442900000000083e+00	-1.284460299999999888e-01	8.866846299999999736e-01	-3.138499200000000044e-01	1.252187399999999950e+00	4.235412399999999994e-02
6.929506199999999616e+00	1.065972799999999943e+00	-1.236738899999999947e-01	9.018785499999999455e-01	-2.910048499999999816e-01	1.231843500000000091e+00	2.947819900000000007e-02
7.316853100000000332e+00	1.060334499999999958e+00	-1.171378200000000036e-01	9.113366400000000311e-01	-2.657239599999999813e-01	1.212428199999999956e+00	2.033072500000000088e-02
7.725851999999999720e+00	1.053944999999999910e+00	-1.086061700000000019e-01	9.174665600000000421e-01	-2.399320600000000026e-01	1.191647600000000029e+00	1.371714400000000056e-02
8.157713100000000495e+00	1.045398599999999956e+00	-9.840402299999999325e-02	9.219918099999999672e-01	-2.140898199999999862e-01	1.172594600000000042e+00	1.018611699999999974e-02
8.613714599999999777e+00	1.037233199999999966e+00	-8.705754999999999744e-02	9.246857200000000443e-01	-1.873694300000000035e-01	1.154444599999999932e+00	7.575940800000000031e-03
9.095205699999999283e+00	1.029665999999999970e+00	-7.500396500000000577e-02	9.277930599999999473e-01	-1.608104900000000004e-01	1.136014599999999986e+00	6.818856400000000012e-03
9.603611199999999570e+00	1.023110200000000081e+00	-6.237472599999999839e-02	9.300168800000000457e-01	-1.345416600000000074e-01	1.119750900000000104e+00	7.166991999999999634e-03
1.014043599999999934e+01	1.017390299999999970e+00	-4.985840899999999937e-02	9.331868399999999619e-01	-1.101296900000000023e-01	1.104086799999999924e+00	8.709088900000000119e-03
1.070726799999999912e+01	1.011973000000000011e+00	-3.872174099999999702e-02	9.365698999999999552e-01	-8.889598099999999892e-02	1.089723100000000056e+00	9.501153700000000701e-03
1.130578500000000020e+01	1.007133400000000067e+00	-2.888601799999999942e-02	9.403355300000000305e-01	-6.983385300000000129e-02	1.076274600000000081e+00	1.081063200000000057e-02
