#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.198937600000000048e+00	5.141477299999999695e-02	9.950810100000000435e-01	-2.367256199999999977e-01	1.415533799999999953e+00	3.343991199999999941e-01
5.279491000000000156e+00	1.192406000000000077e+00	3.217649599999999888e-02	1.004351500000000064e+00	-2.098427499999999946e-01	1.392982900000000024e+00	2.672386400000000273e-01
5.574605000000000032e+00	1.181554900000000075e+00	1.389402999999999992e-02	1.011727700000000008e+00	-1.820331699999999941e-01	1.359111299999999911e+00	2.071199499999999971e-01
5.886215299999999928e+00	1.168175399999999975e+00	-2.088041899999999989e-03	1.020429699999999995e+00	-1.544873800000000075e-01	1.321406199999999975e+00	1.504417999999999866e-01
6.215244099999999605e+00	1.152047499999999891e+00	-1.374095000000000004e-02	1.029110399999999981e+00	-1.299040099999999864e-01	1.279688500000000007e+00	1.012292600000000015e-01
6.562665100000000251e+00	1.135629800000000023e+00	-2.220021900000000020e-02	1.035765400000000058e+00	-1.084001799999999988e-01	1.237944500000000003e+00	6.130619200000000241e-02
6.929506199999999616e+00	1.118015900000000062e+00	-2.903212599999999838e-02	1.038615899999999925e+00	-9.217562699999999609e-02	1.199996599999999969e+00	3.178658399999999967e-02
7.316853100000000332e+00	1.100862699999999972e+00	-3.442530399999999685e-02	1.036296499999999954e+00	-8.085078399999999499e-02	1.168594099999999969e+00	1.129579500000000084e-02
7.725851999999999720e+00	1.085751499999999981e+00	-3.802306300000000278e-02	1.028075099999999908e+00	-7.527633999999999714e-02	1.144523799999999980e+00	-1.809238199999999974e-03
8.157713100000000495e+00	1.071096499999999896e+00	-4.030076300000000333e-02	1.016696599999999950e+00	-7.237227100000000191e-02	1.127056899999999917e+00	-8.436424099999999260e-03
8.613714599999999777e+00	1.058305300000000004e+00	-4.183633900000000017e-02	1.005453099999999989e+00	-7.328628800000000498e-02	1.114181099999999924e+00	-1.095296500000000027e-02
9.095205699999999283e+00	1.048109799999999980e+00	-4.246013399999999660e-02	9.956710699999999914e-01	-7.430457599999999718e-02	1.103685500000000097e+00	-1.024263299999999925e-02
9.603611199999999570e+00	1.038959299999999919e+00	-4.248285000000000255e-02	9.883325699999999658e-01	-7.542093699999999346e-02	1.093473099999999976e+00	-8.242341800000000523e-03
1.014043599999999934e+01	1.031704600000000083e+00	-4.156058900000000195e-02	9.834404700000000110e-01	-7.655151500000000053e-02	1.084098999999999924e+00	-5.313685200000000351e-03
1.070726799999999912e+01	1.025721200000000000e+00	-3.949472799999999978e-02	9.809431100000000070e-01	-7.638145699999999982e-02	1.073312700000000008e+00	-1.800824900000000004e-03
1.130578500000000020e+01	1.020323199999999986e+00	-3.675665799999999761e-02	9.798076799999999587e-01	-7.605227000000000515e-02	1.063324099999999994e+00	1.146453599999999956e-03
1.193775800000000054e+01	1.016447899999999960e+00	-3.451139000000000290e-02	9.800678499999999627e-01	-7.507008299999999579e-02	1.054099399999999909e+00	3.850900500000000153e-03
1.260505700000000040e+01	1.012893100000000102e+00	-3.220865800000000112e-02	9.798738799999999749e-01	-7.406237899999999763e-02	1.046111999999999931e+00	5.903181000000000400e-03
1.330965699999999963e+01	1.009632099999999921e+00	-3.003306299999999873e-02	9.794927900000000021e-01	-7.173474300000000359e-02	1.039085400000000048e+00	7.477336400000000362e-03
1.405364299999999922e+01	1.006410199999999922e+00	-2.816661300000000007e-02	9.776604899999999931e-01	-6.908700099999999511e-02	1.034043700000000010e+00	8.067581500000000488e-03
1.483921600000000041e+01	1.002984700000000062e+00	-2.653914500000000010e-02	9.751039900000000316e-01	-6.513735099999999612e-02	1.030696300000000010e+00	7.224425399999999733e-03
1.566870100000000043e+01	1.000162100000000054e+00	-2.531297199999999956e-02	9.716970299999999616e-01	-5.980474399999999996e-02	1.028265399999999996e+00	5.535776800000000337e-03
1.654455300000000051e+01	9.974751800000000168e-01	-2.352351199999999989e-02	9.684466699999999539e-01	-5.366970699999999705e-02	1.026035500000000100e+00	3.324381899999999824e-03
1.746936399999999878e+01	9.953957199999999839e-01	-2.151842199999999886e-02	9.654110500000000483e-01	-4.671221200000000295e-02	1.024431499999999939e+00	1.451250799999999905e-03
1.844586999999999932e+01	9.931994800000000234e-01	-1.919902399999999856e-02	9.631150899999999515e-01	-3.970312799999999726e-02	1.022573600000000082e+00	-9.978125899999999401e-05
1.947696099999999930e+01	9.913636000000000115e-01	-1.646322700000000042e-02	9.618436099999999600e-01	-3.316715099999999888e-02	1.020051899999999900e+00	-5.410871099999999857e-04
2.056568800000000152e+01	9.894542299999999901e-01	-1.348062000000000045e-02	9.614799299999999826e-01	-2.796093599999999874e-02	1.017561399999999949e+00	9.679208599999999680e-04
2.171527199999999880e+01	9.883850600000000375e-01	-1.019607200000000047e-02	9.618846699999999972e-01	-2.421742199999999887e-02	1.015683399999999903e+00	4.403778300000000222e-03
2.292911700000000152e+01	9.880760299999999940e-01	-6.839083000000000141e-03	9.635610500000000300e-01	-2.172321199999999869e-02	1.013292599999999988e+00	8.828514699999999785e-03
2.421081300000000169e+01	9.884290999999999494e-01	-3.726461999999999830e-03	9.653012199999999599e-01	-2.006482999999999878e-02	1.011797400000000069e+00	1.341802500000000009e-02
2.556415399999999849e+01	9.889546099999999562e-01	-6.930340199999999529e-04	9.676094499999999821e-01	-1.861864900000000100e-02	1.010462699999999936e+00	1.784333299999999942e-02
2.699314400000000091e+01	9.898382300000000411e-01	1.779773099999999936e-03	9.701450299999999638e-01	-1.756031499999999995e-02	1.010301399999999905e+00	2.190901599999999991e-02
2.850201200000000057e+01	9.911510000000000042e-01	4.033214000000000243e-03	9.720073399999999975e-01	-1.670171399999999945e-02	1.010367999999999933e+00	2.503191000000000097e-02
3.009522300000000072e+01	9.924066200000000171e-01	6.204279899999999917e-03	9.740507299999999757e-01	-1.583561099999999944e-02	1.010924399999999945e+00	2.849147700000000116e-02
3.177749100000000126e+01	9.938352299999999584e-01	8.041338500000000042e-03	9.762720799999999866e-01	-1.510656399999999941e-02	1.011987799999999993e+00	3.093889899999999887e-02
3.355379599999999840e+01	9.957270599999999972e-01	9.474438700000000629e-03	9.782958899999999458e-01	-1.437625900000000061e-02	1.013186900000000001e+00	3.316931800000000319e-02
3.542939200000000000e+01	9.977975199999999933e-01	1.062330099999999992e-02	9.800625499999999768e-01	-1.308446100000000036e-02	1.015179099999999890e+00	3.449147500000000061e-02
3.740983200000000153e+01	9.996936400000000500e-01	1.138836399999999978e-02	9.813420800000000055e-01	-1.219861300000000051e-02	1.017889599999999950e+00	3.483854200000000012e-02
3.950097399999999936e+01	1.001619999999999955e+00	1.159733899999999991e-02	9.823052500000000187e-01	-1.170340299999999938e-02	1.021185299999999962e+00	3.466240699999999925e-02
4.170900699999999972e+01	1.003527000000000058e+00	1.160339999999999983e-02	9.831986700000000523e-01	-1.118561499999999945e-02	1.024386400000000030e+00	3.381451199999999796e-02
4.404046499999999753e+01	1.005382800000000021e+00	1.123040699999999954e-02	9.833693599999999702e-01	-1.093056300000000078e-02	1.027575399999999917e+00	3.296603299999999875e-02
4.650224699999999700e+01	1.007034900000000066e+00	1.029615099999999991e-02	9.836508400000000263e-01	-1.041236000000000071e-02	1.030682400000000110e+00	3.102665500000000021e-02
4.910163899999999870e+01	1.008083899999999922e+00	9.014524100000000789e-03	9.836175999999999808e-01	-1.027652800000000005e-02	1.033244499999999899e+00	2.843813800000000169e-02
5.184633199999999675e+01	1.009356200000000037e+00	7.920800000000000410e-03	9.842963399999999918e-01	-1.086752399999999993e-02	1.035382500000000094e+00	2.627561700000000111e-02
5.474444799999999844e+01	1.010117300000000107e+00	6.459753300000000038e-03	9.851179500000000200e-01	-1.158534999999999947e-02	1.036197899999999894e+00	2.371908899999999876e-02
5.780456399999999917e+01	1.010647999999999991e+00	4.906204200000000015e-03	9.858398600000000123e-01	-1.269204799999999918e-02	1.035938299999999979e+00	2.172524199999999878e-02
6.103573500000000251e+01	1.010591299999999970e+00	3.251736600000000067e-03	9.869663699999999817e-01	-1.418583900000000043e-02	1.034688100000000111e+00	2.028655299999999884e-02
6.444752200000000641e+01	1.010396000000000072e+00	1.511135100000000073e-03	9.886333600000000166e-01	-1.638641600000000087e-02	1.032642300000000013e+00	1.923501799999999956e-02
6.805002199999999846e+01	1.009946000000000010e+00	-2.792131499999999950e-04	9.900026600000000343e-01	-1.859998100000000154e-02	1.030087500000000045e+00	1.846072500000000075e-02
7.185389600000000598e+01	1.009372299999999889e+00	-1.699938200000000081e-03	9.910100600000000259e-01	-2.088347000000000120e-02	1.027281799999999912e+00	1.784943400000000083e-02
7.587039900000000614e+01	1.008301899999999973e+00	-3.266382999999999873e-03	9.919828400000000324e-01	-2.335447900000000090e-02	1.024488199999999960e+00	1.739032899999999951e-02
8.011141700000000299e+01	1.007099399999999978e+00	-4.515342999999999787e-03	9.926498000000000266e-01	-2.491798200000000171e-02	1.021380299999999908e+00	1.678287800000000107e-02
8.458950099999999850e+01	1.005614599999999914e+00	-5.447391000000000212e-03	9.932977800000000190e-01	-2.657145400000000129e-02	1.018087699999999929e+00	1.643392200000000011e-02
8.931790100000000621e+01	1.004077799999999909e+00	-6.084083799999999952e-03	9.932986900000000396e-01	-2.793417700000000101e-02	1.014910800000000002e+00	1.602755800000000078e-02
9.431060999999999694e+01	1.002472800000000053e+00	-6.367476799999999791e-03	9.930921799999999910e-01	-2.896376499999999896e-02	1.011898900000000046e+00	1.606149499999999855e-02
9.958240299999999934e+01	1.000861500000000071e+00	-6.442340399999999662e-03	9.924612099999999826e-01	-2.946412099999999937e-02	1.009342500000000031e+00	1.650425700000000134e-02
1.051488800000000055e+02	9.994889099999999527e-01	-6.009839599999999664e-03	9.908513700000000091e-01	-2.881462799999999838e-02	1.008002099999999901e+00	1.677997700000000147e-02
1.110265100000000018e+02	9.982528499999999694e-01	-5.323260100000000265e-03	9.884059600000000279e-01	-2.755217899999999956e-02	1.007990299999999895e+00	1.648610299999999848e-02
1.172326900000000052e+02	9.974158100000000138e-01	-4.544605400000000309e-03	9.854135600000000217e-01	-2.555880699999999936e-02	1.009161900000000056e+00	1.602311899999999886e-02
1.237857900000000058e+02	9.968450399999999600e-01	-3.659665600000000085e-03	9.829498399999999636e-01	-2.281234600000000071e-02	1.010949000000000098e+00	1.540741699999999964e-02
1.307051899999999875e+02	9.965753200000000422e-01	-2.728805799999999785e-03	9.808308399999999816e-01	-2.002023099999999944e-02	1.012628899999999943e+00	1.413587600000000034e-02
1.380113800000000026e+02	9.966429700000000169e-01	-1.702033699999999953e-03	9.793567300000000087e-01	-1.693915299999999846e-02	1.014065999999999912e+00	1.283663699999999970e-02
1.457259599999999864e+02	9.969849800000000206e-01	-1.044839400000000017e-03	9.789394500000000443e-01	-1.433906599999999927e-02	1.015419300000000025e+00	1.167170799999999939e-02
1.538717800000000011e+02	9.965560999999999447e-01	-5.513332300000000448e-04	9.784528399999999904e-01	-1.175689100000000022e-02	1.015088200000000107e+00	1.020353700000000037e-02
1.624729399999999941e+02	9.976775900000000030e-01	-1.617135500000000130e-04	9.796061600000000036e-01	-1.026778899999999939e-02	1.016141600000000089e+00	9.609146100000000301e-03
1.715548799999999972e+02	9.984869800000000239e-01	4.697394299999999858e-05	9.807291299999999490e-01	-8.714181499999999400e-03	1.016113499999999892e+00	8.885623000000000479e-03
1.811444899999999905e+02	9.989913799999999844e-01	2.171971999999999878e-04	9.821810499999999999e-01	-7.838264200000000237e-03	1.016015300000000066e+00	8.187952899999999951e-03
1.912701399999999978e+02	9.995632700000000037e-01	3.036334899999999781e-04	9.836422500000000513e-01	-7.284738399999999940e-03	1.015707399999999927e+00	7.715533400000000250e-03
2.019617900000000077e+02	1.000125900000000012e+00	3.018132499999999822e-04	9.850344399999999556e-01	-7.004095000000000112e-03	1.015374100000000057e+00	7.452253899999999702e-03
2.132510900000000049e+02	1.000580000000000025e+00	1.292893999999999890e-04	9.863613799999999543e-01	-6.998450699999999615e-03	1.014844499999999927e+00	7.088585399999999814e-03
2.251714399999999898e+02	1.000974000000000030e+00	-4.391518099999999725e-05	9.876915600000000239e-01	-7.042000100000000117e-03	1.014329700000000001e+00	6.953459199999999577e-03
2.377581199999999910e+02	1.001264600000000060e+00	-1.833736900000000017e-04	9.888511800000000518e-01	-7.101720800000000007e-03	1.013902599999999987e+00	6.731092999999999625e-03
2.510483700000000056e+02	1.001592100000000096e+00	-3.386833399999999929e-04	9.899282299999999646e-01	-7.141902399999999589e-03	1.013446999999999987e+00	6.508643199999999789e-03
2.650815200000000118e+02	1.001743499999999898e+00	-4.117621300000000014e-04	9.910822099999999635e-01	-7.093006800000000063e-03	1.012715699999999996e+00	6.344865899999999753e-03
2.798990999999999758e+02	1.001924599999999943e+00	-4.750842399999999832e-04	9.919011699999999987e-01	-6.985751299999999782e-03	1.012139899999999981e+00	6.080147299999999824e-03
2.955449499999999716e+02	1.001990200000000053e+00	-5.209982200000000440e-04	9.927650999999999559e-01	-6.802836399999999742e-03	1.011553300000000100e+00	5.727687199999999604e-03
3.120653800000000047e+02	1.002065299999999937e+00	-5.330541900000000362e-04	9.935051200000000193e-01	-6.529373300000000310e-03	1.011021399999999959e+00	5.505525300000000365e-03
3.295092700000000150e+02	1.002159199999999917e+00	-4.873867200000000220e-04	9.939565700000000392e-01	-6.216273599999999795e-03	1.010491999999999946e+00	5.173841000000000204e-03
3.479282499999999914e+02	1.002123700000000062e+00	-4.585854699999999799e-04	9.944155000000000078e-01	-5.849799200000000213e-03	1.010123600000000010e+00	4.927644000000000121e-03
3.673768099999999777e+02	1.002060299999999904e+00	-2.938198599999999926e-04	9.945326300000000286e-01	-5.527478399999999868e-03	1.009930500000000064e+00	4.945917700000000000e-03
3.879125099999999975e+02	1.001865100000000064e+00	4.246346899999999946e-05	9.943463299999999450e-01	-5.277623900000000257e-03	1.009646499999999891e+00	5.393736599999999874e-03
4.095961199999999849e+02	1.003319999999999990e+00	1.358016899999999957e-03	9.954069399999999623e-01	-4.364776100000000367e-03	1.011357899999999921e+00	7.080017800000000354e-03
4.324918000000000120e+02	1.001756400000000102e+00	1.258078599999999918e-03	9.941096499999999558e-01	-5.176903400000000197e-03	1.009703999999999935e+00	7.764042900000000386e-03
4.566673099999999863e+02	1.002834400000000015e+00	2.947209300000000216e-03	9.945164199999999566e-01	-4.858665899999999732e-03	1.011227899999999957e+00	1.093888699999999957e-02
4.821941899999999919e+02	1.005646700000000004e+00	8.032464299999999896e-04	9.961095500000000103e-01	-5.821986799999999754e-03	1.015196900000000069e+00	7.179802100000000353e-03
5.091479699999999866e+02	1.004169199999999984e+00	1.493857500000000081e-03	9.948850099999999586e-01	-6.289275500000000158e-03	1.013728600000000091e+00	9.076799099999999579e-03
