#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500140999999999669e-02	1.050000000000000044e+00	3.500140999999999669e-02
5.361336099999999938e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500162099999999665e-02	1.050000000000000044e+00	3.500162099999999665e-02
5.748784999999999812e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500186400000000059e-02	1.050000000000000044e+00	3.500186400000000059e-02
6.164233699999999594e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500214299999999945e-02	1.050000000000000044e+00	3.500214299999999945e-02
6.609705700000000128e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500246399999999702e-02	1.050000000000000044e+00	3.500246399999999702e-02
7.087370800000000415e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500283299999999709e-02	1.050000000000000044e+00	3.500283299999999709e-02
7.599555399999999850e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500325700000000290e-02	1.050000000000000044e+00	3.500325700000000290e-02
8.148754200000000836e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500374500000000277e-02	1.050000000000000044e+00	3.500374500000000277e-02
8.737641999999999243e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500430499999999945e-02	1.050000000000000044e+00	3.500430499999999945e-02
9.369087099999999779e+00	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500494999999999995e-02	1.050000000000000044e+00	3.500494999999999995e-02
1.004616500000000023e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500569199999999798e-02	1.050000000000000044e+00	3.500569199999999798e-02
1.077217300000000044e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500654400000000055e-02	1.050000000000000044e+00	3.500654400000000055e-02
1.155064899999999994e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500752399999999820e-02	1.050000000000000044e+00	3.500752399999999820e-02
1.238538199999999989e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500865000000000227e-02	1.050000000000000044e+00	3.500865000000000227e-02
1.328043899999999944e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.500994500000000065e-02	1.050000000000000044e+00	3.500994500000000065e-02
1.424017899999999948e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501143500000000047e-02	1.050000000000000044e+00	3.501143500000000047e-02
1.526927799999999991e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501314700000000141e-02	1.050000000000000044e+00	3.501314700000000141e-02
1.637274599999999936e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501511499999999943e-02	1.050000000000000044e+00	3.501511499999999943e-02
1.755595900000000142e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501737800000000178e-02	1.050000000000000044e+00	3.501737800000000178e-02
1.882467899999999972e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.501997999999999917e-02	1.050000000000000044e+00	3.501997999999999917e-02
2.018508599999999831e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.502297099999999996e-02	1.050000000000000044e+00	3.502297099999999996e-02
2.164380600000000143e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.502641000000000088e-02	1.050000000000000044e+00	3.502641000000000088e-02
2.320794400000000124e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.503036300000000186e-02	1.050000000000000044e+00	3.503036300000000186e-02
2.488511799999999852e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.503490799999999655e-02	1.050000000000000044e+00	3.503490799999999655e-02
2.668349600000000166e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.504013300000000108e-02	1.050000000000000044e+00	3.504013300000000108e-02
2.861183799999999877e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.504613899999999699e-02	1.050000000000000044e+00	3.504613899999999699e-02
3.067953599999999881e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.505304299999999901e-02	1.050000000000000044e+00	3.505304299999999901e-02
3.289666100000000171e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.506097999999999854e-02	1.050000000000000044e+00	3.506097999999999854e-02
3.527401199999999903e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.507010299999999831e-02	1.050000000000000044e+00	3.507010299999999831e-02
3.782316600000000051e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.508058900000000230e-02	1.050000000000000044e+00	3.508058900000000230e-02
4.055654200000000031e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.509264200000000028e-02	1.050000000000000044e+00	3.509264200000000028e-02
4.348745000000000260e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.510649500000000145e-02	1.050000000000000044e+00	3.510649500000000145e-02
4.663016700000000014e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.512241599999999658e-02	1.050000000000000044e+00	3.512241599999999658e-02
5.000000000000000000e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.514071099999999809e-02	1.050000000000000044e+00	3.514071099999999809e-02
5.361336099999999760e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.516173599999999899e-02	1.050000000000000044e+00	3.516173599999999899e-02
5.748785000000000167e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.518589300000000281e-02	1.050000000000000044e+00	3.518589300000000281e-02
6.164233699999999772e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.521364700000000070e-02	1.050000000000000044e+00	3.521364700000000070e-02
6.609705700000000661e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.524552999999999714e-02	1.050000000000000044e+00	3.524552999999999714e-02
7.087370799999999349e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.528215299999999666e-02	1.050000000000000044e+00	3.528215299999999666e-02
7.599555399999999850e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.532421399999999961e-02	1.050000000000000044e+00	3.532421399999999961e-02
8.148754200000000480e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.537251100000000231e-02	1.050000000000000044e+00	3.537251100000000231e-02
8.737641999999999598e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.542796000000000139e-02	1.050000000000000044e+00	3.542796000000000139e-02
9.369087100000000135e+01	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.549160600000000193e-02	1.050000000000000044e+00	3.549160600000000193e-02
1.004616500000000059e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.556464200000000048e-02	1.050000000000000044e+00	3.556464200000000048e-02
1.077217299999999938e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.564843100000000126e-02	1.050000000000000044e+00	3.564843100000000126e-02
1.155064899999999994e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.574452599999999869e-02	1.050000000000000044e+00	3.574452599999999869e-02
1.238538199999999989e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.585469299999999998e-02	1.050000000000000044e+00	3.585469299999999998e-02
1.328043900000000122e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.598094100000000239e-02	1.050000000000000044e+00	3.598094100000000239e-02
1.424017900000000054e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.612555099999999880e-02	1.050000000000000044e+00	3.612555099999999880e-02
1.526927799999999991e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.629110399999999764e-02	1.050000000000000044e+00	3.629110399999999764e-02
1.637274600000000078e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.648052300000000081e-02	1.050000000000000044e+00	3.648052300000000081e-02
1.755595899999999858e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.669709899999999692e-02	1.050000000000000044e+00	3.669709899999999692e-02
1.882467900000000043e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.694454099999999741e-02	1.050000000000000044e+00	3.694454099999999741e-02
2.018508600000000115e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.722700599999999999e-02	1.050000000000000044e+00	3.722700599999999999e-02
2.164380600000000072e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.754914599999999852e-02	1.050000000000000044e+00	3.754914599999999852e-02
2.320794400000000053e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.791614699999999727e-02	1.050000000000000044e+00	3.791614699999999727e-02
2.488511799999999994e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.833376599999999829e-02	1.050000000000000044e+00	3.833376599999999829e-02
2.668349600000000237e+02	1.000000000000000000e+00	0.000000000000000000e+00	9.499999999999999556e-01	-3.880837399999999965e-02	1.050000000000000044e+00	3.880837399999999965e-02
