#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.198331500000000105e+00	5.101852099999999723e-02	9.954228000000000520e-01	-2.365768000000000038e-01	1.414758799999999983e+00	3.334662999999999933e-01
5.279491000000000156e+00	1.191940900000000081e+00	3.199378900000000164e-02	1.004213900000000104e+00	-2.095658699999999874e-01	1.392232300000000089e+00	2.664166600000000273e-01
5.574605000000000032e+00	1.181376399999999993e+00	1.379697499999999952e-02	1.011986999999999970e+00	-1.816881499999999927e-01	1.358367600000000008e+00	2.067670000000000063e-01
5.886215299999999928e+00	1.168029800000000007e+00	-2.045650100000000020e-03	1.020795499999999967e+00	-1.541204300000000027e-01	1.320810100000000098e+00	1.500036999999999898e-01
6.215244099999999605e+00	1.152115900000000082e+00	-1.366554900000000079e-02	1.028982700000000028e+00	-1.297133599999999998e-01	1.279148900000000033e+00	1.011148600000000009e-01
6.562665100000000251e+00	1.135499700000000001e+00	-2.219877599999999992e-02	1.035661900000000024e+00	-1.081718499999999999e-01	1.237771399999999966e+00	6.126220400000000066e-02
6.929506199999999616e+00	1.117913399999999946e+00	-2.896363600000000094e-02	1.038671700000000087e+00	-9.205398400000000536e-02	1.199846799999999991e+00	3.185008799999999862e-02
7.316853100000000332e+00	1.100850499999999954e+00	-3.433843799999999891e-02	1.036237800000000098e+00	-8.069290099999999744e-02	1.168202200000000079e+00	1.129613699999999950e-02
7.725851999999999720e+00	1.085662300000000080e+00	-3.793406700000000187e-02	1.028137300000000032e+00	-7.521645600000000098e-02	1.144349499999999908e+00	-1.765136999999999956e-03
8.157713100000000495e+00	1.071063099999999935e+00	-4.022856799999999927e-02	1.016571099999999950e+00	-7.228014600000000345e-02	1.126852299999999918e+00	-8.329135200000000600e-03
8.613714599999999777e+00	1.058376100000000042e+00	-4.169818499999999872e-02	1.005602899999999966e+00	-7.318134199999999645e-02	1.114032799999999934e+00	-1.086604600000000073e-02
9.095205699999999283e+00	1.048124400000000067e+00	-4.234450599999999704e-02	9.957842399999999872e-01	-7.422763599999999962e-02	1.103471099999999927e+00	-1.020645700000000038e-02
9.603611199999999570e+00	1.038896000000000042e+00	-4.236247900000000149e-02	9.884656699999999629e-01	-7.528746499999999786e-02	1.093377299999999996e+00	-8.219158199999999914e-03
1.014043599999999934e+01	1.031629899999999989e+00	-4.141394600000000009e-02	9.835751700000000541e-01	-7.639541900000000607e-02	1.084037499999999987e+00	-5.299099899999999697e-03
1.070726799999999912e+01	1.025822000000000012e+00	-3.945097499999999924e-02	9.812235299999999549e-01	-7.624873299999999909e-02	1.073220599999999969e+00	-1.873366900000000097e-03
1.130578500000000020e+01	1.020439899999999955e+00	-3.669155200000000228e-02	9.799453299999999478e-01	-7.587154200000000015e-02	1.063249799999999912e+00	1.137815500000000091e-03
1.193775800000000054e+01	1.016525600000000029e+00	-3.447630000000000139e-02	9.801282199999999944e-01	-7.492452700000000465e-02	1.054171299999999922e+00	3.837660299999999785e-03
1.260505700000000040e+01	1.013022899999999948e+00	-3.211534099999999864e-02	9.799545699999999693e-01	-7.384581199999999679e-02	1.046119900000000102e+00	5.910665100000000310e-03
1.330965699999999963e+01	1.009671900000000067e+00	-2.994135599999999883e-02	9.795009199999999971e-01	-7.173008300000000004e-02	1.039206199999999969e+00	7.332364899999999942e-03
1.405364299999999922e+01	1.006521999999999917e+00	-2.809972599999999848e-02	9.776895199999999786e-01	-6.901090799999999581e-02	1.034121300000000021e+00	8.117277600000000204e-03
1.483921600000000041e+01	1.003096999999999905e+00	-2.653450699999999884e-02	9.751689300000000449e-01	-6.513696500000000500e-02	1.030723099999999892e+00	7.221146399999999604e-03
1.566870100000000043e+01	1.000253599999999965e+00	-2.531817899999999968e-02	9.719009699999999752e-01	-5.976475500000000274e-02	1.028374399999999911e+00	5.499691299999999797e-03
1.654455300000000051e+01	9.976306900000000422e-01	-2.353064300000000039e-02	9.686406199999999522e-01	-5.368497700000000178e-02	1.026108800000000043e+00	3.439571099999999809e-03
1.746936399999999878e+01	9.954934600000000522e-01	-2.149876499999999954e-02	9.656541400000000497e-01	-4.679683800000000032e-02	1.024709000000000092e+00	1.432131600000000103e-03
1.844586999999999932e+01	9.933219500000000091e-01	-1.923472600000000060e-02	9.631483400000000472e-01	-3.979059199999999963e-02	1.022662900000000041e+00	-1.418142500000000119e-04
1.947696099999999930e+01	9.915169499999999525e-01	-1.650759599999999938e-02	9.618851499999999666e-01	-3.328101900000000196e-02	1.020280099999999912e+00	-5.825825699999999992e-04
2.056568800000000152e+01	9.894936199999999626e-01	-1.352766700000000016e-02	9.614875600000000189e-01	-2.801901099999999992e-02	1.017612299999999914e+00	9.727511600000000088e-04
2.171527199999999880e+01	9.884088899999999844e-01	-1.024529599999999922e-02	9.618036899999999889e-01	-2.435201500000000116e-02	1.015754400000000057e+00	4.311409500000000158e-03
2.292911700000000152e+01	9.880994400000000510e-01	-6.867951500000000348e-03	9.633137899999999476e-01	-2.181887100000000010e-02	1.013484400000000063e+00	8.706362800000000748e-03
2.421081300000000169e+01	9.883769500000000319e-01	-3.762145000000000159e-03	9.650913800000000542e-01	-2.011935399999999902e-02	1.011861099999999958e+00	1.328646500000000077e-02
2.556415399999999849e+01	9.889359100000000291e-01	-6.926054999999999538e-04	9.674155500000000130e-01	-1.865677300000000149e-02	1.010547199999999979e+00	1.784272099999999889e-02
2.699314400000000091e+01	9.897992500000000193e-01	1.762906500000000019e-03	9.698175599999999674e-01	-1.769256699999999932e-02	1.010407400000000067e+00	2.191465399999999869e-02
2.850201200000000057e+01	9.910291799999999540e-01	3.994463299999999849e-03	9.717420100000000449e-01	-1.687859699999999866e-02	1.010358000000000089e+00	2.509219500000000116e-02
3.009522300000000072e+01	9.922970199999999741e-01	6.295440999999999711e-03	9.738373799999999747e-01	-1.593970399999999898e-02	1.010959299999999894e+00	2.862920000000000048e-02
3.177749100000000126e+01	9.938024199999999642e-01	8.023560000000000761e-03	9.760898599999999758e-01	-1.519818700000000015e-02	1.012048999999999976e+00	3.117766400000000077e-02
3.355379599999999840e+01	9.956396699999999766e-01	9.581986299999999471e-03	9.781763199999999880e-01	-1.451926899999999958e-02	1.013265400000000094e+00	3.338523899999999711e-02
3.542939200000000000e+01	9.976477999999999735e-01	1.070522699999999945e-02	9.798251999999999517e-01	-1.330912300000000083e-02	1.015209599999999934e+00	3.469503100000000118e-02
3.740983200000000153e+01	9.996167999999999720e-01	1.154821399999999935e-02	9.812040199999999546e-01	-1.223750399999999974e-02	1.017948000000000075e+00	3.524926400000000237e-02
3.950097399999999936e+01	1.001645499999999966e+00	1.173911700000000030e-02	9.821629499999999791e-01	-1.177661399999999949e-02	1.021235200000000010e+00	3.495144800000000301e-02
4.170900699999999972e+01	1.003537799999999924e+00	1.167503500000000027e-02	9.829874400000000456e-01	-1.131921299999999984e-02	1.024549799999999955e+00	3.416912700000000053e-02
4.404046499999999753e+01	1.005439500000000042e+00	1.131693299999999951e-02	9.833183399999999574e-01	-1.108572799999999955e-02	1.027824899999999930e+00	3.335391900000000270e-02
4.650224699999999700e+01	1.007006300000000021e+00	1.038283499999999998e-02	9.834144400000000008e-01	-1.054549200000000006e-02	1.030814099999999955e+00	3.125389199999999840e-02
4.910163899999999870e+01	1.008116400000000024e+00	9.093731699999999668e-03	9.835547000000000040e-01	-1.036985999999999984e-02	1.033461900000000044e+00	2.865556699999999984e-02
5.184633199999999675e+01	1.009433000000000025e+00	7.949595000000000272e-03	9.842386800000000324e-01	-1.096930599999999985e-02	1.035667700000000080e+00	2.646780699999999945e-02
5.474444799999999844e+01	1.010247099999999953e+00	6.416060099999999940e-03	9.850983199999999718e-01	-1.171305299999999931e-02	1.036545400000000061e+00	2.394659299999999866e-02
5.780456399999999917e+01	1.010743600000000075e+00	4.886732700000000207e-03	9.858913599999999944e-01	-1.281046299999999936e-02	1.035996300000000092e+00	2.173446799999999984e-02
6.103573500000000251e+01	1.010674300000000025e+00	3.222401599999999942e-03	9.871350800000000536e-01	-1.446300000000000016e-02	1.034810699999999972e+00	2.035816099999999962e-02
6.444752200000000641e+01	1.010470200000000096e+00	1.470752299999999969e-03	9.887451699999999510e-01	-1.663737300000000044e-02	1.032680899999999902e+00	1.926512699999999995e-02
6.805002199999999846e+01	1.009970000000000034e+00	-3.190807799999999879e-04	9.900780200000000031e-01	-1.870562699999999898e-02	1.030140499999999903e+00	1.844486500000000126e-02
7.185389600000000598e+01	1.009362899999999952e+00	-1.811301800000000026e-03	9.910522099999999890e-01	-2.113811200000000057e-02	1.027216499999999977e+00	1.781794500000000170e-02
7.587039900000000614e+01	1.008285400000000109e+00	-3.374971499999999784e-03	9.919625899999999774e-01	-2.338135900000000086e-02	1.024380599999999975e+00	1.727076400000000095e-02
8.011141700000000299e+01	1.007085599999999914e+00	-4.540972899999999764e-03	9.926904600000000523e-01	-2.495582600000000040e-02	1.021262499999999962e+00	1.669727000000000017e-02
8.458950099999999850e+01	1.005557199999999929e+00	-5.485959799999999727e-03	9.932590900000000111e-01	-2.656697699999999857e-02	1.018040899999999915e+00	1.643897199999999961e-02
8.931790100000000621e+01	1.004042700000000066e+00	-6.111653100000000345e-03	9.932751399999999453e-01	-2.788360900000000017e-02	1.014878299999999900e+00	1.599952799999999897e-02
9.431060999999999694e+01	1.002436399999999894e+00	-6.358604500000000076e-03	9.930550900000000292e-01	-2.895625199999999830e-02	1.011898399999999976e+00	1.602045200000000100e-02
9.958240299999999934e+01	1.000826200000000110e+00	-6.428126800000000425e-03	9.923957100000000420e-01	-2.938986099999999976e-02	1.009322400000000064e+00	1.640351699999999940e-02
1.051488800000000055e+02	9.994567100000000259e-01	-6.041974599999999640e-03	9.908083600000000546e-01	-2.871127899999999927e-02	1.007983000000000073e+00	1.667392900000000053e-02
1.110265100000000018e+02	9.982146499999999811e-01	-5.343153300000000328e-03	9.883415199999999734e-01	-2.743347299999999989e-02	1.007973599999999914e+00	1.640740400000000043e-02
1.172326900000000052e+02	9.974157999999999635e-01	-4.551415700000000300e-03	9.853813200000000050e-01	-2.544706999999999872e-02	1.009142900000000065e+00	1.592215500000000034e-02
1.237857900000000058e+02	9.968827399999999894e-01	-3.653908400000000119e-03	9.829096000000000499e-01	-2.272955299999999956e-02	1.010904599999999931e+00	1.528894800000000012e-02
1.307051899999999875e+02	9.965696099999999946e-01	-2.739516799999999839e-03	9.808497400000000255e-01	-1.994392399999999829e-02	1.012598600000000015e+00	1.404080899999999958e-02
1.380113800000000026e+02	9.966012400000000548e-01	-1.704997900000000070e-03	9.794213000000000502e-01	-1.688540800000000106e-02	1.014070999999999945e+00	1.276952899999999995e-02
1.457259599999999864e+02	9.969616700000000220e-01	-1.052655900000000087e-03	9.790255799999999509e-01	-1.432194200000000070e-02	1.015319000000000083e+00	1.163140399999999970e-02
1.538717800000000011e+02	9.965543799999999619e-01	-5.676717200000000029e-04	9.784966800000000076e-01	-1.173038099999999979e-02	1.015026299999999937e+00	1.017616699999999985e-02
1.624729399999999941e+02	9.976231500000000141e-01	-1.464381199999999911e-04	9.796216399999999602e-01	-1.025926100000000042e-02	1.016055500000000000e+00	9.577717100000000816e-03
1.715548799999999972e+02	9.984743900000000449e-01	4.305316000000000031e-05	9.806994599999999673e-01	-8.764851599999999923e-03	1.016061600000000009e+00	8.870726599999999989e-03
1.811444899999999905e+02	9.989715700000000309e-01	2.186147899999999920e-04	9.821969799999999973e-01	-7.832574900000000007e-03	1.015940000000000065e+00	8.198265399999999856e-03
1.912701399999999978e+02	9.995088699999999937e-01	3.153044699999999942e-04	9.835855000000000015e-01	-7.283633900000000168e-03	1.015681400000000068e+00	7.734334800000000100e-03
2.019617900000000077e+02	1.000143100000000063e+00	3.111007999999999742e-04	9.850285500000000027e-01	-7.008560500000000221e-03	1.015367399999999920e+00	7.453961200000000335e-03
2.132510900000000049e+02	1.000586799999999998e+00	1.334799199999999971e-04	9.863298099999999735e-01	-7.014454600000000033e-03	1.014852700000000052e+00	7.117102400000000287e-03
2.251714399999999898e+02	1.000983699999999921e+00	-5.435167500000000169e-05	9.877106199999999836e-01	-7.051427499999999605e-03	1.014328600000000025e+00	6.959361199999999914e-03
2.377581199999999910e+02	1.001245699999999905e+00	-1.728063200000000074e-04	9.887973399999999691e-01	-7.102881200000000193e-03	1.013917100000000016e+00	6.732901599999999674e-03
2.510483700000000056e+02	1.001569200000000048e+00	-3.307309600000000126e-04	9.899495200000000272e-01	-7.137331099999999831e-03	1.013437600000000050e+00	6.501106100000000020e-03
2.650815200000000118e+02	1.001740999999999993e+00	-3.959644200000000079e-04	9.911100900000000546e-01	-7.087016100000000270e-03	1.012725499999999945e+00	6.323845500000000418e-03
2.798990999999999758e+02	1.001932100000000103e+00	-4.812471400000000051e-04	9.919357899999999839e-01	-6.979781200000000074e-03	1.012165500000000051e+00	6.086462699999999754e-03
2.955449499999999716e+02	1.001998699999999909e+00	-5.251130399999999606e-04	9.927114200000000110e-01	-6.798853900000000408e-03	1.011541100000000082e+00	5.741316699999999586e-03
3.120653800000000047e+02	1.002061000000000091e+00	-5.219664199999999579e-04	9.934787299999999766e-01	-6.529317800000000033e-03	1.011024300000000098e+00	5.511928000000000140e-03
3.295092700000000150e+02	1.002153899999999931e+00	-4.753984000000000053e-04	9.939550900000000411e-01	-6.215131399999999744e-03	1.010496599999999967e+00	5.167483300000000161e-03
3.479282499999999914e+02	1.002110499999999904e+00	-4.565771399999999855e-04	9.943999799999999611e-01	-5.839585100000000036e-03	1.010150399999999893e+00	4.924371900000000177e-03
3.673768099999999777e+02	1.002039600000000030e+00	-2.905650400000000101e-04	9.945389000000000035e-01	-5.522109300000000408e-03	1.009930299999999948e+00	4.948652300000000101e-03
3.879125099999999975e+02	1.001838500000000076e+00	4.309532500000000230e-05	9.943626300000000251e-01	-5.277037899999999920e-03	1.009676299999999971e+00	5.398617799999999925e-03
4.095961199999999849e+02	1.003334799999999971e+00	1.358068600000000023e-03	9.953690299999999880e-01	-4.364372800000000316e-03	1.011377500000000040e+00	7.080900200000000283e-03
4.324918000000000120e+02	1.001760699999999948e+00	1.261451700000000044e-03	9.941262499999999891e-01	-5.163888800000000431e-03	1.009739600000000070e+00	7.763677400000000214e-03
4.566673099999999863e+02	1.002819499999999975e+00	2.928189999999999786e-03	9.945187300000000175e-01	-4.852350099999999666e-03	1.011272799999999972e+00	1.092806500000000069e-02
4.821941899999999919e+02	1.005659300000000034e+00	8.015874000000000089e-04	9.960906999999999956e-01	-5.817985900000000217e-03	1.015225999999999962e+00	7.191292000000000170e-03
5.091479699999999866e+02	1.004159299999999977e+00	1.493841199999999944e-03	9.948749300000000462e-01	-6.288999800000000251e-03	1.013734799999999936e+00	9.077200100000000146e-03
5.376084299999999985e+02	1.005526900000000001e+00	1.907433499999999999e-03	9.949179400000000006e-01	-6.296827900000000373e-03	1.016436899999999977e+00	9.985011300000000770e-03
5.676597699999999804e+02	1.003969300000000064e+00	6.149857299999999779e-04	9.943142499999999551e-01	-7.650225699999999886e-03	1.013828200000000068e+00	8.770360099999999215e-03
5.993909200000000510e+02	1.003513300000000052e+00	1.466621499999999937e-03	9.936799099999999996e-01	-7.750829600000000083e-03	1.013650200000000057e+00	1.047040599999999981e-02
6.328957900000000336e+02	1.003802800000000106e+00	2.019298699999999905e-03	9.935574799999999929e-01	-7.630093200000000186e-03	1.014346600000000098e+00	1.140967499999999933e-02
6.682735300000000507e+02	1.004162599999999905e+00	2.095524399999999787e-03	9.936413200000000501e-01	-7.315049199999999752e-03	1.014959900000000026e+00	1.145257099999999993e-02
7.056288100000000441e+02	1.004464100000000082e+00	2.047374399999999945e-03	9.937870100000000262e-01	-7.070529899999999750e-03	1.015157800000000110e+00	1.109424900000000047e-02
7.450721899999999778e+02	1.004466999999999999e+00	1.876654300000000055e-03	9.941552000000000167e-01	-6.837361000000000133e-03	1.014887099999999931e+00	1.044909999999999936e-02
7.867203799999999774e+02	1.004410699999999990e+00	1.679247600000000019e-03	9.944831899999999614e-01	-6.546781899999999654e-03	1.014383599999999941e+00	9.900476599999999405e-03
8.306966200000000526e+02	1.004202800000000062e+00	1.539473800000000026e-03	9.948358600000000163e-01	-6.206628799999999897e-03	1.013708999999999971e+00	9.228723899999999314e-03
8.771310700000000224e+02	1.004056899999999919e+00	1.430931500000000040e-03	9.950565900000000186e-01	-5.914758499999999732e-03	1.013002399999999970e+00	8.788258300000000717e-03
9.261611100000000079e+02	1.003970199999999924e+00	1.450178799999999940e-03	9.952770600000000467e-01	-5.687706800000000111e-03	1.012663799999999892e+00	8.490985700000000178e-03
9.779318399999999656e+02	1.003922399999999993e+00	1.265927600000000012e-03	9.953924699999999737e-01	-5.859092800000000045e-03	1.012563000000000102e+00	8.288634399999999722e-03
1.032596500000000106e+03	1.003824499999999897e+00	9.947382100000000307e-04	9.952229200000000109e-01	-6.217717099999999809e-03	1.012598899999999968e+00	8.074622199999999250e-03
1.090316700000000083e+03	1.003824499999999897e+00	6.635884699999999685e-04	9.950898400000000033e-01	-6.972350100000000023e-03	1.012803899999999979e+00	8.162739000000000453e-03
1.151263500000000022e+03	1.003760399999999997e+00	2.546888600000000178e-04	9.946279799999999671e-01	-7.858854499999999924e-03	1.013281600000000005e+00	8.391570900000000846e-03
