phi_2	total_mass_source	luminosity_distance	chirp_mass	phi_jl	mass_1	psi	mass_2	tilt_2	a_1	chirp_mass_source	mass_2_source	a_2	iota	mass_1_source	mass_ratio	chi_eff	phase	theta_jn	phi_1	chi_p	dec	phi_12	total_mass	geocent_time	ra	tilt_1	redshift
3.848102363424265260e+00	6.574605224400535519e+01	1.219677738610813094e+03	3.464716492905671430e+01	3.908099803194190258e+00	4.823832121714248444e+01	2.430507352544480693e+00	3.306983472042495009e+01	1.140420044275830103e+00	4.822713416201881431e-01	2.801581574770348837e+01	2.674038116052160063e+01	8.339063082193964860e-01	6.740940182459158603e-01	3.900567108348374745e+01	6.855511113573516946e-01	1.464960342947903282e-01	3.665685216916171107e+00	4.461114400968551053e-01	3.533727829129352127e+00	4.925786317349165611e-01	8.537195563664434772e-02	3.143745342949129662e-01	8.130815593756743453e+01	1.262879936103876352e+09	5.104032651134538412e+00	1.553352796790511414e+00	2.367001996683536780e-01
1.427411959865496627e-01	6.661847951313130523e+01	9.052712164060102396e+02	3.412799523879439789e+01	5.434507764878818037e+00	4.245036482881475592e+01	2.797546336539181056e+00	3.624876147793143133e+01	1.355377185153988639e+00	6.258932923321709474e-01	2.888920447195581076e+01	3.068442417621801610e+01	6.023558225318890180e-01	2.878422341157233166e+00	3.593405533691328202e+01	8.539093038212534070e-01	4.224622644965257343e-03	4.220359006607905528e-01	2.815415432560543607e+00	2.799178091455150508e+00	6.175069798647713215e-01	-2.305058845782528287e-01	3.626748411710985387e+00	7.869912630674619436e+01	1.262879936098050356e+09	5.178754898492833547e+00	1.734680301673691138e+00	1.813407763417003160e-01
5.427525803879179378e+00	6.600531204935867891e+01	9.340284392501616821e+02	3.403246894399807587e+01	5.368789837608426652e+00	4.122584350420788724e+01	1.748476351686782726e+00	3.709127658005303374e+01	5.071343164399372272e-01	2.123530548922709371e-01	2.868240979803515600e+01	3.126035893992837345e+01	3.402790707320392793e-01	2.438622797213633397e+00	3.474495310943030546e+01	8.997093431518790041e-01	8.743813929778676552e-02	3.838090954643216257e+00	2.381863384411961437e+00	4.240960213239844734e+00	1.865179915939207400e-01	-8.141797496250893218e-01	1.186565590639335754e+00	7.831712008426092098e+01	1.262879936072031260e+09	4.265171037539303711e-01	2.069216026147023157e+00	1.865275332036228917e-01
3.674732651792710136e+00	6.147343507928001571e+01	1.474349858096114758e+03	3.423944605781114348e+01	4.352084420625147665e+00	3.950486850675610384e+01	1.244009293352444256e+00	3.915764184454388896e+01	1.371664088940126813e+00	5.170668313224106027e-01	2.675755394768657425e+01	3.060104162755703427e+01	6.683706129487727576e-01	2.941038207237945290e+00	3.087239345172297789e+01	9.912105349204533011e-01	1.548782710275302399e-02	4.246650519923389488e+00	2.778298757647230666e+00	1.886658576013690691e+00	6.485856491507419053e-01	-5.298276422942662656e-01	1.788074075779019667e+00	7.866251035129999991e+01	1.262879936066618204e+09	9.730274697711038812e-01	1.765844396122427273e+00	2.796179398442898423e-01
3.091858945232200284e+00	6.566438940664995982e+01	1.380296708560266779e+03	3.612435773319094778e+01	5.030264593276884355e+00	4.188813016988121518e+01	1.850557116223614962e+00	4.110824745628318055e+01	1.253043922513193076e+00	3.063318531614386275e-01	2.858057135869004384e+01	3.252368411730952857e+01	6.858175187680286555e-01	7.751754201350018469e-01	3.314070528934043836e+01	9.813817730599301292e-01	2.100547383850459582e-01	4.714874933570238902e+00	6.110056906810957811e-01	4.385132899619843094e+00	6.376418117082253145e-01	5.450739495187308936e-01	4.989911352791944310e+00	8.299637762616438863e+01	1.262879936108034849e+09	4.910334219332789019e+00	8.336192074489036097e-01	2.639480603737888731e-01
1.866556478302349831e+00	6.251713825017579040e+01	9.673923113876383013e+02	3.128183955266645100e+01	1.025277888154832118e+00	4.635476442366804406e+01	4.930821313862774335e-01	2.819768100359543794e+01	1.217961502526935913e+00	4.109543885545565156e-01	2.623188383460716366e+01	2.364561365537004889e+01	9.014372152823154627e-01	2.290540055115869666e+00	3.887152459480574151e+01	6.083016784613002326e-01	-9.219230080318056852e-02	2.469116498290576445e+00	2.508616437086772955e+00	1.764343775648661961e+00	4.799637469486928709e-01	-7.732292794784596524e-01	1.022127026536878980e-01	7.455244542726347845e+01	1.262879936068887949e+09	6.604469427609629406e-01	2.535516253818100196e+00	1.925121256978497009e-01
2.937033601206282540e+00	6.425181133336796790e+01	1.201833979751753304e+03	3.420038848336282200e+01	2.733399438198827358e+00	4.440276218475494829e+01	1.996426993436158037e+00	3.486038528145380866e+01	1.464392088164038208e+00	1.757402722827893782e-01	2.772331125631522397e+01	2.825831385345088975e+01	2.300515932029765231e-01	6.481737698484331123e-01	3.599349747991708171e+01	7.850949708129334459e-01	9.292840336648471034e-02	3.508319492822158381e+00	6.700255907116616783e-01	1.668862375591942282e+00	1.735179832877749295e-01	7.517465077948524144e-01	1.268171225614340258e+00	7.926314746620874985e+01	1.262879936104142904e+09	3.816958002373930015e+00	5.830644294134020855e-01	2.336328863159213565e-01
4.689780624742874160e+00	6.126737289468503178e+01	1.213427356451996047e+03	3.183414305205632289e+01	5.006584800407642533e+00	4.680064654803725688e+01	2.210726002892311914e+00	2.890295652760976708e+01	2.307722404094185276e+00	1.235057294232033559e-01	2.576355990882157698e+01	2.339133334996557068e+01	1.750987109769555905e-01	4.547344291882992606e-01	3.787603954471946111e+01	6.175760092960064229e-01	-4.251563190739779396e-02	3.553998485442609212e+00	3.854117278619410003e-01	4.495265753620282467e+00	1.234442253950029655e-01	1.154436472141886494e-01	1.945148711225923033e-01	7.570360307564702396e+01	1.262879936102948666e+09	5.116621941050460975e+00	1.539236017545147828e+00	2.356267210245331367e-01
6.427183148821207226e-01	6.541124789494573122e+01	1.363848906561221384e+03	3.588834687381932298e+01	3.274739917554862156e+00	4.250561247849680768e+01	2.201246269127644428e+00	3.999018571091984597e+01	9.923876018423787304e-01	9.196545544139478334e-01	2.845601358402707248e+01	3.170837798181914380e+01	7.567413596753628235e-01	4.446275805708187479e-01	3.370286991312658387e+01	9.408213028608988227e-01	1.652843228130549957e-01	1.341949302757757367e+00	3.679523943248882434e-01	4.889287028756871933e+00	9.171047826068677855e-01	-7.724589642965629110e-04	2.036616593304835021e+00	8.249579818941666076e+01	1.262879936102675438e+09	5.143221848715974431e+00	1.645278730634065489e+00	2.611867353747739373e-01
4.930677927716189402e-01	6.355098941962321391e+01	1.071109731374262992e+03	3.348838342734455864e+01	5.927313295724562892e+00	3.923041303469218377e+01	1.707526430693014685e+00	3.772339770060548148e+01	1.634731844470308948e+00	6.249375085708983590e-01	2.765580912155236604e+01	3.115322328077746050e+01	1.671166667890428836e-01	8.244843107926682624e-01	3.239776613884575340e+01	9.615855348564895655e-01	4.741728015009916142e-02	4.370813040011183759e+00	7.710625225491487544e-01	4.375667530464255606e+00	6.163441165329363036e-01	3.723657279359402494e-01	2.400585569486950011e+00	7.695381073529766525e+01	1.262879936106363535e+09	5.029792401807561930e+00	1.404769628234857404e+00	2.108987041441079680e-01
