#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.156658399999999975e+00	4.270169599999999732e-02	9.716544099999999684e-01	-2.356347400000000092e-01	1.362133599999999944e+00	3.159127500000000199e-01
5.279491000000000156e+00	1.154552199999999917e+00	2.817268300000000045e-02	9.852151999999999576e-01	-2.018944500000000031e-01	1.340979799999999944e+00	2.522885799999999845e-01
5.574605000000000032e+00	1.149750999999999967e+00	1.360743499999999932e-02	9.987321700000000302e-01	-1.706426699999999963e-01	1.313317300000000021e+00	1.903995400000000060e-01
5.886215299999999928e+00	1.142450600000000094e+00	-2.835977399999999862e-04	1.010784099999999963e+00	-1.411418399999999906e-01	1.280102899999999932e+00	1.362965999999999900e-01
6.215244099999999605e+00	1.133033100000000015e+00	-1.074489399999999963e-02	1.022634499999999891e+00	-1.136931999999999943e-01	1.245164399999999949e+00	9.036662500000000597e-02
6.562665100000000251e+00	1.122135700000000069e+00	-1.811979099999999968e-02	1.032551800000000020e+00	-9.141377800000000109e-02	1.211514800000000003e+00	5.297246399999999689e-02
6.929506199999999616e+00	1.110333000000000014e+00	-2.453315899999999883e-02	1.037437299999999896e+00	-7.589328100000000688e-02	1.181866499999999931e+00	2.593799000000000105e-02
7.316853100000000332e+00	1.098125800000000041e+00	-2.987314199999999836e-02	1.036807000000000034e+00	-6.644086300000000278e-02	1.156650799999999979e+00	7.551474899999999733e-03
7.725851999999999720e+00	1.084357800000000038e+00	-3.332422699999999793e-02	1.031060099999999924e+00	-6.256607699999999772e-02	1.137998999999999983e+00	-4.060805600000000001e-03
8.157713100000000495e+00	1.071980399999999944e+00	-3.595463899999999657e-02	1.021096500000000074e+00	-6.214733800000000336e-02	1.123434299999999997e+00	-9.849659900000000065e-03
8.613714599999999777e+00	1.060265199999999908e+00	-3.829761200000000171e-02	1.010955300000000001e+00	-6.418909000000000420e-02	1.111504700000000012e+00	-1.243672200000000075e-02
9.095205699999999283e+00	1.050098999999999894e+00	-3.967195600000000127e-02	1.002075700000000014e+00	-6.704504199999999914e-02	1.100378800000000101e+00	-1.249106900000000048e-02
9.603611199999999570e+00	1.041372200000000081e+00	-3.994276199999999971e-02	9.958136899999999736e-01	-6.924903400000000098e-02	1.090678999999999954e+00	-1.091404699999999964e-02
1.014043599999999934e+01	1.033898800000000007e+00	-3.936752000000000307e-02	9.913840999999999903e-01	-7.098656799999999989e-02	1.080361099999999963e+00	-8.619513000000000522e-03
1.070726799999999912e+01	1.027683799999999925e+00	-3.762339800000000234e-02	9.893054900000000096e-01	-7.228629200000000199e-02	1.069749999999999979e+00	-5.913262899999999732e-03
1.130578500000000020e+01	1.022915500000000089e+00	-3.545599599999999657e-02	9.887292899999999829e-01	-7.214810300000000509e-02	1.059663599999999928e+00	-2.914790600000000207e-03
1.193775800000000054e+01	1.018582300000000052e+00	-3.334020599999999723e-02	9.885795400000000344e-01	-7.176812500000000206e-02	1.050592799999999993e+00	4.316945200000000269e-04
1.260505700000000040e+01	1.014912100000000095e+00	-3.170400000000000301e-02	9.883120899999999764e-01	-7.126060400000000516e-02	1.042189100000000090e+00	3.480472200000000148e-03
