#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
5.000000000000000000e+00	1.080004799999999987e+00	-7.207364700000000457e-02	7.849473099999999537e-01	-3.521692200000000050e-01	1.387003699999999951e+00	1.757096499999999950e-01
5.279491000000000156e+00	1.090603999999999907e+00	-7.281553000000000331e-02	8.226316200000000078e-01	-3.275228000000000028e-01	1.368442600000000064e+00	1.582705299999999926e-01
5.574605000000000032e+00	1.098789100000000074e+00	-7.248770899999999739e-02	8.570860500000000437e-01	-3.036994800000000216e-01	1.349047700000000072e+00	1.382820999999999911e-01
5.886215299999999928e+00	1.103841599999999978e+00	-7.142138400000000442e-02	8.880035800000000146e-01	-2.797992300000000099e-01	1.326398799999999989e+00	1.201263399999999981e-01
6.215244099999999605e+00	1.107601899999999917e+00	-7.091788999999999732e-02	9.157082899999999803e-01	-2.584989999999999788e-01	1.300939199999999962e+00	1.035949800000000032e-01
6.562665100000000251e+00	1.107581900000000008e+00	-6.931595200000000012e-02	9.364738900000000310e-01	-2.383675100000000047e-01	1.282727399999999962e+00	8.665953399999999640e-02
6.929506199999999616e+00	1.104427599999999954e+00	-6.713270999999999822e-02	9.522877800000000281e-01	-2.153684600000000116e-01	1.260968899999999948e+00	7.205355800000000366e-02
7.316853100000000332e+00	1.098634300000000064e+00	-6.319876900000000186e-02	9.621155999999999597e-01	-1.940715799999999935e-01	1.238978399999999924e+00	6.072142099999999765e-02
7.725851999999999720e+00	1.090447900000000025e+00	-5.742664599999999786e-02	9.659065100000000514e-01	-1.732629300000000094e-01	1.216121699999999972e+00	5.005930599999999786e-02
8.157713100000000495e+00	1.079993399999999992e+00	-5.325517899999999971e-02	9.668495900000000365e-01	-1.544005699999999870e-01	1.194989999999999997e+00	4.163090900000000066e-02
8.613714599999999777e+00	1.068862500000000049e+00	-4.614553200000000299e-02	9.658651400000000109e-01	-1.348473000000000033e-01	1.173568399999999956e+00	3.557633799999999902e-02
9.095205699999999283e+00	1.057763699999999973e+00	-3.949724899999999816e-02	9.634225199999999489e-01	-1.154453500000000021e-01	1.153352699999999897e+00	3.204033299999999723e-02
9.603611199999999570e+00	1.047187899999999949e+00	-3.342369199999999790e-02	9.613099800000000084e-01	-9.758026499999999936e-02	1.134070200000000028e+00	2.828331300000000090e-02
1.014043599999999934e+01	1.037268400000000090e+00	-2.710749100000000092e-02	9.594326600000000482e-01	-8.092644400000000016e-02	1.116439799999999982e+00	2.549237400000000167e-02
1.070726799999999912e+01	1.027727999999999975e+00	-2.094787799999999964e-02	9.579762699999999631e-01	-6.589492399999999361e-02	1.097658400000000034e+00	2.268724299999999930e-02
1.130578500000000020e+01	1.020034600000000014e+00	-1.575866000000000072e-02	9.575911900000000365e-01	-5.241968000000000322e-02	1.081525199999999964e+00	1.974666200000000163e-02
1.193775800000000054e+01	1.012164099999999900e+00	-1.142381399999999915e-02	9.578621800000000075e-01	-4.067868899999999704e-02	1.066648800000000064e+00	1.707667699999999844e-02
