luminosity_distance	iota	total_mass	phi_jl	phi_2	dec	tilt_1	chi_eff	chirp_mass	mass_1_source	a_2	psi	tilt_2	mass_2_source	mass_ratio	theta_jn	total_mass_source	mass_1	a_1	chirp_mass_source	phi_1	mass_2	geocent_time	chi_p	ra	phi_12	phase	redshift
1.101721684513362334e+03	3.045906005050094123e-01	7.492084820890738683e+01	8.143477403366918832e-01	5.398167525033824354e+00	9.680819595871748007e-02	1.012294932968991423e+00	1.372073972826357291e-01	3.258832611237635035e+01	3.185234547786998505e+01	9.477046056014747366e-01	1.848197234012958656e+00	1.286536402599965490e+00	2.974676833227609407e+01	9.338956954659185516e-01	4.216513265659094789e-01	6.159911381014608622e+01	3.874089403299348078e+01	3.233156314500338496e-02	2.679377045333242435e+01	5.464557394791124345e+00	3.617995417591389895e+01	1.264316116411093950e+09	8.412829207320016156e-01	5.539993522152521166e+00	6.216795437422287129e+00	4.382305447087938788e+00	2.162650332896032257e-01
8.896320158989108222e+02	5.533963933563617044e-01	7.317330082887755793e+01	1.022853273583039124e+00	5.685964949879949160e-01	9.861870960297025590e-02	1.172620008390261148e+00	4.655881000861871594e-02	3.181836057525880790e+01	3.231836822280329358e+01	5.624174161064422472e-01	1.374861395288837551e+00	1.930116814648724199e+00	2.977137074651053439e+01	9.211904060646340930e-01	6.371825272726739930e-01	6.208973896931382797e+01	3.808747982391070508e+01	7.005499395786956018e-01	2.699883263663930677e+01	3.097980792309957820e+00	3.508582100496685996e+01	1.264316116410135508e+09	6.457456635299186898e-01	5.569480303342437821e+00	3.753801009857622439e+00	1.725683644660278127e+00	1.785087527109993077e-01
1.273767133844886303e+03	2.548652420582326883e-01	7.857014616249880135e+01	1.281281202073970560e+00	5.422641022818261547e+00	1.249659824934283847e-01	1.659095826982255550e+00	1.936859271881892774e-01	3.419863399597942788e+01	3.175131689970261917e+01	7.397753222885786739e-01	1.683569978070258877e+00	8.941154868315761561e-01	3.130922963231870071e+01	9.860765690827753005e-01	5.378384331030890975e-01	6.306054653202131988e+01	3.956048189964027983e+01	8.179250910102083827e-01	2.744788772538080934e+01	5.058094527495541115e+00	3.900966426285852151e+01	1.264316116412101507e+09	8.147385623282792366e-01	5.532563786526601746e+00	3.645464953227205984e-01	5.170376193464480963e+00	2.459477515406865711e-01
1.123240764673033027e+03	2.880376688743908620e-01	7.373431214051930738e+01	6.786296753463610942e-01	1.831699191669393656e+00	1.129845871862062978e-01	1.286563506920598066e+00	7.481978529255146892e-02	3.203745605498319549e+01	3.186586841831536887e+01	8.896173010039601925e-01	4.917879911709892027e-01	1.694883255782432929e+00	2.857102835606145774e+01	8.966028473160909673e-01	3.703034953222993364e-01	6.043689677437683372e+01	3.887704389185208242e+01	8.580861596415204628e-01	2.625974757611696120e+01	5.992799085785138757e+00	3.485726824866721785e+01	1.264316116410948753e+09	8.236572275514971730e-01	5.548993053913740425e+00	2.122085413063839798e+00	2.632069640047871584e+00	2.200214782003850067e-01
8.615808157626415777e+02	7.445671849842924184e-01	7.631827616211430154e+01	2.331696915815178350e+00	3.552795977807968519e+00	1.133920664680023727e-01	1.504642635753445701e+00	1.831095141545568961e-01	3.314183822717846795e+01	3.454850574283640441e+01	4.753573881842306226e-01	7.138524312304006525e-01	7.813055553540234621e-01	3.049129590820396274e+01	8.825648245156391125e-01	8.297406027248950267e-01	6.503980165104036359e+01	4.053952096005515671e+01	7.086979022558996810e-01	2.824406804037066010e+01	1.015451767896049518e-01	3.577875520205915194e+01	1.264316116410815001e+09	7.071477265617838182e-01	5.548885706836166776e+00	3.451250801018363124e+00	5.631497995723122152e+00	1.734088085259948009e-01
9.741436169378589511e+02	6.921105120305170999e-01	7.473130195493745020e+01	2.791910421578891466e+00	2.274093355266154859e+00	6.428545320157019738e-02	1.279537317453888656e+00	1.021019396416142921e-01	3.184546050937445116e+01	3.713788311537562947e+01	8.498801539508651359e-01	6.724490887905664183e-01	1.701696063132674741e+00	2.546588647044238840e+01	6.857118482313047103e-01	7.461800979046294691e-01	6.260376958581802143e+01	4.433219238112823746e+01	8.642671399229940876e-01	2.667752093072461506e+01	4.568186449647182457e-01	3.039910957380920919e+01	1.264316116411195278e+09	8.278668868952598903e-01	5.554914759401448521e+00	1.817274710301436835e+00	5.306841109363000797e+00	1.937188838524309675e-01
9.063171878650108511e+02	4.694755611764893088e-01	7.431020513570254593e+01	2.779507447427671085e+00	3.608400209394393432e+00	7.035650481631416930e-02	1.614743995078575800e+00	-4.306107524911320650e-02	2.931031941685705888e+01	4.368433208733814155e+01	7.563627345596540819e-02	1.601421342393213987e+00	2.328964020245331668e+00	1.920887541736203730e+01	4.397200208751665951e-01	3.047931461573183398e-01	6.289320750470018595e+01	5.161434449632185562e+01	8.906049493883297918e-01	2.480709073198019610e+01	3.457637483814299362e+00	2.269586063938068676e+01	1.264316116410442352e+09	8.897450316977207896e-01	5.561134228368622701e+00	1.507627255800937927e-01	3.725440600754577058e+00	1.815298993957199791e-01
1.142464073291623208e+03	3.198846823734221440e-03	7.330685996216244860e+01	1.574224931586218679e+00	6.147294969473077408e+00	7.599205159267663490e-02	1.705313003572619168e+00	6.609094671297315038e-02	3.179232559161627236e+01	3.229525932829176327e+01	6.270165047026565741e-01	1.672976404684457741e+00	1.150803631166636976e+00	2.762699128753133948e+01	8.554503621319163864e-01	3.079485357581877025e-01	5.992225061582310275e+01	3.950893080100117061e+01	7.164427118881292467e-01	2.598757746197263074e+01	1.183236250266572753e-01	3.379792916116127799e+01	1.264316116411176443e+09	7.099705590649399989e-01	5.563792319832295163e+00	6.028971344446420133e+00	1.215771059769513052e+00	2.233662655989258339e-01
7.137499277449979900e+02	8.133942719115262454e-01	7.421911380159313865e+01	1.476762478438930604e+00	9.054247245311044523e-01	7.872219873852781546e-02	1.016297258385862712e+00	1.116970781339937102e-01	3.182027065769043972e+01	3.749105551323824415e+01	8.612390686654027017e-02	1.266973513264754381e+00	1.806750608303015815e+00	2.726809312751735348e+01	7.273226308042695099e-01	9.297786873832889487e-01	6.475914864075559763e+01	4.296771921933050464e+01	3.942514235956631197e-01	2.776446028201183225e+01	6.192474423105714720e+00	3.125139458226263756e+01	1.264316116410233498e+09	3.351784840555076528e-01	5.560097872616474035e+00	9.961356086049761860e-01	4.596214708725787190e+00	1.460792082569781214e-01
1.262838906122741946e+03	2.406242397366133712e-01	7.739737208584060113e+01	2.561773536858275691e+00	5.018686818557640983e+00	7.789021568997456235e-02	1.911431636275688239e+00	1.879891980542028052e-01	3.364500979556167692e+01	3.255962045924542281e+01	8.303300154495621976e-01	1.040457642396555693e+00	5.763748661454495270e-01	2.965264625716000779e+01	9.107184248132115245e-01	2.744556036859127079e-01	6.221226671640542349e+01	4.050694810953468306e+01	8.226449660986436818e-01	2.704397147691378223e+01	3.562151500076538913e+00	3.689042397630592518e+01	1.264316116410701275e+09	7.753779316194321369e-01	5.557486322448689009e+00	1.456535318481102292e+00	2.606454336809628458e+00	2.440853897617404622e-01
