mass_1	mass_2	chirp_mass	ra	dec	geocent_time	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.977203400000000499e+01	9.441841099999999543e+00	2.381133497124744380e+01	3.074499299999999824e-01	5.766068600000000544e-01	1.265235996004532099e+09	9.226740276081552006e-01	2.506934582739412498e+00	2.751757909308369054e+00	3.032764100000000326e+03	1.092138751000000099e+02	9.463414467424807741e-02	4.123075551902508074e-01	3.401485387879248923e-01	6.530355513879487761e-01	1.318845706740872981e+00	2.735703803325569616e+00	2.533208161319492113e+00	3.372106777003256450e+00	6.577205197632162026e+01	6.224281882249384168e+00	7.199633385857100620e+01	1.569698740785911362e+01	5.598229843240752901e-01	2.835919294184603978e-01	5.005032566643293990e+00	1.457551062789276486e+00	5.169366167246631782e-01
9.968727900000000375e+01	1.414445000000000086e+01	3.008034531556431901e+01	4.358092900000000158e-01	8.840888099999998362e-01	1.265235996004532099e+09	4.126445074932356682e+00	8.344455034977967811e-01	6.772500182783618428e-01	4.173675599999999577e+03	1.138317289999999957e+02	1.418882142424611470e-01	4.256875939401231768e-01	5.191970772274514534e-01	8.664252888549311971e-01	9.435413855555675466e-01	2.698086504529165097e+00	1.032873459966485497e+00	5.725638958902485864e-01	5.958428987259134146e+01	8.454308486927150312e+00	6.803859835951848822e+01	1.797938546151138794e+01	6.813440139792833472e-01	5.389217478318346632e-01	5.518581568748222921e+00	1.933482766097803562e+00	6.730463552248518999e-01
9.968727900000000375e+01	1.414445000000000086e+01	3.008034531556431901e+01	7.139948799999999707e-02	3.761021199999999842e-01	1.265235996004532099e+09	4.195067804738208395e+00	7.091364501340147175e-01	6.040319127757937112e-01	3.143221399999999903e+03	1.138317289999999957e+02	1.418882142424611470e-01	4.256875939401231768e-01	5.191970772274514534e-01	8.664252888549311971e-01	9.435413855555675466e-01	2.698086504529165097e+00	9.539895479422751956e-01	7.020742440720820765e-01	6.504634773369498646e+01	9.229310122928144011e+00	7.427565785662312692e+01	1.962754546992720961e+01	6.813440139792833472e-01	5.389217478318346632e-01	5.518581568748222921e+00	1.933482766097803562e+00	5.325576680819619213e-01
9.967270700000000261e+01	6.106402200000000136e+01	6.751402035127706824e+01	1.560163699999999876e-01	3.271660200000000018e-01	1.265235996004532099e+09	2.989155438558780631e+00	1.770031567484392498e+00	8.972145287683170878e-01	8.706890400000000227e+03	1.607367289999999969e+02	6.126453653957647516e-01	6.805876632377749758e-03	1.937716750793274656e-01	1.637665329087392596e+00	1.517729874291049219e+00	5.527882666508610043e-01	1.784717101403486827e+00	2.913555079644186918e+00	4.482259644138532906e+01	2.746035597481941792e+01	7.228295241620473632e+01	3.036090600349369595e+01	7.246780314600227138e-04	3.392418535654781464e-01	2.503291578524402539e+00	3.056079845175258214e+00	1.223715601356167637e+00
9.963244600000000162e+01	2.367667000000000144e+01	4.031195042705528664e+01	3.493624300000000016e-01	7.317480100000000043e-01	1.265235996004532099e+09	2.139466794085400636e+00	1.743986123379194009e+00	7.909067499949318236e-01	5.214748099999999795e+03	1.233091160000000031e+02	2.376401558986115936e-01	5.545850820681907933e-01	5.735926917630592703e-01	6.924256804902709783e-01	1.663378064536783940e+00	3.789114809097172909e+00	1.609058049820810243e+00	3.545182764634228434e+00	5.512440386681449667e+01	1.309977192872782581e+01	6.822417579554232248e+01	2.230370050334808241e+01	8.984762019836737279e-01	2.357838759000377982e-01	4.526222780502250131e+00	2.032152282419836808e+00	8.074108563735387101e-01
9.956525399999999593e+01	1.845102100000000078e+01	3.500165219236086500e+01	2.533728599999999775e-01	6.879230600000000306e-01	1.265235996004532099e+09	3.230959733157948044e+00	2.785974661300311794e+00	1.961612973341581911e+00	4.302744099999999889e+03	1.180162749999999932e+02	1.853158633030755897e-01	3.848942475735327995e-01	1.023893659318437788e-01	1.368176385914318671e-01	2.226412105238131822e+00	4.871382340274816869e+00	2.841647316971865678e+00	2.281863544635343466e+00	5.891198861149375432e+01	1.091732602843992339e+01	6.982931463993367061e+01	2.071020614621069100e+01	5.573253598155989419e-01	8.488067005487027750e-01	2.347307676261250364e+00	9.355047093564810012e-01	6.900677832588862914e-01
9.907173199999999724e+01	4.014945999999999771e+01	5.383151578713788155e+01	6.066271700000001488e+00	5.578019299999999701e-03	1.265235996004532099e+09	4.919208686145208453e+00	2.234905962772312904e+00	2.209523112929991484e+00	3.430223500000000058e+03	1.392211920000000021e+02	4.052564660926690765e-01	5.764266866371138276e-01	3.924355063337517380e-01	5.369668733614333389e-01	5.104896104035624438e-01	6.144471968634408476e-01	2.054522206625498004e+00	5.116120660927584218e+00	6.299902023818207653e+01	2.553076030902620630e+01	8.852978054720828993e+01	3.423108372149906131e+01	7.671767085073387671e-01	4.265407106158333184e-01	3.345301092106710339e+00	3.959748288970151187e+00	5.725916311942131909e-01
9.897080200000000616e+01	2.189300000000000068e+01	3.846167286156507004e+01	5.721407199999999776e-02	5.781255699999999775e-01	1.265235996004532099e+09	6.217953218508488256e+00	9.142181011402760182e-01	1.905161193054492053e+00	2.468948899999999867e+03	1.208638020000000068e+02	2.212066544636063503e-01	8.510021807892609313e-02	4.809100932000197060e-01	1.497955679041467647e+00	8.175119876692509280e-01	4.250420757599140842e+00	1.395994599368309830e+00	1.928591165648395611e+00	6.896443782694977642e+01	1.525539256866294302e+01	8.421983039561273188e+01	2.680070882705270918e+01	4.821887165048184820e-01	4.549027566860293637e-01	5.258778041908252376e+00	3.226013492327806986e+00	4.350990904666578452e-01
9.870143100000002789e+01	3.278352399999999989e+01	4.810743905548649479e+01	1.361717099999999903e+00	1.073382499999999906e+00	1.265235996004532099e+09	3.381815218114012200e+00	1.771184714719400644e+00	2.012792177451180997e+00	2.356284000000000106e+03	1.314849550000000136e+02	3.321484163689581992e-01	-2.066976802122356960e-02	2.185953544388192782e-01	1.471034354459197946e+00	1.711399137513017088e+00	3.297337120396709675e+00	1.763571676624688500e+00	5.556871731876061205e+00	6.959259768721130968e+01	2.311507111280925386e+01	9.270766880002055643e+01	3.391968706057065930e+01	8.210766228215651830e-02	7.672379759176248815e-01	6.899697918732918822e-01	3.987306912270001558e+00	4.182748493398731338e-01
9.869324500000000455e+01	8.517024000000001038e+00	2.232019079558596886e+01	6.137647799999999876e+00	1.840951200000000010e-01	1.265235996004532099e+09	1.460787370544261110e+00	2.004442598507086171e+00	2.627905820150776783e+00	1.695961499999999887e+03	1.072102689999999967e+02	8.629794268087952192e-02	3.402284897324788226e-01	6.505929859326912146e-01	1.059975614045540304e+00	7.160119366995112422e-01	2.566467135996606252e+00	2.239230044617142923e+00	4.838045356176656070e-02	7.500721140510218277e+01	6.472968030490121372e+00	8.148017943559229082e+01	1.696342307527462978e+01	7.457990353934869088e-01	7.638832621528630906e-02	2.208462841195419912e+00	4.774929977192026165e+00	3.157834180366109189e-01
9.863493300000000374e+01	1.005036199999999980e+01	2.457498817199617136e+01	2.113920699999999875e-01	4.880894399999999855e-01	1.265235996004532099e+09	3.946864285788584059e+00	2.189105251349212633e+00	2.796937607224418088e+00	2.994389700000000630e+03	1.086852949999999964e+02	1.018945488613045430e-01	4.941163653108340825e-01	6.938222296731160199e-01	8.882951956211198041e-01	1.967801726617377511e+00	2.672606338532728110e-01	1.827318651195595223e+00	5.578396373084557602e+00	6.525717407252072633e+01	6.649350312083119441e+00	7.190652438460384133e+01	1.625888751777316088e+01	8.941035831054073846e-01	4.944129109246373499e-01	5.034905522037765202e+00	5.302166155891038457e+00	5.114802993213644067e-01
9.855566399999999305e+01	1.081087699999999963e+01	2.563000042355987773e+01	2.862254399999999976e-01	7.554462199999998351e-01	1.265235996004532099e+09	4.816986864258820056e+00	2.385222659546564206e+00	1.316568956275121050e+00	3.078057499999999436e+03	1.093665409999999980e+02	1.096931070344166204e-01	3.826290586523488080e-01	3.348488570571630518e-01	6.318257250471515096e-01	2.726337456757452760e+00	2.549352800906350858e+00	2.484371983133056183e+00	3.100144586878018416e+00	6.469636390940074477e+01	7.096745171051463963e+00	7.179310908045221140e+01	1.682468330182144811e+01	5.669456124069253145e-01	3.277475870837556760e-01	9.888073001573989274e-01	3.538160101063749341e+00	5.233570798200499752e-01
9.855566399999999305e+01	1.081087699999999963e+01	2.563000042355987773e+01	6.736723099999999964e-02	6.002019299999999946e-01	1.265235996004532099e+09	1.415542636285122668e+00	5.448158822006573532e-01	1.675829321005300354e+00	2.878391500000000178e+03	1.093665409999999980e+02	1.096931070344166204e-01	3.826290586523488080e-01	3.348488570571630518e-01	6.318257250471515096e-01	2.726337456757452760e+00	2.549352800906350858e+00	3.949173686217921087e-01	6.257765389728316308e+00	6.592829993455220006e+01	7.231880061317955466e+00	7.316017999587015197e+01	1.714505576510707030e+01	5.669456124069253145e-01	3.277475870837556760e-01	9.888073001573989274e-01	3.538160101063749341e+00	4.948916337572388802e-01
9.810292800000000568e+01	8.767463699999998639e+00	2.264446619610867728e+01	6.145083200000000190e+00	2.302343199999999923e-01	1.265235996004532099e+09	4.503552655079607892e-01	1.105049274343937959e+00	2.225921435736178400e-01	2.408389000000000124e+03	1.068703916999999848e+02	8.937005121804315888e-02	5.191062216412091201e-01	9.439813164090139763e-02	1.832583893071181580e-01	6.554874475542999956e-01	5.406485669748740008e+00	9.918941257256389532e-01	4.508531967726400858e+00	6.879216656653146345e+01	6.147959449451071201e+00	7.494012601598252843e+01	1.587885216201599192e+01	5.180040142647491797e-01	7.928031980757965780e-01	9.602384504132173149e-01	8.353881298237020303e-02	4.260770215039093589e-01
9.807467699999999411e+01	1.132539700000000060e+01	2.627620670016924009e+01	2.624972300000000258e-01	6.920265199999999783e-01	1.265235996004532099e+09	6.375184052972628912e-01	9.423612966499733679e-01	2.265193796743225629e+00	3.971254600000000210e+03	1.094000740000000036e+02	1.154772806440137467e-01	4.295074753990260064e-01	5.011144684691195561e-01	8.115166285401902435e-01	1.375208164337870853e+00	4.959885534460147127e+00	1.099322259414537539e+00	4.548467768516277210e-01	5.957941421211965860e+01	6.880068735578883654e+00	6.645948294769854670e+01	1.596254049261520613e+01	6.908759453244279758e-01	1.562857802948264263e-01	2.654208556284821441e+00	1.330908783565382336e+00	6.461168391288011348e-01
9.804769899999999438e+01	1.056671500000000030e+01	2.523765198457356718e+01	6.024258099999999949e+00	-7.379627799999999294e-02	1.265235996004532099e+09	5.421005196904291168e+00	1.372920480085832340e+00	1.907822004928217519e+00	3.129206400000000031e+03	1.086144139999999965e+02	1.077711675824233190e-01	3.267715344491768925e-01	5.652428309825747732e-01	1.014881095532647270e+00	1.365453582330039550e+00	6.043880390447097462e+00	7.653491799688686426e-01	5.199687274477713395e+00	6.405907616556368112e+01	6.903721432614183584e+00	7.096279759817785759e+01	1.648892005838696662e+01	6.654473507967890722e-01	4.922715830392774827e-01	2.772503049481175097e+00	2.533198132748687215e+00	5.305824696346094216e-01
9.804769899999999438e+01	1.056671500000000030e+01	2.523765198457356718e+01	2.066038199999999936e-01	6.171145000000000103e-01	1.265235996004532099e+09	6.040591759544423844e+00	1.558683126542228736e+00	1.898093637248685628e+00	2.181920200000000023e+03	1.086144139999999965e+02	1.077711675824233190e-01	3.267715344491768925e-01	5.652428309825747732e-01	1.014881095532647270e+00	1.365453582330039550e+00	6.043880390447097462e+00	1.200685362844964743e+00	5.781234322678850290e+00	7.044231432940141246e+01	7.591650462487661066e+00	7.803396479188907620e+01	1.813197690680505048e+01	6.654473507967890722e-01	4.922715830392774827e-01	2.772503049481175097e+00	2.533198132748687215e+00	3.918863957466054981e-01
9.801610599999999351e+01	2.396438799999999958e+01	4.029583827255113704e+01	1.338743300000000136e-01	6.446313799999999761e-01	1.265235996004532099e+09	3.375314233744016068e+00	2.456267279003889303e+00	1.549586171901238929e+00	7.294768099999999322e+03	1.219804939999999931e+02	2.444943895241052934e-01	5.709125502785590278e-01	3.999787340219351228e-01	5.382831245762765837e-01	5.070500572171674492e-01	3.773277371274792014e+00	2.525384318941613415e+00	3.030427493906707959e+00	4.757284756207629073e+01	1.163129432261316687e+01	5.920414188468945582e+01	1.955788543085107634e+01	7.801986932282549692e-01	1.900815759808256178e-01	2.482599420405186663e+00	6.255876791679979121e+00	1.060337167584974205e+00
9.754038199999999392e+01	1.242996499999999926e+01	2.766543451336348625e+01	5.390982799999999991e-02	5.916199100000000266e-01	1.265235996004532099e+09	4.307829779595825137e+00	1.253328661420378909e+00	1.403084999969406832e+00	2.525371700000000146e+03	1.099703470000000038e+02	1.274340406007431759e-01	5.113427705426260017e-01	4.480872036516804768e-01	7.360436418823810278e-01	4.911213492208825748e-01	8.402648440978125466e-01	9.368707745542254051e-01	5.571691053095747748e+00	6.757394945418386101e+01	8.611221418297034802e+00	7.618517087248091002e+01	1.916603805625918255e+01	6.674310934939199358e-01	7.284000196475399758e-01	4.234491591447118175e+00	5.074756435544930611e+00	4.434613159044936692e-01
9.745772599999999386e+01	1.509598599999999635e+01	3.092677895851298686e+01	2.555674399999999791e-01	7.154521499999999534e-01	1.265235996004532099e+09	1.249975495716926455e+00	2.891585698571754737e+00	2.534493603218820112e+00	5.850871600000000399e+03	1.125537120000000044e+02	1.548977861437070835e-01	5.282865572886723537e-01	4.002346452587546288e-01	5.883905361050121297e-01	4.098016330070786695e-01	2.705730183765290953e+00	2.613194258598829478e+00	5.099209214759527597e+00	5.165633911264044542e+01	8.001452568836588952e+00	5.965779168147704326e+01	1.639238105701973680e+01	7.211137068933317629e-01	7.228240371662450481e-02	1.196922399438879125e+00	3.902652583204170078e+00	8.866556878428079047e-01
9.742863500000002830e+01	1.769376799999999506e+01	3.385884963039394080e+01	5.818667100000000092e-01	9.748616399999999738e-01	1.265235996004532099e+09	1.777751650316882967e-02	7.072237450950837889e-01	1.139265563504060275e+00	4.486500900000000001e+03	1.151224030000000056e+02	1.816074709452718816e-01	4.238293474777399816e-01	2.510918079854408402e-01	4.771917212501893268e-01	1.024788397628535463e+00	2.507936735317962018e+00	8.307933943880987382e-01	6.982868281591529946e-01	5.683915907453314276e+01	1.032241593018195758e+01	6.716157500471508968e+01	1.975300731887148231e+01	5.466998199156426486e-01	1.608917478211895624e-01	3.627423462113202657e+00	6.135360197431165119e+00	7.141111266660707946e-01
9.737818099999999788e+01	2.086343799999999860e+01	3.716673802583105157e+01	2.624009099999999872e-01	8.062246100000000082e-01	1.265235996004532099e+09	4.530619738671704866e+00	1.782696866376701994e+00	2.295841347368070551e+00	3.771580099999999675e+03	1.182416190000000000e+02	2.142516710185827233e-01	4.980071764751761165e-01	4.588541119376851052e-01	6.378008675271293892e-01	1.772941383870545673e+00	4.301761629669236697e+00	1.762734478191291254e+00	3.236482345911590564e+00	6.013762027494269091e+01	1.288458563498747012e+01	7.302220590993016458e+01	2.295297730254070956e+01	7.706263495198504287e-01	3.352428122315360692e-01	1.812135744210333854e+00	6.113897373879570551e+00	6.192556432196266725e-01
9.735607100000000003e+01	7.065378599999999665e+01	7.201652041556724271e+01	3.971923600000000221e-01	1.020977700000000210e+00	1.265235996004532099e+09	3.278155614131808893e+00	5.203989678433708077e-01	1.238193604803375036e+00	8.750896300000000338e+03	1.680098570000000109e+02	7.257255276869174487e-01	4.220961862276720149e-03	7.014973381760456483e-01	1.159767114301721413e+00	2.563026826369460220e+00	1.604193821451244339e+00	7.618501795705771018e-01	2.026224362030962567e+00	4.368246574234007795e+01	3.170148050152544528e+01	7.538394624386552323e+01	3.231292259047256010e+01	7.652335791259980979e-01	4.912133739307800173e-01	1.890855233628538912e+00	3.495049055079782807e+00	1.228721967625461930e+00
9.727298700000000053e+01	4.730312700000000348e+01	5.830555751240496676e+01	5.967835000000000001e+00	1.220084699999999939e-01	1.265235996004532099e+09	3.250835590787425122e+00	2.569615337343786443e+00	9.351592977531083539e-01	7.386702199999998811e+03	1.445761140000000182e+02	4.862925305254581776e-01	2.708077440178461789e-02	3.076125894403823335e-01	1.880784323476730746e+00	1.199011274260484594e+00	2.030104257805194212e+00	2.557555470345350912e+00	3.339400777707171919e+00	4.696571796065195770e+01	2.283907783503040534e+01	6.980479579568236659e+01	2.815131368039704185e+01	3.020962644764396132e-01	7.494828271390545638e-01	2.379240411531343469e+00	4.409344669336538125e+00	1.071148727705933279e+00
9.721704900000000293e+01	1.679279100000000113e+01	3.283452386184886507e+01	7.430319699999999861e-01	9.784022999999999470e-01	1.265235996004532099e+09	4.744805251423680481e+00	2.130127306692740863e+00	2.616930969603739054e-01	3.233326399999999921e+03	1.140098399999999970e+02	1.727350415666289163e-01	5.495870244383456171e-01	4.137670053476161930e-02	7.281198390376295015e-02	3.450755719678483269e-01	3.844147102677536676e+00	2.160754406681898221e+00	1.307348615496371158e+00	6.291508622355669900e+01	1.086764003399410861e+01	7.378272625755080583e+01	2.124922450462008072e+01	5.687701569090687359e-01	4.752737085340411616e-01	6.074614707422308690e+00	3.635576502920260022e+00	5.452104548431810915e-01
9.684576400000000262e+01	4.727250699999999739e+01	5.816607380236565916e+01	3.567942199999999953e-01	8.127387900000000442e-01	1.265235996004532099e+09	5.723844277650205647e+00	5.985585522121218416e-01	2.973400895331596017e-01	1.130156499999999869e+04	1.441182709999999929e+02	4.881215764893960252e-01	5.299675746491129269e-01	4.185488206345429063e-01	6.134816258862156868e-01	1.104446403788965636e+00	3.938122593444460140e+00	6.637562014918607645e-01	5.824782177689334928e-01	3.855548974170316257e+01	1.881976643504088642e+01	5.737525617674404543e+01	2.315662935760678565e+01	7.270035781175872014e-01	8.849481604569319204e-01	4.559745980822505373e+00	2.214683267087378837e+00	1.511854074447087859e+00
9.671306599999999776e+01	4.911283099999999990e+01	5.932546362431725129e+01	2.255851600000000068e-01	8.129546100000000219e-01	1.265235996004532099e+09	3.186609108902504595e+00	2.377503137526591814e+00	1.063943996359430599e+00	8.774572700000000623e+03	1.458258969999999977e+02	5.078200188586721175e-01	3.229903854025049648e-01	4.811708745879950122e-01	8.941295938365642071e-01	8.441238816761811314e-01	3.517013946326820406e+00	2.222008935398451790e+00	4.100249727419040369e+00	4.334161396966659652e+01	2.200973922344137534e+01	6.535135319310796831e+01	2.658649393843698405e+01	6.171513251445990278e-01	2.980320537213264065e-01	3.995019009844461788e+00	1.228847648991695962e+00	1.231413580206920155e+00
9.668152600000000518e+01	3.250074399999999741e+01	4.743528315280543950e+01	3.986670299999999778e-01	8.142006200000000415e-01	1.265235996004532099e+09	6.087506644691361712e-01	1.054342277842369668e+00	1.145662246425134478e+00	7.092861200000000281e+03	1.291822699999999884e+02	3.361629190668752321e-01	5.996478658888318991e-01	5.467362019849902888e-01	6.391123456925020818e-01	6.241716785456191685e-01	5.908640472674870914e-01	1.047441588809052027e+00	5.793411052995788707e-02	4.747440552589714713e+01	1.595913474255017839e+01	6.343354026844732374e+01	2.329257679106184398e+01	9.165994640388738235e-01	2.402721803052695337e-01	2.411047928891754566e+00	3.001911976159242101e+00	1.036497875623961784e+00
9.649947400000000641e+01	1.766244100000000117e+01	3.368535689883967876e+01	1.945033700000000088e-01	8.023192300000000499e-01	1.265235996004532099e+09	7.785799837481990338e-01	7.711218230575002108e-01	1.194740372961897945e+00	4.280297900000000482e+03	1.141619149999999934e+02	1.830314743477254591e-01	6.517727775228713272e-01	2.191989803902958112e-01	2.662336165936525223e-01	1.866414805123241649e+00	6.029620444114764943e-01	9.221959593716293480e-01	1.234189429362438473e+00	5.719789959641316557e+01	1.046901589272467348e+01	6.766691548913783549e+01	1.996624004156929999e+01	8.331406109783110470e-01	6.136253714820141258e-01	3.499188733758840542e+00	4.102150778170316592e+00	6.871156927246924173e-01
9.632817799999999409e+01	1.342479699999999987e+01	2.876824599588612230e+01	1.626078200000000029e+00	1.010428899999999963e+00	1.265235996004532099e+09	6.226925017537858764e+00	2.967916026114115979e+00	2.568098703442480701e+00	3.440385800000000017e+03	1.097529750000000064e+02	1.393652125341766634e-01	4.662228717198615979e-01	3.734219780263127175e-01	6.410101945065566076e-01	7.675593597460366180e-01	2.567473454693822710e+00	2.895333809892641330e+00	5.187372398545345042e+00	6.119979015541780853e+01	8.529121762056815825e+00	6.972891191747463324e+01	1.827721290532111453e+01	6.244458198184786868e-01	3.062148258596234518e-01	4.061366052638914148e+00	3.456542001531506259e-01	5.739952335681725026e-01
