mass_1	phi_12	tilt_2	chi_eff	mass_1_source	mass_ratio	ra	chirp_mass_source	total_mass_source	phi_2	phi_1	chirp_mass	psi	theta_jn	geocent_time	dec	phi_jl	iota	luminosity_distance	total_mass	tilt_1	chi_p	a_1	a_2	mass_2_source	mass_2	phase	redshift
1.519254728352357233e+02	5.816758649039005524e-01	2.411700032208542677e+00	-4.810066553412067902e-01	7.391314122938567266e+01	7.150502775615603657e-01	3.083212750431925997e+00	5.425855658345471966e+01	1.267647533809047076e+02	2.448727379616926214e+00	1.867051514713024218e+00	1.115262689041482105e+02	1.336269862077616111e+00	1.226445158374173561e+00	1.266214786646181822e+09	1.723786663254540663e-01	6.197399600311656265e+00	1.324324867134922812e+00	7.253366524573034440e+03	2.605598243547423181e+02	1.925784721683119871e+00	8.180129974155088135e-01	8.724071258059006295e-01	9.790414192730135801e-01	5.285161215151904202e+01	1.086343515195066090e+02	8.514985457202084440e-01	1.055459561158992532e+00
1.498666048554269423e+02	5.702094319780435239e-01	4.158406116636640948e-01	-4.760157893626598170e-03	8.703520297218292967e+01	8.590139643893642818e-01	2.764911850862631582e+00	7.018407014298480817e+01	1.617996577187507512e+02	1.934547774538209808e+00	1.364338342560165174e+00	1.208505058651495290e+02	8.355014859212260836e-01	8.342252705359169962e-01	1.266214786628185034e+09	-8.058798985696991046e-01	1.446405663491720617e+00	6.306528390395703676e-01	4.546445479439030350e+03	2.786041112218615581e+02	2.119560928774430586e+00	4.992937887167857025e-01	5.852221994662106797e-01	3.772206769974498775e-01	7.476445474656783574e+01	1.287375063664346442e+02	3.089708941475541870e+00	7.219079147011970843e-01
1.928999399639068315e+02	5.496366910725109634e+00	8.339643684814730396e-01	4.098408464097343940e-01	1.131940634606733909e+02	6.042117117319587560e-01	2.989993995833287954e+00	7.611754936441117536e+01	1.815872423021428119e+02	2.894923222920523287e+00	3.681741619375000329e+00	1.297159078284694544e+02	9.568071114601276461e-01	1.162266670817245107e+00	1.266214786637326241e+09	-6.389889852114847280e-01	5.493470673830969986e+00	1.369378203284208562e+00	4.410186870739431470e+03	3.094523428824910525e+02	9.779457129887938471e-01	6.237187361402274366e-01	7.520561070134650361e-01	5.844305760566588237e-01	6.839317884146943527e+01	1.165524029185842210e+02	5.043328057127385300e+00	7.041524446282058092e-01
1.747806512997888433e+02	6.053398367310185435e+00	1.532933661694359406e+00	-4.173095552437998401e-02	8.767720130191553096e+01	5.094415756187753441e-01	2.902016224098701969e+00	5.387410245327333769e+01	1.323436128790079351e+02	2.834438800940427328e+00	3.064225740809828125e+00	1.073956578808925286e+02	2.008798581522530213e+00	1.410425291092320121e-01	1.266214786636216402e+09	-3.948357593025637602e-01	4.032194352392194148e+00	3.887556696090451736e-01	6.731203954593311209e+03	2.638211816856290284e+02	1.929451723566920851e+00	4.441616470950198181e-01	2.320524157254849895e-01	9.574444160171707852e-01	4.466641157709238996e+01	8.904053038584018509e+01	4.676909668033815137e+00	9.934560946800010672e-01
1.925971266436112614e+02	5.532061664713727289e+00	1.349991453982746004e+00	-4.504258149254042332e-02	1.149897103176654554e+02	2.552792273648337162e-01	2.532390366765980616e+00	4.843063881108133728e+01	1.443441947224651472e+02	4.346680790155278196e+00	5.097804432621137138e+00	8.111683950468967907e+01	3.158833450599867754e-01	3.081613066957716196e+00	1.266214786639486790e+09	-1.902637198133336760e-01	3.246116465870015677e+00	2.882708227568720361e+00	4.187746120737321689e+03	2.417631723258793670e+02	2.113654306415917006e+00	1.741353195783712782e-01	1.991293971471623514e-01	8.285869114799790935e-01	2.935448440479968468e+01	4.916604568226811267e+01	1.997928851811979489e-02	6.749074861702931694e-01
1.783490943620722362e+02	2.240482752691587143e-01	1.259848812778712857e+00	1.094491672168807286e-02	8.842497148731403911e+01	4.968614813688214671e-01	3.443469084078174092e+00	5.361419675411634955e+01	1.323599338104966989e+02	5.600576094651795067e+00	5.376527819382635798e+00	1.081373652172274689e+02	2.575609646479817716e+00	2.629382445078594976e+00	1.266214786640547514e+09	1.885269963737392640e-01	5.342156149776860374e+00	2.747478564973412585e+00	6.928176722722792874e+03	2.669638895875991693e+02	1.598094320915334432e+00	2.386539573658479907e-01	2.387429051188059426e-01	1.506340817404285548e-01	4.393496232318265271e+01	8.861479522552693311e+01	3.299322769598352689e+00	1.016953936905246492e+00
2.017873191265762500e+02	7.563969379954520456e-01	1.539675594450863105e+00	1.645621879413617927e-01	8.602237821888003566e+01	5.802845882502878361e-01	2.854325957093465149e+00	5.663031873168944941e+01	1.359398385439333765e+02	3.524895505250338790e+00	2.768498567254887632e+00	1.328407843953692122e+02	8.792823808196150726e-01	7.585913090801095215e-01	1.266214786641717672e+09	-1.870095816500196850e-01	3.453808480196583819e+00	8.491270108792482452e-01	9.790980486983011360e+03	3.188813905200709655e+02	7.255924098557235968e-01	5.009579223068267861e-01	3.251272273940051249e-01	9.318424421331578111e-01	4.991746032505333375e+01	1.170940713934947297e+02	3.574598292888506279e+00	1.345753782964911327e+00
1.485539793130442661e+02	6.101226381786134745e+00	1.923784950425936335e+00	-2.693580114148083626e-02	9.798349998491963220e+01	8.645347868782202738e-01	2.540407692845406018e+00	7.926990434790879192e+01	1.826936442619642378e+02	3.813621481737929475e+00	3.995580407131380962e+00	1.201820687407433894e+02	2.458863066294818100e+00	1.876611996444801811e+00	1.266214786640041828e+09	-4.204631689472855260e-01	1.012463412019893649e+00	1.582421591287681117e+00	3.026959014049992675e+03	2.769840621583585403e+02	1.039778108015217972e+00	7.442237640000369803e-01	4.536127734031569769e-01	9.366440786694898435e-01	8.471014427704460559e+01	1.284300828453142742e+02	3.012731702362936859e-01	5.161121957871253052e-01
2.079083909651098452e+02	1.638334498154774943e+00	1.634760998743279625e+00	1.037038988611979073e-01	1.029211634102766624e+02	3.660894323183723209e-01	2.962124418612006593e+00	5.291285265152311723e+01	1.405995136966912753e+02	7.437418576530090419e-01	5.388592666677819665e+00	1.068878906109767684e+02	6.233081960697517410e-01	8.436521966747523305e-01	1.266214786643311262e+09	-3.804112527599343707e-01	5.823305467824228643e+00	1.111250014342466175e+00	6.954417904727610221e+03	2.840214557877530979e+02	1.346448742775931295e+00	7.015611134114180247e-01	7.195945428512040554e-01	7.871365379823566100e-01	3.767835028641461292e+01	7.611306482264326689e+01	3.158742088097421519e+00	1.020074240089188677e+00
1.763374525516626647e+02	6.152302811388614678e+00	1.242293660301991620e+00	7.451754191612734723e-02	9.345845816574657761e+01	6.091577686381733914e-01	2.635548373814458500e+00	6.311560637687482966e+01	1.503894040023568266e+02	4.607714117978179758e+00	4.738596613769151311e+00	1.190865488601726696e+02	6.159049233036113097e-02	7.809322757828379702e-02	1.266214786631624222e+09	-7.229821888099174920e-01	6.346639254766416327e-01	3.072931670014822925e-01	5.852046813384161396e+03	2.837547816753732377e+02	1.687513294938814745e+00	4.744060337777658010e-01	4.587033354001422425e-01	8.819380432471486397e-01	5.693094583661026320e+01	1.074173291237106014e+02	3.377554672324090124e+00	8.868003604225094261e-01
