mass_ratio	phi_2	phi_jl	geocent_time	theta_jn	chi_p	phi_1	chirp_mass_source	phase	mass_1	a_1	mass_2	phi_12	mass_2_source	iota	mass_1_source	ra	dec	chirp_mass	tilt_1	total_mass_source	psi	luminosity_distance	total_mass	a_2	chi_eff	tilt_2	redshift
8.167860280602328160e-01	3.193224175057507441e+00	4.083600779560880412e+00	1.266238148154785395e+09	2.494713836667429074e+00	8.372455017507000052e-01	2.318752306334097568e+00	2.765970787569339251e+01	4.217962020755807728e+00	8.109098799999998164e+01	9.163430233015090742e-01	6.623398600000000158e+01	8.744718687234112053e-01	2.874429526549881331e+01	2.715023731202584667e+00	3.519195269997823772e+01	1.026886099999999802e+00	-4.678182499999999910e-01	6.373482763383985628e+01	1.152251458374411452e+00	6.393624796547705103e+01	2.508774891514495842e+00	9.419675199999999677e+03	1.473249739999999974e+02	8.988343423836084867e-01	4.864093981633221264e-01	8.004170533928511855e-01	1.304248039070879495e+00
8.116179125458033994e-01	4.727317906434197248e+00	3.485437766497651024e-01	1.266238148154785395e+09	7.231976455668931436e-01	4.194403492326353455e-01	2.059715263591224144e+00	2.732739437845219044e+01	6.198118444103090097e-01	5.844254699999999758e+01	8.700384961710962983e-01	4.743301799999999702e+01	2.667602642842972660e+00	2.831080347324143531e+01	6.961236517080459096e-01	3.488193525009679519e+01	4.319639600000000357e+00	9.717336100000000254e-01	4.578537626709790942e+01	2.638549409895209141e+00	6.319273872333823050e+01	2.622595024950888032e+00	4.191764700000000630e+03	1.058755649999999946e+02	4.569108621566793094e-01	-3.792111966633578968e-01	1.366397697705986847e+00	6.754387788687216121e-01
4.612746574863575977e-01	4.067612799946361157e+00	1.734489798390711490e-01	1.266238148154785395e+09	1.881526182427685212e+00	3.583516421694757370e-01	7.522477684696315947e-02	2.815802734215839109e+01	3.408504959646645016e+00	6.411810300000000495e+01	7.446483084037092137e-01	2.957605600000000123e+01	3.992388023099398442e+00	2.229114797375891399e+01	1.817398136490335103e+00	4.832510872205933339e+01	4.192409600000000403e+00	7.537714800000000492e-01	3.736027388547157813e+01	2.639528373069736311e+00	7.061625669581826514e+01	9.211816082459292065e-01	1.764739499999999907e+03	9.369415900000002750e+01	2.113651733047266223e-01	-4.103735447621753574e-01	9.950495581392864164e-01	3.268072166950246049e-01
4.711847050749843890e-01	3.854957742794744568e+00	1.271496948869407673e+00	1.266238148154785395e+09	2.570028664618980052e+00	3.119635066880507845e-01	6.060074347797754335e+00	2.409185027649224153e+01	4.815967268643050581e+00	6.912070500000000095e+01	3.290688341190968758e-01	3.256861899999999821e+01	4.078068702176575577e+00	1.926105491961174465e+01	2.391811462104487251e+00	4.087792899930089874e+01	3.924823799999999974e+00	5.296068999999999916e-01	4.073703625969084641e+01	1.894641003094233112e+00	6.013898391891266471e+01	7.675119330696111852e-01	4.309116499999999178e+03	1.016893240000000276e+02	3.607451339562099957e-01	-1.697294364316572490e-01	2.592483237683617769e+00	6.909052560168131851e-01
6.741158847924011432e-01	8.264760096467407280e-01	2.506595794223649420e+00	1.266238148154785395e+09	1.760463447756118294e+00	6.245158883523386217e-01	8.381056280709984208e-01	3.920376201701729713e+01	4.787309038888992063e+00	7.480874599999999930e+01	6.420679564653023474e-01	5.042976399999999870e+01	6.271555688755327651e+00	3.711749613642258794e+01	1.610137751129948391e+00	5.506100208253242556e+01	5.912267299999999892e+00	1.040149599999999896e+00	5.326427351575375724e+01	1.336436593826590746e+00	9.217849821895502771e+01	2.812303606005264633e+00	1.966536900000000060e+03	1.252385100000000051e+02	2.369524551518590108e-02	9.321977760903027432e-02	1.119985221577986412e+00	3.586520980469469766e-01
8.546310532995539111e-01	5.035455058753123936e+00	2.305410554636746046e+00	1.266238148154785395e+09	1.084244512347871670e+00	4.628871326637609140e-01	6.281012608576346246e+00	2.925531679723037115e+01	6.163934200136361063e+00	5.689781200000000183e+01	8.660334138692811212e-01	4.862663700000000233e+01	5.037627757356363034e+00	3.108621013169278058e+01	8.732504757568541054e-01	3.637383641944128243e+01	4.047961299999999873e+00	7.632388399999997519e-01	4.576266016964795824e+01	2.577687172074452082e+00	6.746004655113405590e+01	1.096050013062502382e+00	3.369974200000000110e+03	1.055244490000000042e+02	5.716981128194504880e-01	-4.807822277029545899e-01	1.903826993899309095e+00	5.642510551784676309e-01
9.478697716539647988e-01	3.084965556271622944e+00	4.185663291675262854e-01	1.266238148154785395e+09	1.170533098489475510e+00	7.494194064509981379e-01	3.812284333805921577e+00	3.272838299451269961e+01	2.881406393081660244e-01	6.450512700000000166e+01	1.318463529168711068e-01	6.114245999999999981e+01	5.555866529645287599e+00	3.660462834421539924e+01	1.083975691391932283e+00	3.861778214568752787e+01	4.392645299999999864e+00	1.007187499999999902e+00	5.466778215282452180e+01	7.942039635989555091e-01	7.522241048990292711e+01	1.300369180371146349e+00	4.153292300000000068e+03	1.256475870000000015e+02	8.217527060447039622e-01	-5.053944601128898539e-02	1.818335989291725241e+00	6.703477884009795273e-01
4.662672886477439160e-01	1.206990683228436723e+00	5.274456803679662187e+00	1.266238148154785395e+09	4.145080824952937504e-01	5.684819498282247530e-01	3.061512644638566982e+00	2.395315455433543050e+01	5.300996981393828023e+00	6.960940600000000700e+01	7.214271104166602999e-01	3.245658900000000102e+01	4.428663345769455084e+00	1.905721024181202239e+01	8.288913585927965011e-01	4.087185763573773301e+01	1.058540899999999896e+00	-5.807181399999999938e-01	4.079493707414868453e+01	2.234044792444951799e+00	5.992906787754974829e+01	3.335657012083003553e-02	4.402240600000000086e+03	1.020659950000000009e+02	8.012164218998222287e-01	-4.868703071972517726e-01	2.377439906078778975e+00	7.031133407338597818e-01
5.673713622135605483e-01	1.265315728601005496e+00	6.221720789019240527e+00	1.266238148154785395e+09	1.905988372800019981e+00	7.518109425898585885e-01	3.757050292150829751e+00	3.296327580437351656e+01	5.808079088165828630e+00	8.087748000000000559e+01	8.210764122186601233e-01	4.588756599999999963e+01	3.791450743629761533e+00	2.874826967900861519e+01	1.909473992136540899e+00	5.066922935068348721e+01	4.218618599999999219e+00	8.597105400000000230e-01	5.261549689558759724e+01	1.157098713454757011e+00	7.941749902969209529e+01	2.384777385195092414e+00	3.601921800000000076e+03	1.267650459999999981e+02	3.680644512242662869e-01	2.476498469409283976e-01	1.288916024624030321e+00	5.961853187117602815e-01
3.926284227908758973e-01	2.010539933929521794e+00	6.226391079382702642e+00	1.266238148154785395e+09	1.261421631438848445e+00	8.069420230909493119e-01	5.343648414140468539e+00	2.903478168457052888e+01	3.899650874026125535e+00	8.126106299999999294e+01	9.056439960476646567e-01	3.190540300000000684e+01	2.950076826968638599e+00	2.134412275560704231e+01	1.310093963103891035e+00	5.436214373857358595e+01	4.017711900000000114e+00	6.334083600000000036e-01	4.340147502290240311e+01	1.099575218081650041e+00	7.570626649418063892e+01	4.360869628609258530e-01	2.877821500000000015e+03	1.131664660000000282e+02	1.431489269937288589e-01	3.238181180714382879e-01	7.834731411891691089e-01	4.948097593572238773e-01
5.734976086093387382e-01	3.996522972651164629e+00	1.968853775299512110e+00	1.266238148154785395e+09	1.967037038629082524e-01	2.614617059309384817e-01	4.972870201166765369e+00	2.917761517930889070e+01	7.795807147716411478e-01	6.980624399999999241e+01	2.743476939910534651e-01	4.003371400000000335e+01	5.306838078663984604e+00	2.557617848856996901e+01	9.195552041445452518e-02	4.459683546124814058e+01	3.540190700000000135e+00	-3.133581799999999862e-01	4.567094735488068835e+01	1.263088942753316068e+00	7.017301394981811313e+01	7.516986462148250725e-02	3.377347099999999500e+03	1.098399579999999958e+02	1.118838238557953030e-01	2.113215260533733014e-02	2.460317069893689812e+00	5.652734836008095343e-01
7.799771249321454381e-01	2.914543725011601083e+00	2.375714176814952783e+00	1.266238148154785395e+09	2.660171298701632381e+00	1.787604937476212630e-01	5.588592723580893207e+00	2.701900337370171812e+01	2.126487391243625236e-01	6.422188599999999781e+01	3.436163825178344955e-01	5.009160200000000174e+01	3.609136308610294552e+00	2.745269317062088277e+01	2.630775173010577728e+00	3.519679269184867820e+01	5.134759800000000318e+00	1.037151799999999957e+00	4.930026919473686320e+01	5.471234548502338368e-01	6.264948586246956808e+01	1.119442777551201695e+00	5.351828499999999622e+03	1.143134880000000067e+02	6.012444199905780939e-01	-9.187330927957282345e-02	2.915189960547728720e+00	8.246516539807707824e-01
