luminosity_distance	geocent_time	chirp_mass	mass_ratio	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	phase	ra	dec	total_mass	mass_1	mass_2	phi_1	phi_2	chi_eff	chi_p	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	iota	redshift
8.137009991894801715e+03	1.267724187671092272e+09	7.816113028239480798e+01	3.985568869639286582e-01	1.783040474986328783e-01	8.155914988266437238e-01	2.219081453208143540e+00	1.212287473095498447e+00	1.229654594548480473e+00	5.037545530571144070e+00	2.231006257843574314e+00	2.388175626985201916e+00	1.669774013084688535e+00	2.822435294019953744e-02	6.509262409347013056e-01	2.030078368854358075e+02	1.451552230572025053e+02	5.785261382823330933e+01	6.008004214647299612e+00	9.544735020161940753e-01	4.570960303475701814e-03	2.691566255906011063e-01	6.724998651002664474e+01	2.680294527180241815e+01	9.405293178182905933e+01	3.621182101747781701e+01	2.400118525917343870e+00	1.158442411517221160e+00
1.439255619811177712e+04	1.267724187772438526e+09	2.299354162159355042e+02	3.781996232733083052e-01	3.167222275221848737e-01	4.041670723715743985e-01	1.779389519120930796e+00	1.669373008752235821e+00	5.617794130386424278e+00	4.357071326544530443e+00	1.424747378198885306e+00	1.734708301079504356e+00	1.606000265723123821e+00	1.576542180322100251e+00	-4.523448816872450706e-01	6.055468739736770658e+02	4.393753007532146739e+02	1.661715732204623350e+02	5.988779853557017141e+00	5.323388676763855187e+00	-5.850507284255375418e-02	3.098567062445323206e-01	1.546749239209302971e+02	5.849799795672346647e+01	2.131729218776537778e+02	8.094502114469860032e+01	1.771438304431024013e+00	1.840636928179922638e+00
4.758633246838258856e+03	1.267724187793026686e+09	9.356336737486657285e+01	1.918676732579131239e-01	7.368997008232681667e-01	3.763879414155238967e-01	1.203398881898411155e+00	2.971340536176349523e-01	5.168569624932138673e+00	5.449106962774385110e+00	1.854079181775828644e+00	2.897186794105594210e+00	2.989037662406830442e+00	2.552250757820253568e+00	-1.101679583941678864e+00	3.110129031725471691e+02	2.609458332923891817e+02	5.006706988015799453e+01	5.921898484914945193e+00	4.807282802667496746e+00	2.800121867629347117e-01	6.877229285900517963e-01	1.491689707379992456e+02	2.862070333777764475e+01	1.777896740757769010e+02	5.348524264210664825e+01	2.304103734402639603e+00	7.493305209614612439e-01
1.887420642290219621e+04	1.267724187705095291e+09	4.455906489545153448e+01	3.340305121850937198e-01	8.308049673761345177e-01	6.245474099215854169e-01	9.908054466464343291e-01	1.882140844007188285e+00	1.370308175742658729e+00	4.790055202811077883e+00	1.992789903770513793e-01	7.467761214842343342e-01	3.397170433133688494e+00	1.020919946715395099e-01	1.010589583766356547e+00	1.215803250454250986e+02	9.113758938412954080e+01	3.044273566129555064e+01	4.391836364316335839e+00	5.762144540058995013e+00	2.933867819410431732e-01	6.949414768228485695e-01	2.763091444868220847e+01	9.229568505435825188e+00	3.686048295411803366e+01	1.350932933775730582e+01	6.165897330772637241e-01	2.298392080124446846e+00
1.123355751655623681e+04	1.267724187678744316e+09	7.835309667796947508e+01	6.255499277419444004e-01	3.246540721386139694e-01	5.844686216577444915e-01	2.430773084565838627e+00	1.073825570102571181e+00	4.491924734993660628e+00	1.252166941746793105e+00	6.064051993717080036e-01	1.348467021735705318e+00	1.285671134904499135e+00	5.495195074290201376e+00	3.893040688319771014e-01	1.859941797269670474e+02	1.144192353324588680e+02	7.157494439450817936e+01	3.890185052017781420e+00	2.098924479831856260e+00	-4.412025182393670281e-02	3.009080632590696580e-01	4.568612937436601840e+01	2.857895492894378719e+01	7.426508430330980559e+01	3.128538397683587391e+01	4.767965085762811417e-01	1.504463321785763474e+00
9.295860734874810305e+02	1.267724187620027304e+09	6.015616022576144672e+01	9.955566540887032800e-02	4.459681047907071427e-01	8.713793342026996402e-01	2.730831468525007022e+00	9.129484880898954824e-01	9.044285515544938647e-01	3.049113462331426216e+00	1.155670757677110805e+00	1.178516975913533438e+00	5.785751234866779447e-01	3.401956590532314806e+00	3.089418337426539374e-01	2.690922465265156234e+02	2.447281706528732741e+02	2.436407587364237060e+01	6.078750689694820686e+00	6.999939340697283185e-01	-3.236129682123966567e-01	1.780783247658197510e-01	2.063948599265178245e+02	2.054777761695506655e+01	2.269426375434728698e+02	5.073352295483856977e+01	1.706842012277487441e+00	1.857280299519239730e-01
1.082661426908477733e+04	1.267724187630367517e+09	1.121321570896479329e+02	9.857673869258181121e-01	8.143844574796964553e-01	9.865900670220734137e-01	2.657806540241043347e-01	2.099640507787289501e+00	2.280451554899594946e+00	2.804234900515095941e+00	2.185336351364290941e+00	1.007579944081609780e+00	1.445286512555138958e-01	2.566942915800133562e+00	-4.521012970424496125e-01	2.576199892815317867e+02	1.297332159736772041e+02	1.278867733078545825e+02	3.624536001932413321e+00	5.904987556832008266e+00	1.486096452014289138e-01	8.379715049848653896e-01	5.273547236401436322e+01	5.198490879057313663e+01	1.047203811545874999e+02	4.558078844294016108e+01	2.101115186765519116e+00	1.460074977202717950e+00
8.071943387362945032e+03	1.267724187673493624e+09	4.092008486781285370e+01	5.697798290247121367e-01	9.651945010714678697e-01	9.639239324722661539e-01	1.447392448577270729e-01	8.704960682818226880e-01	2.571383671487623701e+00	5.191526321593380011e+00	1.751409114070223982e-01	7.623180327397462985e-01	3.622750415778480892e+00	2.271837883635704713e+00	-4.637819326840468825e-01	9.851872361181958127e+01	6.275958054132230046e+01	3.575914307049727370e+01	2.597319280190333757e+00	5.168702951677958346e+00	8.339055982669552058e-01	3.883178999372863816e-01	2.917780467412453405e+01	1.662492455853912432e+01	4.580272923266365837e+01	1.902431841040610294e+01	2.151577724997036367e-01	1.150935659562447144e+00
1.147475263549759256e+04	1.267724187776073933e+09	1.674760157322873226e+02	5.845644537138192098e-02	6.470355274471352169e-01	3.989087758177443099e-01	8.454654037783272402e-01	1.909713402634026558e+00	4.767571554627289210e+00	4.464005008151921139e+00	2.975262275759478769e-01	1.573048084738126962e+00	6.853885509132316978e-01	3.745171896683565649e+00	-2.318158151876552608e-01	9.850556554921471388e+02	9.306529898323019552e+02	5.440266565984521208e+01	8.017779843277361707e-01	5.569349538955025380e+00	3.982022438998908398e-01	4.841637019064323755e-01	3.677538495340555755e+02	2.149758281540292515e+01	3.892514323494584687e+02	6.617928504293834635e+01	9.905385348167665693e-01	1.530641055182536014e+00
5.263088730539036987e+03	1.267724187710011721e+09	3.627188313185452273e+01	3.316852751201516680e-01	9.283692476338248900e-01	1.462772423523843179e-01	6.120451967133097027e-01	5.645971267880417477e-01	3.448633613901484374e+00	1.330391087978568754e+00	2.986069448381400537e+00	2.284720287314441212e+00	5.248548548652895995e+00	3.174409357345240323e-01	9.457591557028055540e-01	9.917821909257963853e+01	7.447571956041284125e+01	2.470249953216679373e+01	5.659430816964275301e+00	2.824879123686173443e+00	6.013695232426176096e-01	5.333876833945709883e-01	4.106735924276851080e+01	1.362143834889577576e+01	5.468879759166429011e+01	2.000102132318797743e+01	2.731101876077052015e+00	8.135015480336044158e-01
