iota	chirp_mass	phi_1	chi_p	tilt_1	dec	mass_1	mass_2	chi_eff	total_mass	mass_ratio	psi	phi_jl	phi_2	phi_12	total_mass_source	theta_jn	a_1	phase	ra	mass_2_source	luminosity_distance	a_2	chirp_mass_source	tilt_2	mass_1_source	redshift
1.250935073483198545e+00	3.595823851642607849e+01	9.596604416958589567e-01	4.004174106657028553e-01	4.474026685594802988e-01	9.968083265851883645e-01	6.831330756792711156e+01	2.611297362397646538e+01	6.748920902097363950e-01	9.442628119190356983e+01	3.822531005106306057e-01	6.662821279972104271e-01	5.839952857156168520e+00	8.683885899301442279e-01	6.191913455413872391e+00	5.970708165883503682e+01	1.152605873568523176e+00	9.255524385779579921e-01	1.682956469386499787e+00	7.179670476654820277e-01	1.651160491381771678e+01	3.494777069628189565e+03	6.940098725967908111e-01	2.273690604255425285e+01	1.190726079253756620e+00	4.319547674501732359e+01	5.814921541711465247e-01
2.004349569067355452e-01	4.151058689601143925e+01	5.433097603674156062e+00	2.964187551306151081e-01	3.095515410402147616e-01	-1.227752093495936503e+00	6.524807047566618223e+01	3.548898085328777796e+01	8.362654082399316735e-01	1.007370513289539531e+02	5.439085109271262208e-01	2.828634380465961495e+00	6.160392221190269524e-01	5.223601428906630595e+00	6.073689132412061653e+00	4.950536663958197181e+01	2.464062036789558818e-01	9.364146297053478341e-01	4.059368814638900425e+00	3.569677319100698298e+00	1.744040534867380288e+01	7.079126163137749245e+03	9.435886551689943724e-01	2.039961262118681518e+01	6.795669369969795648e-01	3.206496129090817249e+01	1.034871331473177003e+00
2.566362763231302857e+00	3.939649457866809001e+01	2.549845032683107249e+00	3.567257011103719400e-01	3.788179601895306226e-01	9.093940670117095504e-01	5.849203269134511629e+01	3.545028001719721544e+01	7.810948060657600944e-01	9.394231270854233173e+01	6.060702353133076148e-01	1.768295823031742264e+00	1.873453632236725230e+00	3.432906723358093437e+00	8.830616906749867434e-01	4.991290085446526348e+01	2.691144713458812010e+00	9.645862781620963000e-01	2.199341934135129240e+00	2.611702250907939060e-01	1.883524325456061277e+01	5.814093288869295066e+03	6.690868442642559089e-01	2.093192376495252205e+01	4.873963965991435221e-01	3.107765759990465071e+01	8.821248835537905952e-01
1.319383330416685096e+00	1.815378780394182741e+02	1.141253260306231532e+00	7.057840102435639640e-01	1.365433224008004043e+00	-5.697319322628433547e-01	3.499582534895401409e+02	1.302372488238045207e+02	3.505087615403696538e-02	4.801955023133446616e+02	3.721508137761270762e-01	1.840954299415320072e+00	6.082495782894309144e+00	2.546480948050289683e+00	1.405227687744058152e+00	2.255840616745422551e+02	1.144365264594353837e+00	7.209329717683043981e-01	1.502586061340934087e+00	2.899161779277598328e+00	6.118226311878424895e+01	7.879598148582231261e+03	5.805433077125465857e-01	8.528203966639193823e+01	2.046377542582782372e+00	1.644017985557580062e+02	1.128676550766866571e+00
2.508695446585777145e+00	6.399856342027521805e+01	3.469498834835023970e+00	3.036000950383844765e-01	1.052786663013341562e+00	7.414714636698782613e-01	1.273950449371583886e+02	4.470898975822443333e+01	1.407969676762720335e-01	1.721040346953828362e+02	3.509476352104475283e-01	1.016848739891716424e-01	2.758212109529329492e+00	3.860338884583311980e-01	3.199720360802893460e+00	8.221171569647698618e+01	2.594681260131474598e+00	3.494450415189266912e-01	2.213018571863804240e+00	9.901769938407625204e-01	2.135686569803849366e+01	7.576826942627751123e+03	5.527779217984645221e-01	3.057122809586154233e+01	1.482116748943777651e+00	6.085484999843848186e+01	1.093424680866476484e+00
2.027003538309020136e+00	1.863961183138130195e+02	3.018060908731269976e+00	8.356014647863071465e-01	1.010442483300257654e+00	6.860220318077400181e-01	3.517551489985823423e+02	1.361206687137471363e+02	4.021296341115828676e-01	4.878758177123294786e+02	3.869756252361091775e-01	2.372831954460896675e+00	2.822446528714107394e+00	1.736800576573582333e+00	5.001924975021897701e+00	1.620641323934313789e+02	2.256211182369636248e+00	9.864643115121801697e-01	2.728865836897943709e+00	5.323042839226651779e+00	4.521699431496464427e+01	1.603291828789099054e+04	4.570713202598551961e-01	6.191765219616475235e+01	1.380522474569495506e+00	1.168471380784667417e+02	2.010387372623256397e+00
2.386811696462113996e+00	2.929691686843097287e+01	4.008014726920135828e+00	6.167832234693230165e-01	8.430503803514874939e-01	9.745449068062124187e-01	5.414647970093874818e+01	2.177295047087430646e+01	4.180588491586035294e-01	7.591943017181304754e+01	4.021120226306572620e-01	5.045926732166101658e-01	6.198391113713544343e+00	5.333797550418746702e+00	1.325782823498610874e+00	4.490132284491429004e+01	2.410209877740581152e+00	8.260390018966844439e-01	5.487767103691966852e+00	3.384293854434901050e-01	1.287726048742165830e+01	4.308361872560202755e+03	7.064849913367138301e-01	1.732718909629586790e+01	1.441269823410845863e+00	3.202406235749263885e+01	6.908060912600038073e-01
5.948865638072128315e-01	3.194123858799027715e+01	5.233859579361331171e+00	4.169437096264776987e-01	5.203336746645333966e-01	5.554776130790144428e-01	6.536735722998700737e+01	2.181205805570415635e+01	4.794716695861601652e-01	8.717941528569116372e+01	3.336842574032955477e-01	4.451722420710389483e-01	5.649620804948572328e+00	7.037183018968589110e-01	1.753044029715113972e+00	4.259909670900501766e+01	4.510366936579175423e-01	8.386346288995037979e-01	3.081967525202660152e+00	5.833854901400151505e+00	1.065818080440692661e+01	7.177510347049901611e+03	8.442221130190353806e-01	1.560767421020462287e+01	1.889172897355750891e+00	3.194091590459808927e+01	1.046508541747138255e+00
1.737096218080690146e+00	1.383017514769612148e+02	2.946414766545856878e+00	5.538860590363458014e-01	1.110709948775177480e+00	2.458733168687312620e-01	5.636690169201025356e+02	5.594071947314591853e+01	2.099585752935058947e-01	6.196097363932484541e+02	9.924391405936590360e-02	6.883008979493214496e-02	1.591345259512191967e+00	4.020508269320636430e+00	1.074093502774779996e+00	3.340063799872021377e+02	2.547076459299618900e+00	6.181666450238224586e-01	1.771865233762450531e+00	2.721432038233139394e+00	3.015536410687791857e+01	5.595598745071547455e+03	5.755673850854232665e-01	7.455284293239658666e+01	2.441513616173570433e+00	3.038510158803242120e+02	8.550835358803312580e-01
1.327142647533858577e+00	7.701386245395761421e+01	4.891995571296928524e+00	4.675018032431717957e-02	1.152696232289313061e+00	5.090365818487208038e-01	1.998099105496568484e+02	4.355988330906738781e+01	-8.535020432934400936e-02	2.433697938587242220e+02	2.180066203384934953e-01	2.405145601111860820e+00	2.293755049197174323e+00	5.838551807077882572e+00	9.465562357809541583e-01	1.025187242616688650e+02	1.388023853080275538e+00	5.115671777125124775e-02	4.030068607931031610e-01	5.464593375930668628e+00	1.834945740400752001e+01	1.004428387124312940e+04	6.090794349705248578e-01	3.244183595695782429e+01	2.791482021945021597e+00	8.416926685766134142e+01	1.373905797320955857e+00
