mass_1	mass_2	chirp_mass	ra	dec	phase	iota	psi	luminosity_distance	total_mass	mass_ratio	chi_eff	chi_p	tilt_1	tilt_2	phi_12	theta_jn	phi_jl	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	a_1	a_2	phi_1	phi_2	redshift
9.956960300000000075e+01	2.188035400000000053e+01	3.855042752224196789e+01	5.478906099999999668e+00	1.378930800000000012e-01	4.899835158900537557e+00	4.248506779072930839e-01	3.040007308965246846e+00	6.251514899999999216e+03	1.214499569999999977e+02	2.197493345433947365e-01	7.474858337647993789e-01	2.157782583683803546e-01	2.275413423966756998e-01	2.246734820494837415e+00	1.617998056542417240e+00	5.275187009180573039e-01	2.126334674523973067e+00	5.144013228328627463e+01	1.130393483807635491e+01	6.274406712136263309e+01	1.991610924994214216e+01	9.565363103193341709e-01	1.464576820565516579e-01	4.868354967967354341e-01	2.104833553339151564e+00	9.356404927510608704e-01
9.772157300000000646e+01	9.029548599999998260e+00	2.299955345052836009e+01	6.056514099999998457e+00	9.685731800000000336e-01	5.824598657062903584e+00	1.864212789398322689e+00	8.045154108490414346e-01	2.232885299999999916e+03	1.067511216000000047e+02	9.240077009403030450e-02	2.214765884592633516e-01	4.311237201926461093e-01	1.084759535859622259e+00	7.339762802241144302e-01	5.705939131308197076e+00	1.497605507170057582e+00	5.675388816926524527e+00	6.981881510347261610e+01	6.451312282613582916e+00	7.627012738608620168e+01	1.643241630816641674e+01	4.875911031001886609e-01	2.066057409362288821e-01	3.056934063265584811e+00	2.479687887394195656e+00	3.996452511429053889e-01
9.764604199999999423e+01	8.380033099999999990e+01	7.870286980761856910e+01	3.558036399999999766e-01	8.727844399999999947e-01	4.046457996720205230e+00	2.354056178992477655e+00	3.109375437676842768e+00	1.545384999999999854e+04	1.814463729999999941e+02	8.582050975501906986e-01	-9.027291880822170198e-03	8.205146338510985737e-01	1.603007632123798487e+00	5.083214194567809985e-01	2.160123721882376113e+00	2.447841563028192446e+00	1.691611885180387409e-01	3.309154325294781529e+01	2.839933110548242823e+01	6.149087435843024707e+01	2.667183806968776949e+01	8.209404878966065633e-01	1.289113529253427259e-02	5.848220035901699809e+00	1.725158450604489246e+00	1.950785379019808197e+00
9.756901600000000485e+01	1.857338299999999975e+01	3.482760459517092499e+01	7.489485599999999854e-01	1.009965800000000025e+00	5.702720245425865198e-01	2.750204579847153497e+00	1.371965589218485215e+00	7.263503500000000713e+03	1.161423989999999975e+02	1.903614872983857564e-01	7.172661362415083675e-01	2.071233668805624040e-01	2.477795226381485638e-01	1.024183992347001970e+00	5.041919316695529396e+00	2.885770468259503119e+00	1.262687654256670733e+00	4.744064895637842483e+01	9.030872493736810114e+00	5.647152145011523316e+01	1.693410706930831466e+01	8.445331691163491250e-01	3.543776599333306465e-01	3.988808476506640055e+00	2.747542486022583219e+00	1.056654328015506517e+00
9.567208900000002814e+01	8.235414099999999848e+01	7.722992624648800586e+01	5.232183299999999981e+00	-7.365421099999999721e-02	1.124087320011601054e+00	7.702262130098761483e-01	2.059537031825038889e-01	9.699978300000000672e+03	1.780262299999999982e+02	8.607958900113491518e-01	-6.899760218672007506e-02	4.776280228617852952e-01	1.653226454323208472e+00	2.061409523409976075e+00	3.171387268141513616e+00	7.290584942329088047e-01	6.013841710119344874e+00	4.096239109171764170e+01	3.526025789678803335e+01	7.622264898850566794e+01	3.306630466585870920e+01	4.792553053609707181e-01	2.192673059552306403e-01	1.633295625779814131e+00	4.804682893921328635e+00	1.335608016284585808e+00
9.480720499999999618e+01	8.880088000000000648e+01	7.986873530392553278e+01	5.297576099999999677e+00	-1.015909499999999993e-01	5.825199573650233553e+00	2.073641555366272815e+00	1.509733638924354526e+00	4.449818199999999706e+03	1.836080849999999884e+02	9.366469563151872402e-01	8.837868855524373679e-02	3.836927550128648723e-01	2.408835932486543818e+00	7.628222944692776286e-01	1.872371775885876888e+00	1.976493086146561273e+00	4.166363338563604302e+00	5.546458051156376001e+01	5.195073051945485076e+01	1.074153110310186037e+02	4.672520300141062677e+01	3.148407081457987866e-01	5.984269774690583743e-01	1.707772063053178968e-01	2.043148982191194563e+00	7.093288027344538671e-01
9.454808800000000701e+01	8.660596499999998343e+01	7.876090949467948121e+01	2.565970500000000154e+00	-8.058612200000000447e-01	5.622411442475135246e+00	2.809472328551083198e+00	1.271231010596083122e+00	1.472973599999999897e+04	1.811540530000000047e+02	9.159991157092461922e-01	4.473011945942367840e-02	3.779584787350236952e-01	2.116224729839395913e+00	1.087570742859951922e+00	2.921236099039365097e+00	2.776807256384760780e+00	3.817390350859057424e+00	3.287753937361215861e+01	3.011579699292465406e+01	6.299333636653681623e+01	2.738780823376172435e+01	2.219004148452398684e-01	4.718459411478215237e-01	4.816074689019364641e+00	1.454125480879143950e+00	1.875765334065275347e+00
9.394121599999999717e+01	5.675978899999999783e+01	6.317059102679527882e+01	5.696885599999999883e+00	7.431740599999997476e-01	4.559073628323008442e+00	9.401042088973577959e-01	2.841986137086472297e+00	5.978055599999999686e+03	1.507010050000000092e+02	6.042053894639813905e-01	-2.755379902032664141e-01	5.332361934578566665e-01	2.316875447500714280e+00	7.433600232237909111e-01	3.082680205983308053e+00	1.183673156207015076e+00	9.353488761049547628e-01	4.938352113826058343e+01	2.983778962244549149e+01	7.922131076070607492e+01	3.320785433827212785e+01	7.261277831426915519e-01	1.143179110732782944e-01	5.684712211920726510e+00	2.484207110724447887e+00	9.022786110571145990e-01
9.270024100000000544e+01	7.463484200000000612e+01	7.232627326309156501e+01	5.969920899999999975e+00	1.016796300000000208e+00	1.684759501516206903e+00	8.432517057942023886e-01	7.855618260698205013e-01	9.410982400000000780e+03	1.673350829999999974e+02	8.051202585330925476e-01	-3.619697081169849229e-01	5.505299474451909036e-01	2.389697114340665340e+00	1.781259180229690653e+00	5.121153217055372409e+00	5.526922080191347675e-01	4.090311220212468513e+00	4.024718257013968525e+01	3.240382203609944867e+01	7.265100460623912682e+01	3.140152272783690890e+01	8.060178864863124515e-01	3.845846118451284323e-01	6.079857239024566873e+00	4.917825148900352161e+00	1.303272802722256873e+00
9.244787599999999372e+01	6.121964299999999781e+01	6.521630998843771465e+01	2.309469700000000181e+00	-6.424840000000000551e-01	6.155718239339710074e+00	2.419915634408212668e+00	1.409323121045993110e+00	1.464777599999999984e+04	1.536675189999999986e+02	6.622071338880732849e-01	2.774873716567206605e-01	7.943893361667806463e-01	1.116216102502050722e+00	1.345025610121213022e+00	3.753119312541464137e+00	2.587376510555034148e+00	6.656317516697191072e-01	3.224283012692382044e+01	2.135143212679024671e+01	5.359426225371406360e+01	2.274534035224348827e+01	8.841820709252368182e-01	4.925133341601360959e-01	4.354617012300991519e+00	1.824551017662868091e+00	1.867238255329298546e+00
