a_1	a_2	chi_eff	chi_p	chirp_mass	dec	geocent_time	luminosity_distance	mass_1	mass_2	mass_ratio	phase	phi_1	phi_12	phi_2	phi_jl	psi	ra	theta_jn	tilt_1	tilt_2	total_mass	mass_1_source	mass_2_source	total_mass_source	chirp_mass_source	iota	redshift
5.051913048728633449e-01	9.485280803598369892e-02	2.487289035119941705e-01	4.129336746199603891e-01	3.676706045404795731e+01	7.303409738441790644e-02	1.268903511264146090e+09	5.572711404779328404e+03	9.962276606153496061e+01	2.011319778205470854e+01	2.018935889576805587e-01	1.030342700086431806e+00	3.412701799780535339e+00	5.257217913320930691e+00	2.386734405921879798e+00	1.286648945367631747e+00	1.396727365269310184e+00	6.196254382431035879e+00	1.828132053748418695e+00	9.568497990330951941e-01	1.145218272972800655e+00	1.197359638435896727e+02	5.378506885530692472e+01	1.085886058353388250e+01	6.464392943884081433e+01	1.985006998206342033e+01	1.450192772373245731e+00	8.522383289968638032e-01
5.894575052185218045e-01	1.139164073768430402e-02	-2.130922425656952418e-02	5.889193585127361352e-01	6.071355252078086551e+01	-5.056119649713743947e-01	1.268903511244966269e+09	4.532241360204682678e+03	1.317566102925053144e+02	3.953177362750574275e+01	3.000363590088080956e-01	3.491513979244144750e+00	1.682461861481562515e+00	1.745924860499559417e+00	3.428386721981121266e+00	2.121563639799269207e+00	2.812960804006543025e+00	5.041765883028027417e+00	2.123000371850470192e+00	1.613530188127834997e+00	2.400127563400149988e+00	1.712883839200110572e+02	7.659989909420609422e+01	2.298275482466769404e+01	9.958265391887380247e+01	3.529729541780067592e+01	1.632479520491049829e+00	7.200624524382849279e-01
7.346729923887278524e-01	2.981285708709298654e-01	4.350060319810095111e-01	5.284848044997985106e-01	8.487329343636429257e+01	1.372921034886539493e+00	1.268903511381293774e+09	7.962341022826721201e+03	2.450722788632385232e+02	4.423621539069312547e+01	1.805027300349173469e-01	5.214451669773290554e+00	3.860936306597171352e+00	5.129679459704178157e+00	2.707430459121761501e+00	5.781793491980706357e+00	1.681111411137373945e+00	6.113083052693511377e+00	1.768451696155292074e+00	8.028618035272269138e-01	1.511583988636722609e+00	2.893084942539316557e+02	1.146127013860255914e+02	2.068790549685437341e+01	1.353006068828799755e+02	3.969260612171874669e+01	1.971353325176401494e+00	1.138264571897783739e+00
1.682671680324416760e-02	6.447692918052765343e-01	-8.599892822378767121e-02	3.809584803345148485e-01	4.790472875676895370e+01	4.000444857630816031e-01	1.268903511262987614e+09	3.733113106688399057e+03	6.784801279506686456e+01	4.500545379001282242e+01	6.633275159576244029e-01	5.390050797383667991e+00	5.436800979517871113e+00	6.085086840939910147e+00	5.238702513278194139e+00	1.279570379481827169e+00	1.380633239812777635e+00	6.099864501343219558e+00	6.138721623258402982e-01	1.669179064222635178e+00	1.907726209959784924e+00	1.128534665850796870e+02	4.203600277191593904e+01	2.788363729948281744e+01	6.991964007139876003e+01	2.967991585678152688e+01	4.955861136083708485e-01	6.140453021474202577e-01
5.353749124883111499e-01	7.510270535035706851e-02	1.673898864238817508e-01	4.702857410976553632e-01	4.525109931038130640e+01	4.927822889667043960e-01	1.268903511268526554e+09	3.696672595503387583e+03	5.917159107295278631e+01	4.581157196757931871e+01	7.742156520871329439e-01	2.394158746288967687e-01	2.738562264602325769e+00	2.679187405908277864e+00	5.417749670510603188e+00	6.120490535854772318e+00	2.249512171497816571e+00	1.660436669969975298e+00	1.778710688063368517e+00	1.072552567911198240e+00	7.848220745283083222e-01	1.049831630405321050e+02	3.677313168271643207e+01	2.847033412502031169e+01	6.524346580773674020e+01	2.812201942781546649e+01	1.799542388583106112e+00	6.090985011419015605e-01
3.937176069537438178e-02	8.043240399530612317e-01	-1.515081046703432022e-01	1.275421607060086282e-01	5.006494882591089635e+01	6.995366651133179126e-01	1.268903511265175819e+09	6.657152210651404857e+03	1.104319079243626334e+02	3.217420032243204986e+01	2.913487680070591668e-01	1.883961103566737405e+00	3.233308678552907267e+00	3.002013160663342894e+00	6.235321839216250162e+00	4.381206460485889131e+00	8.075844028125084284e-01	5.813785147988639324e+00	2.185050057688204372e+00	1.961082481981051506e+00	2.451175889682865705e+00	1.426061082467946903e+02	5.564479105333585096e+01	1.621204131939962778e+01	7.185683237273548229e+01	2.522689020660459391e+01	2.194342594359824705e+00	9.845866222862265094e-01
5.794685935478387506e-01	8.007058135174514035e-01	-1.348525829730324588e-01	5.595396081258355858e-01	1.096477293398662738e+02	-1.352848907482289587e+00	1.268903511300592899e+09	1.567983507809547518e+04	7.334105285109232000e+02	3.131999900713946872e+01	4.270459420691694735e-02	2.675383278312474022e+00	5.475187452720777337e+00	4.731247566980413266e-01	5.948312209418818775e+00	5.739767742821218377e+00	2.141532898190509293e+00	5.493569664192953894e+00	3.390765304847500605e-01	1.833820246903629325e+00	1.272436010804464557e+00	7.647305275180626722e+02	2.466003491022818537e+02	1.053096783969700390e+01	2.571313169419788665e+02	3.686771225984769274e+01	1.814138983229243607e+00	1.974085524131712344e+00
4.156666026745886589e-01	2.349299164519669247e-01	-2.743948668570228566e-01	2.754141341823259093e-01	3.589662721038608595e+01	7.178324141099264866e-01	1.268903511279620409e+09	2.188370994818268628e+03	6.947666768162709161e+01	2.566712644103558816e+01	3.694351974198553656e-01	6.968003943406717582e-01	7.996508357540275114e-01	1.956257302817213661e-01	9.952765660357485444e-01	4.649548617675302253e+00	4.273650355735730821e-01	1.124336451824682115e+00	1.283455562847831466e+00	2.417328842630957375e+00	2.407493784801213454e+00	9.514379412266268332e+01	4.988020267583580392e+01	1.842750252288979596e+01	6.830770519872559987e+01	2.577168854496573758e+01	1.561665313683948231e+00	3.928705970411923154e-01
1.226635843093062256e-01	7.748040086196894549e-01	-7.834055215358708135e-02	2.566710492974356161e-01	8.338334355031048517e+01	1.159882655300410237e+00	1.268903511223224401e+09	7.336343847427850960e+03	1.595737604901236750e+02	6.018466916150823209e+01	3.771589325002663862e-01	2.016624821492596920e-01	4.945229692232952168e+00	4.505932176511588061e+00	3.167976561564953997e+00	8.497209478749917499e-01	9.706541820749780003e-01	3.203401872016591767e+00	1.647234463402566851e+00	2.529758087180106862e+00	1.596380538238359348e+00	2.197584296516319000e+02	7.726682954753233901e+01	2.914187494982733995e+01	1.064087044973596790e+02	4.037484968340973523e+01	1.563592747562060348e+00	1.065229820151459172e+00
3.908491021244179242e-01	6.913781297362338318e-02	9.498174373829376682e-02	3.758252234776787160e-01	4.671108056661626762e+01	4.406536730767758314e-01	1.268903511261929035e+09	1.103956607462953980e+04	8.299357234400535788e+01	3.589513579126748510e+01	4.325050094540267009e-01	4.188109080797879358e+00	4.584355990747895682e+00	3.976540024705314647e+00	2.277710708273623652e+00	5.787765186876500323e+00	6.311028094014854428e-01	3.279792128452434952e+00	7.933238422211585927e-01	1.292631292639436325e+00	2.800000783488718059e-01	1.188887081352728501e+02	3.342015991863117108e+01	1.445438658156265888e+01	4.787454650019383706e+01	1.880979139008152856e+01	9.162364999024319445e-01	1.483338576059232139e+00
6.098395215169332140e-01	3.450500595455043840e-01	-2.561625349344192615e-01	3.839616765906663232e-01	1.614459352162642958e+01	7.105081746145479604e-01	1.268903511306564569e+09	1.877026214194028853e+03	2.089678964867637134e+01	1.650414835752758336e+01	7.897934867030149686e-01	4.391558518404194089e+00	4.247457467850050961e+00	5.416508586877494480e+00	3.380780747547959209e+00	5.236233942651090878e+00	2.648081607292640083e+00	4.173715485392357039e+00	1.009414346924686123e+00	2.460540232983624342e+00	1.514577051743294378e+00	3.740093800620395825e+01	1.554108702253003393e+01	1.227424930667897307e+01	2.781533632920901056e+01	1.200684588787366991e+01	1.153532926045993889e+00	3.446157027743383949e-01
9.448263968994621287e-01	7.143403617634407343e-01	1.021369803187223979e-01	8.948470837314396187e-01	7.207422835031648845e+01	3.948071558540797721e-01	1.268903511256381512e+09	1.114800472419680955e+04	1.065909490218904807e+02	6.508532875898126235e+01	6.106083992705116925e-01	3.514566221057909168e+00	5.178513621069686934e+00	5.494956631970137728e+00	4.390284945860238430e+00	5.638878421989052647e+00	2.918842885748015981e+00	1.078264065692245310e+00	7.640351195470914680e-01	1.244082578516165993e+00	1.894456021016384772e+00	1.716762777808717431e+02	4.271917187823654416e+01	2.608468515873187243e+01	6.880385703696840949e+01	2.888567347548540809e+01	1.089878557447819141e+00	1.495154852854103877e+00
9.678266097284288216e-01	1.266242090670606779e-01	4.825169340394701023e-01	7.504706278648343165e-01	7.042625654978414218e+01	-1.134605639646778297e+00	1.268903511251641035e+09	6.424608961045109027e+03	1.482423573242865871e+02	4.700143369522542258e+01	3.170580564393464806e-01	5.738137789412185441e+00	4.597375655146402451e+00	4.449520366142228234e+00	2.763710714109043565e+00	7.737119945642623176e-01	2.717623859714803913e+00	1.852537379448811805e+00	2.130304061500186918e+00	8.873775390615907810e-01	9.184672303644444424e-01	1.952437910195120025e+02	7.576515748552310470e+01	2.402195357818095545e+01	9.978711106370404593e+01	3.599414172116698296e+01	1.806122645694709483e+00	9.566033021526041402e-01
7.887829004604281213e-02	7.111393085362300859e-01	-2.634675265571211900e-01	5.022328352507933191e-01	5.594073782119325244e+01	-1.039132633878985246e+00	1.268903511246033907e+09	1.760946441909329224e+04	6.487670116999365177e+01	6.364840912729496836e+01	9.810672857813740322e-01	5.518856011601292799e+00	2.578164973931926340e+00	1.940967333167624154e-01	2.772261707248688367e+00	4.914373541201965345e+00	1.125825117699312594e+00	9.079345281440041049e-01	2.778791339235650693e+00	2.089574673260112814e+00	2.335143611592275903e+00	1.285251102972886201e+02	2.045907733894286551e+01	2.007173147450789230e+01	4.053080881345075426e+01	1.764109242364905583e+01	2.963506407071081927e+00	2.171047261574400977e+00
8.393867807257113789e-01	2.305984712101885603e-01	-7.561430347324781254e-01	3.081038221402006005e-01	9.298737789457445047e+01	-1.878555048576475706e-01	1.268903511345819235e+09	2.196459052013256587e+04	7.943604264550601783e+02	2.245938307402142442e+01	2.827354224360021165e-02	4.980228569487518797e+00	2.100651762339706963e+00	1.382555142720220287e+00	3.483206905059927472e+00	2.438985158706708400e+00	2.993318335093687832e+00	4.714407664368671647e+00	1.125344111443300266e+00	2.765748139281739792e+00	1.044701569507259675e+00	8.168198095290815672e+02	2.203723827958646666e+02	6.230707874301716132e+00	2.266030906701663810e+02	2.579666528456674257e+01	1.734280893239585897e+00	2.604627841188666970e+00
2.077651947427064105e-01	2.773652507942045431e-01	5.186051752849530488e-02	1.917979172146548894e-01	6.648941756664612512e+01	-4.970269687387776081e-01	1.268903511323260784e+09	2.240048389286957899e+04	2.716310445052623663e+02	2.684805227247299797e+01	9.884014664587745247e-02	3.610120190628540282e+00	3.837994520215163075e+00	3.983776387239607697e+00	1.538585600275184539e+00	4.270080012942978342e+00	3.112500019501186710e+00	4.864828195067865124e+00	1.201313751621307713e+00	1.176188711225132355e+00	2.558710441864184393e+00	2.984790967777353785e+02	7.447411537230171064e+01	7.361032484720298363e+00	8.183514785702202232e+01	1.822965620116966079e+01	1.642396479948944776e+00	2.647321531076378687e+00
3.438287996665455037e-01	4.122530469609708703e-01	1.165492832492388692e-01	2.810968718097520136e-01	1.831092842994564052e+01	1.919787425123462565e-01	1.268903511305905581e+09	2.495667509537247952e+03	2.620895370954524140e+01	1.703653160358875951e+01	6.500271545515414751e-01	2.209795974018548215e+00	3.379183703991577747e+00	1.469116092687140274e+00	4.848299796678718465e+00	3.091597775396006220e+00	3.788053292020727714e-01	3.256521788383587079e+00	2.409136258116212570e+00	9.571417194328778466e-01	1.592021740966140575e+00	4.324548531313399735e+01	1.821249889477288164e+01	1.183861883384230929e+01	3.005111772861518915e+01	1.272419217830869798e+01	2.397259313220333699e+00	4.390641207982393657e-01
1.102785424735858860e-01	4.786176451958165101e-01	9.443486433899903054e-02	5.739264881833567450e-02	4.230814422521299178e+01	2.092631870628951507e-01	1.268903511224426985e+09	3.712921963837262410e+03	2.439639102010849854e+02	1.339347443005152272e+01	5.489940876505904760e-02	1.966530888399875998e+00	2.614694670756080086e+00	5.290195359121188545e+00	1.621704722697681511e+00	1.407636869872883612e+00	8.128536406307581563e-01	2.662391070867350606e+00	2.003037518928349581e+00	5.473585520286599060e-01	1.361779282340454422e+00	2.573573846311364832e+02	1.514075903598538559e+02	8.312187193298230525e+00	1.597197775531520563e+02	2.625705648207050302e+01	1.783718591371461715e+00	6.113056790696586029e-01
9.019640564432332974e-01	6.535485508553441347e-01	7.044524291880407407e-01	3.323361666557625438e-01	2.111565231127585207e+01	-5.952149129884172218e-01	1.268903511277489424e+09	3.846084483176324284e+03	4.684071633647480581e+01	1.350852443440581396e+01	2.883927807032007906e-01	5.702838790680079484e+00	8.857676179108580072e-01	4.259562617547786978e+00	5.145330235458644097e+00	3.535627675772920586e+00	1.317759651269115873e+00	3.388416016111008844e-01	2.564123765535429644e+00	3.773501266339380211e-01	1.195390626068779216e+00	6.034924077088061978e+01	2.874873318554249479e+01	8.290927105072988468e+00	3.703966029061548682e+01	1.295984139044529293e+01	2.605731443960859206e+00	6.293141000046088562e-01
8.566756760258220638e-01	8.836135265490641100e-01	5.555777517908164764e-01	5.575656614888460094e-01	5.803565291215308974e+01	-3.114590084543080728e-01	1.268903511265444040e+09	5.257221485497064350e+03	1.910259204153694270e+02	2.742744833784541569e+01	1.435797208996914542e-01	4.316382089287568391e+00	2.121478652395786924e+00	5.554120137018907499e+00	1.392413482235109079e+00	2.996518427777975280e+00	5.072432681901306584e-01	1.418333189578014242e+00	1.058697808053215450e+00	7.087008731393540373e-01	1.689683744894205919e+00	2.184533687532148463e+02	1.053783243909355321e+02	1.513019040492767431e+01	1.205085147958632064e+02	3.201502626197820689e+01	1.055839470188777440e+00	8.127629331692157733e-01
4.871170706457289001e-01	5.573712688188935394e-01	2.312726826795938884e-01	4.083218103677669353e-01	1.885646867063483256e+01	-9.823650483639347897e-01	1.268903511272382021e+09	1.551026523051467620e+03	2.459090390818204952e+01	1.913898515511232290e+01	7.782953089717158379e-01	6.097368358340125916e+00	2.189593941435454383e+00	5.891864820036606609e+00	1.798273454292473872e+00	4.958241646649100609e+00	1.567744434144720866e+00	1.110336219318604378e+00	1.564024391600292274e+00	8.658362275932209862e-01	1.348552431291031972e+00	4.372988906329437242e+01	1.902956717893665228e+01	1.481062286712852405e+01	3.384019004606517456e+01	1.459199867825791408e+01	1.731346329503649306e+00	2.922471476598322848e-01
9.436836217761778167e-01	7.961846982031232089e-01	4.109674159605948840e-01	8.455042740090270570e-01	9.541549742636026110e+01	1.029487810932302239e+00	1.268903511226073027e+09	1.418800553727195074e+04	3.637379108511032655e+02	4.050002767384972913e+01	1.113439827569375484e-01	5.357818488636950427e+00	1.229235892119007190e-01	2.319989549572526233e+00	2.442913138784428284e+00	2.349915445636775679e+00	1.986415238435753627e+00	6.157355127234879433e+00	1.889283230997984564e+00	1.110591588424610032e+00	1.132705562855246706e+00	4.042379385249529946e+02	1.290187950883549206e+02	1.436546649563864975e+01	1.433842615839935775e+02	3.384412826779639971e+01	1.261599835667837288e+00	1.819262965539304000e+00
4.285464429937037578e-01	5.518716386248847527e-01	2.959452974093612632e-01	3.136419649497966811e-01	6.778003109707663043e+01	5.966364719831163121e-02	1.268903511249660254e+09	3.187955203668753256e+03	9.541773310289389087e+01	6.403507156773960673e+01	6.711024197010346803e-01	2.912258966261543680e+00	2.040410609100398176e+00	9.001920775484765214e-01	2.940602686648874808e+00	2.178385567994706840e+00	2.189735527776427215e+00	1.156365377364316771e+00	1.310346869407922554e+00	6.919508152297600967e-01	1.110340466719975661e+00	1.594528046706334976e+02	6.200590162188419896e+01	4.161231061419079680e+01	1.036182122360749958e+02	4.404592106167025634e+01	1.174522043248882097e+00	5.388492160755452565e-01
