total_mass_source	phi_1	phi_jl	theta_jn	iota	a_1	mass_1_source	mass_ratio	dec	luminosity_distance	tilt_1	ra	psi	chirp_mass	geocent_time	chirp_mass_source	a_2	tilt_2	phase	total_mass	mass_1	chi_p	phi_12	mass_2_source	phi_2	chi_eff	mass_2	redshift
8.324828135819110742e+01	4.329506802922998610e+00	4.268673324788847090e+00	1.442840611652522531e+00	1.539243679259499897e+00	3.376761175638275381e-01	4.282016821211423974e+01	9.441371866129049106e-01	1.237128011756163160e+00	8.834017271264450756e+03	1.215649694412343385e+00	1.524653397698465085e+00	2.236258988929058056e+00	8.106180054280635261e+01	1.268903511259656429e+09	3.621796541087638843e+01	4.167991973360170299e-02	2.321663915900575414e+00	3.154285873361905690e+00	1.863234309943480866e+02	9.583862305466345788e+01	3.166036119105828939e-01	5.262588671063757495e+00	4.042811314607688189e+01	3.308910166807169873e+00	4.658666618226729034e-02	9.048480793968464297e+01	1.238165496686437272e+00
1.333211501803080523e+02	3.667029333764011412e-01	5.912001364037235973e+00	1.768174508111546306e+00	1.924832011431538481e+00	9.866877898183674667e-01	8.418944794440598400e+01	5.835850386897170061e-01	-7.422901345214607538e-01	6.052649900127331421e+03	2.000983863519893546e+00	4.287433550054309706e+00	1.715339371954757386e+00	1.062540849575247393e+02	1.268903511221084833e+09	5.558938551446679810e+01	5.518245740658500598e-01	1.865824692279637764e+00	2.461337403600880158e+00	2.548313259229457231e+02	1.609205187577404388e+02	8.967882529410926562e-01	2.784825347984893007e+00	4.913170223590207542e+01	3.151528281361294148e+00	-3.189769473443168635e-01	9.391080716520528426e+01	9.114095968891896549e-01
9.420107938912508416e+01	3.750960915536087903e+00	6.150604279832161403e+00	1.902855097607606627e+00	1.921009575986066364e+00	9.635525158695562586e-01	8.103500588561547602e+01	1.624739007496848464e-01	8.914667224196677342e-01	5.390899523282477276e+03	8.433780008507724135e-01	4.959348562851708664e+00	1.257883682900323263e+00	4.835151859213731740e+01	1.268903511284645319e+09	2.642811513624900144e+01	1.280841241432169875e-01	1.068806061533858598e+00	5.738654218688029829e+00	1.723454441605385057e+02	1.482574740382490575e+02	7.196711660884513861e-01	1.839784351223319181e+00	1.316607350350961525e+01	5.590745266759406640e+00	5.597729337038824804e-01	2.408797012228945533e+01	8.295485070676875683e-01
8.216230004319392322e+01	2.387246626783525727e+00	2.483120620013559154e-01	2.373742319753211039e+00	2.345516244214830515e+00	7.667047963338555761e-01	4.401919143413697100e+01	8.665108868736941528e-01	9.787731140885114201e-01	6.748898432978780875e+03	7.932842422679085015e-01	1.746236593987894992e+00	2.627747856066676935e+00	7.114885028396750499e+01	1.268903511272869825e+09	3.565335222258769932e+01	7.849466591215390476e-01	9.147525293853573380e-01	8.968761100041737488e-02	1.639608289359148614e+02	8.784348920168393704e+01	5.464006342913878544e-01	2.425625988317041237e+00	3.814310860905695222e+01	4.812872615100567408e+00	5.104398107166838727e-01	7.611733973423092436e+01	9.955725296117349243e-01
5.271377719879870227e+01	1.212636251563973033e+00	3.070952327219073297e+00	5.811968878550946016e-01	6.357621754412311477e-01	4.992770576971390373e-01	3.398032707684247811e+01	5.513028194105590307e-01	2.781286485837684008e-01	2.386050586955338440e+04	2.022424088167440903e+00	3.375729883971551715e+00	2.557282807221452625e+00	8.250998923658004003e+01	1.268903511303351402e+09	2.177320525106015126e+01	9.786423912301727146e-01	7.147500772526158563e-01	5.190238461272816295e+00	1.997598947486421821e+02	1.287691173181416389e+02	4.492184862457197503e-01	9.591539677329663505e-01	1.873345012195621706e+01	2.171790219296939384e+00	1.222087316707972937e-01	7.099077743050052902e+01	2.789519654326621190e+00
1.624835854376706834e+02	2.685449524396814169e+00	3.649380563958520618e+00	1.776630846245283557e+00	1.782579423315628242e+00	6.466544535834547157e-03	1.449450148298089687e+02	1.210015441266132363e-01	3.510830457698088658e-01	1.346573497250724358e+04	2.893133204787704305e+00	2.409196757632933839e+00	2.378744525522887621e+00	1.094572134499900500e+02	1.268903511312548399e+09	3.989850182200085982e+01	2.468052054543866669e-01	1.863648346054486371e+00	5.165335760231219098e+00	4.457560981290731092e+02	3.976409314193830369e+02	2.283194862637586212e-02	4.808025272430219488e+00	1.753857060786173960e+01	1.210289489647447425e+00	-1.328203040766504951e-02	4.811516670969006526e+01	1.743391567390459640e+00
7.313187189271953059e+01	3.717102191234032738e+00	1.895842065864708825e+00	3.094966881335521336e+00	2.922102882168782223e+00	7.496110212668507522e-01	4.080114345636800977e+01	7.923976069672017397e-01	9.349601249630952182e-01	1.207032795380313655e+04	7.412722478794205871e-01	1.767596933068169562e+00	3.773070307635723597e-01	8.193499802048432912e+01	1.268903511268314838e+09	3.157558144068086037e+01	5.981914819143683282e-01	2.743271867350778326e-01	1.022830812367871101e+00	1.897687866816074234e+02	1.058742691599006918e+02	5.061575116482047720e-01	2.455583220413084800e-01	3.233072843635151372e+01	3.962660513275341412e+00	5.630458275312753003e-01	8.389451752170671739e+01	1.594884853487517740e+00
3.006305901324947882e+01	4.582929757864852682e+00	1.584703751193432764e+00	8.038469129194807383e-01	7.876986931736245090e-01	7.324291021316735317e-02	1.887688525220124092e+01	5.925857794650637445e-01	-2.576459934117658612e-02	2.549224157217368429e+03	1.466408652659152212e+00	3.395523696266216973e+00	1.282972478034437147e+00	1.818127135896679292e+01	1.268903511301173925e+09	1.256494246674486881e+01	9.742912648837016854e-02	1.455574458717554531e+00	4.604958028407416526e-01	4.350076693523627114e+01	2.731455190429228708e+01	7.284421627270001864e-02	3.556110468605192310e+00	1.118617376104823968e+01	1.855854919290457872e+00	8.959904902030789778e-03	1.618621503094398761e+01	4.469840516251019635e-01
5.631772154117379614e+01	2.015649054726456058e-01	4.284344840128025411e-01	1.102963672989818678e+00	1.039443606758855276e+00	1.641926404088395186e-01	4.464055217330546554e+01	2.615820996688105193e-01	4.749215691115509230e-01	4.174171478036203553e+03	1.199439649739578506e+00	3.778086123552974129e+00	2.041302780995376320e+00	3.188866023058645993e+01	1.268903511298357248e+09	1.905948963340662772e+01	9.456385670336961979e-01	1.227022055171309134e+00	2.949202825237166703e+00	9.422585398296831727e+01	7.468864214838210103e+01	1.969476441646418885e-01	1.300841512533698729e+00	1.167716936786832704e+01	1.502406418006343891e+00	1.133131738300474645e-01	1.953721183458620914e+01	6.731119690998143001e-01
6.195463207964706953e+01	3.411367214361402223e+00	2.465273396941664252e+00	7.635718015939624292e-02	3.971461897479336423e-01	8.006477894981736121e-01	3.928527881357607754e+01	5.770444795274556338e-01	-5.555194418922959620e-02	9.991974188061225504e+03	1.230358106167422028e+00	2.366599389876213877e-01	6.983417918581282802e-01	6.106426716442855707e+01	1.268903511252172947e+09	2.578615718014907188e+01	8.185050996219341846e-01	2.195724017626814906e+00	4.374095213670478266e+00	1.467149284383433496e+02	9.303157288392074520e+01	7.546973591150630822e-01	5.899977172864884878e+00	2.266935326607099199e+01	3.028159080046700424e+00	-5.697616814295648237e-03	5.368335555442260443e+01	1.368102650496429762e+00
